,Spectral Centroid Overall Standard Deviation,Spectral Rolloff Point Overall Standard Deviation,Spectral Flux Overall Standard Deviation,Compactness Overall Standard Deviation,Spectral Variability Overall Standard Deviation,Root Mean Square Overall Standard Deviation,Fraction Of Low Energy Windows Overall Standard Deviation,Zero Crossings Overall Standard Deviation,MFCC Overall Standard Deviation 1,MFCC Overall Standard Deviation 2,MFCC Overall Standard Deviation 3,MFCC Overall Standard Deviation 4,MFCC Overall Standard Deviation 5,MFCC Overall Standard Deviation 6,MFCC Overall Standard Deviation 7,MFCC Overall Standard Deviation 8,MFCC Overall Standard Deviation 9,MFCC Overall Standard Deviation 10,MFCC Overall Standard Deviation 11,MFCC Overall Standard Deviation 12,MFCC Overall Standard Deviation 13,LPC Overall Standard Deviation 1,LPC Overall Standard Deviation 2,LPC Overall Standard Deviation 3,LPC Overall Standard Deviation 4,LPC Overall Standard Deviation 5,LPC Overall Standard Deviation 6,LPC Overall Standard Deviation 7,LPC Overall Standard Deviation 8,LPC Overall Standard Deviation 9,LPC Overall Standard Deviation 10,Method of Moments Overall Standard Deviation 1,Method of Moments Overall Standard Deviation 2,Method of Moments Overall Standard Deviation 3,Method of Moments Overall Standard Deviation 4,Method of Moments Overall Standard Deviation 5,Spectral Centroid Overall Average,Spectral Rolloff Point Overall Average,Spectral Flux Overall Average,Compactness Overall Average,Spectral Variability Overall Average,Root Mean Square Overall Average,Fraction Of Low Energy Windows Overall Average,Zero Crossings Overall Average,MFCC Overall Average 1,MFCC Overall Average 2,MFCC Overall Average 3,MFCC Overall Average 4,MFCC Overall Average 5,MFCC Overall Average 6,MFCC Overall Average 7,MFCC Overall Average 8,MFCC Overall Average 9,MFCC Overall Average 10,MFCC Overall Average 11,MFCC Overall Average 12,MFCC Overall Average 13,LPC Overall Average 1,LPC Overall Average 2,LPC Overall Average 3,LPC Overall Average 4,LPC Overall Average 5,LPC Overall Average 6,LPC Overall Average 7,LPC Overall Average 8,LPC Overall Average 9,LPC Overall Average 10,Method of Moments Overall Average 1,Method of Moments Overall Average 2,Method of Moments Overall Average 3,Method of Moments Overall Average 4,Method of Moments Overall Average 5,Chroma feature 0,Chroma feature 1,Chroma feature 2,Chroma feature 3,Chroma feature 4,Chroma feature 5,Chroma feature 6,Chroma feature 7,Chroma feature 8,Chroma feature 9,Chroma feature 10,Chroma feature 11
Spectral Centroid Overall Standard Deviation,1.0,0.9365220289379402,0.1767200437561443,0.558703098738414,0.3534505684049769,0.3788118802568139,0.1653425048245073,0.9820269953373081,0.5166082422553329,0.5872802375847191,0.5616884490081366,0.5030268117834681,0.5387454573319026,0.46996123394464484,0.4275221650462106,0.4046469929249281,0.42992363634228653,0.38801298973025383,0.4112645584960708,0.4180835062153401,0.4220599336943079,0.842941345125649,0.5498322179302406,0.4070265262658041,0.531918346831069,0.5436871193466788,0.5626781190921557,0.5605245422592864,0.5532792436124546,0.5202372070831418,,0.38642177833137614,0.9233043705967703,0.6117997284498402,0.6989507556877059,0.523940112238646,0.6953960240604155,0.6594864354916955,0.10980020046760387,0.1108448469345585,0.013777172352562803,0.02491843016027636,0.2495945556510246,0.6031470180240378,0.11944065664241257,-0.34474620648698734,0.09808152741253312,-0.16574381768858037,0.035654057982707724,-0.15518222582446725,-0.061680687819293534,-0.1721167763126886,-0.24407601558488393,-0.0967425614803669,-0.2195824584978803,-0.31054953134620494,-0.1209233682004821,0.07196797949952176,-0.1860766976370224,-0.009060038991086303,0.01178852921691597,0.05303236267756111,0.06752062854067781,-0.033263798820019834,0.21650697748208006,0.17146151265563975,,0.05371179074341077,0.5481379333299934,0.4031209448078879,0.15855081881513788,0.3465820330885189,0.020447760954314755,0.015693926929162456,0.0034185263616534484,0.013531656531656704,0.020236858298792078,0.03144557275036014,0.048501602720150805,0.0680137212416052,0.08049404060380216,0.08401912672968069,0.08188806237370715,0.050727379971921165
Spectral Rolloff Point Overall Standard Deviation,0.9365220289379402,1.0,0.3305734230743721,0.4343630818607041,0.4722739537245632,0.49038214054348295,0.03822094388179436,0.949363392486297,0.36224385514603047,0.5233191550738371,0.5087189496631964,0.4661640451620797,0.5031066764888857,0.4565746793000223,0.4102052627186559,0.3959650744230878,0.40623925947212525,0.36758659826499185,0.3792068738593346,0.38534964714087855,0.3940075294543203,0.7307657495084915,0.6307544157214447,0.4427680469179819,0.5620276646769138,0.5845304981122165,0.594220009078982,0.5899705983240501,0.5899068606053817,0.5598168017855579,,0.5586248299939461,0.8972162834072435,0.6982433079235422,0.7430594273906378,0.5626174713455253,0.7097609522242001,0.7309320233932383,0.2783766974199112,0.2461593663661722,0.1901170980611334,0.20864532533691205,0.3402613726194952,0.6868110446014002,0.2751639299319083,-0.32307411277781006,0.21252546267913985,-0.08184192969727526,0.11601998508377125,-0.07117669408426894,0.007437831134807427,-0.1383634188387214,-0.19038868390142044,-0.08065906291967144,-0.16793838495128063,-0.2952071175131727,-0.12198064694571863,-0.08174925132087238,-0.2703128467628683,-0.11518890442980619,-0.01643082204161828,0.03724688984831729,0.08684022656595011,-0.020443506496136386,0.22241884835481537,0.16057077261742167,,0.2608382775976625,0.7035965386712222,0.6223423932536806,0.365858014948279,0.5519299167847149,0.1958742195627681,0.19904807184114426,0.190971073679769,0.20138835638440036,0.20789731841533968,0.21324120661750912,0.22977774021330824,0.24900255967977705,0.2612002959908326,0.26062006055333625,0.2536673684169228,0.22333312312449816
Spectral Flux Overall Standard Deviation,0.1767200437561443,0.3305734230743721,1.0,-0.07684953370100946,0.8121461106889682,0.7846644451469652,-0.2802961209527577,0.23547332060894155,-0.19778554755085423,0.12458908187766853,0.10215352450277057,0.09908484199748285,0.08595950234104094,0.10734481598108225,0.06837961506851215,0.06069791908702388,0.038956544919392905,0.027758826008260132,0.010504122501904172,0.013451712581860455,0.03619342807127882,0.004247629977196306,0.3819773649647795,0.2196422065800872,0.21009496558901467,0.21352020007343583,0.19217412016792026,0.18282587145384327,0.18937864481909847,0.16974240258849857,,0.7602535422106668,0.24657704119655505,0.41207755031529425,0.38638269483650106,0.3503837790910574,0.16627244544919173,0.23649847878548327,0.9126690206343682,0.33808970116315934,0.755510681336783,0.7566722041377164,0.2799066320498352,0.2734502626265216,0.41518399327487404,0.051359151610148195,0.33436357367025066,0.28883498603308083,0.31273786916308016,0.24527901823944218,0.180558406501955,0.08977561933414692,0.10345048684489566,0.009918342212381887,0.062446597048506955,0.0033743565288250343,0.008428479551325937,-0.3578308982847091,-0.2056772595528915,-0.12503940802194935,-0.11447321257108593,-0.13484853884692885,-0.021014477027412944,-0.022765743528993944,-0.0065794293814264515,-0.0157506044553228,,0.670081593975926,0.4172893710811198,0.523140797402587,0.48219806108319496,0.5258706426648011,0.47978462397328814,0.526935333898738,0.542065606959835,0.5552595837654454,0.5559478139759445,0.5473293319414564,0.5422260170938009,0.528572055045753,0.5149291820317485,0.48938247060989876,0.47916008849813413,0.46396593813429327
Compactness Overall Standard Deviation,0.558703098738414,0.4343630818607041,-0.07684953370100946,1.0,0.09166346987559951,0.11725922887225579,0.5439631617799838,0.5271178272505772,0.965482665857692,0.5730001978139264,0.5927158418239898,0.5712202500331863,0.539097356105176,0.4731508514271199,0.4418459121370296,0.4148235723478168,0.444695461878194,0.3964205664844399,0.4026278312443044,0.4104527230365186,0.3976430746466106,0.8374272842119432,0.5052877403041017,0.33656803991917705,0.3883093450244136,0.3758567632189431,0.3662076435052374,0.3679002905627813,0.3665813232619445,0.35360325828927813,,0.04655695902228427,0.6718528604331527,0.46875106149718754,0.4463412353038527,0.48801442298633824,0.2069794400603386,0.14189140233620198,-0.12758524594435175,-0.09512170250053383,-0.20203601663474233,-0.20575164885902264,0.2775138422274409,0.08796164261499509,-0.11631833252731813,-0.179059651067825,-0.11836346898397622,-0.21378537580579673,-0.08283531447586721,-0.19507606946098013,-0.128714503725769,-0.14846832868623022,-0.23118755103235558,-0.09153929928206485,-0.15458144549176497,-0.21004627884687802,-0.056156333858900113,0.1529752335013877,0.020103987936307837,0.1269103551247764,0.07629731706158673,0.11304613653816571,0.032461449692101386,0.01321364904707269,0.13676033569446505,0.17000307117729427,,-0.21930750071752125,0.04569142583403525,-0.06104913041095919,-0.11202384868126007,-0.06175304808241279,-0.15091714736408546,-0.15971085953873068,-0.16732371905775492,-0.16465395936730234,-0.15960290892540677,-0.14925643298335087,-0.13942836251323623,-0.1311362133974372,-0.12292582412357471,-0.1184183510292227,-0.12319348151158543,-0.13576836508502568
Spectral Variability Overall Standard Deviation,0.3534505684049769,0.4722739537245632,0.8121461106889682,0.09166346987559951,1.0,0.9956054007908888,-0.32604532522741125,0.42558132214798056,-0.06199158911106418,0.37394273517668813,0.341522309227647,0.35455816649868344,0.3668292665366444,0.3883162118210258,0.36190062717114535,0.3668873205291386,0.3589192323123496,0.34063437220969167,0.3289354348672831,0.3313819855777895,0.35539365679014095,0.16586404330772758,0.5163415376725703,0.4788404739335513,0.46805187600031994,0.4781830752407686,0.46533949429463073,0.4673690651125777,0.46649567960937977,0.4506473689132253,,0.8360506182804831,0.42120363060639543,0.5514367825490728,0.5556734456405827,0.5175787682528832,0.33155608544889714,0.3588332873451218,0.7168420395047395,0.5715102309613646,0.7618431781367985,0.7515179184097738,0.45548504403369106,0.4054270398162511,0.6208359410645279,0.1696377204781928,0.25618922236070524,0.17508596182817787,0.18888604197102196,0.11288399949886035,0.051393549323635476,-0.02146688865759713,-0.056038990410449505,-0.11312443952410861,-0.09032787793228368,-0.13172967748414527,-0.11768321895916421,-0.5561854785831095,0.036732386736861404,-0.07295521935315277,0.02762565127383466,0.015508339386302611,0.09059089391289529,0.05380885320070358,0.1434961119897201,0.14282273895382613,,0.6051011344479031,0.5415609491382148,0.5761513464211768,0.5646873868683547,0.6003993225720969,0.5723570291043719,0.6039790796926398,0.6080317334867441,0.6175559284147599,0.61753494238622,0.6140029907157596,0.6176849187532174,0.6061383446394686,0.6021460215072688,0.5811771757246612,0.5842867718812226,0.5699256309239239
Root Mean Square Overall Standard Deviation,0.3788118802568139,0.49038214054348295,0.7846644451469652,0.11725922887225579,0.9956054007908888,1.0,-0.3139595582600282,0.4494455041825877,-0.0334669327777702,0.3948256570361127,0.36323969441223103,0.37404325547657225,0.39096378991350283,0.4079059974562357,0.38290443424142373,0.3877843100735138,0.3833739021488561,0.36472890627419025,0.354704355393073,0.35660357612317006,0.38059957213427886,0.19388021102637618,0.5267454153814739,0.4944398088127029,0.48960176926671684,0.5012244599928221,0.4881180819299192,0.4918710175300837,0.4907387963736029,0.4755040001994809,,0.846049235198423,0.4420937414686196,0.560375368894295,0.5643854614589925,0.526524730491055,0.3586384207001857,0.3820063663975637,0.6818473695516454,0.574217086740437,0.7320118720072099,0.7233124406592653,0.4618704653736962,0.42631014454578986,0.6195442710164017,0.15963871811055308,0.2396618154053558,0.15326834951343415,0.17230515030710247,0.09231179356261095,0.03514302772784406,-0.03707222888446571,-0.07660814284884089,-0.12816747563996692,-0.10600184152834845,-0.1446087727253545,-0.12570520160730853,-0.5502808537469944,0.05230173290512384,-0.0751571044774439,0.04737980630790526,0.026840771571000035,0.09932288634175873,0.06088128497225605,0.16252568550551694,0.1609964604373077,,0.5845651004561697,0.552023879947123,0.5731267064204613,0.5580058172965596,0.5944853508780606,0.5561810349301625,0.5861480713399567,0.5899510022782427,0.5976824448058287,0.5965669352191496,0.5927848645464037,0.5980225343332531,0.5885145471663077,0.586242598485043,0.5668195403633776,0.5706176924522038,0.5568332163722588
Fraction Of Low Energy Windows Overall Standard Deviation,0.1653425048245073,0.03822094388179436,-0.2802961209527577,0.5439631617799838,-0.32604532522741125,-0.3139595582600282,1.0,0.08390041857266452,0.6356139114399846,0.06450839341818558,0.08037297510245164,0.033196170791959995,0.003545670111687206,-0.0495605562355552,-0.06225903213641232,-0.08932530830850746,-0.07331752195649012,-0.09771678211492973,-0.09641958842859366,-0.09078144367693716,-0.10603467422662927,0.4370875583517259,0.03461554311601939,-0.1956531465053974,-0.1781006686872176,-0.18268237207185156,-0.17883775857119208,-0.1784343416483861,-0.17674915832142038,-0.18907970304880567,,-0.3294561393617826,0.2298622416527179,0.037234484333473504,-0.0021031884209666827,0.04481951156450056,-0.20798525869088066,-0.23449226483730062,-0.2934675190002352,-0.5701802146606265,-0.44435838107267384,-0.44350672157088866,-0.12168701329907816,-0.30782380842749096,-0.583301657737458,-0.29121478677518564,-0.09024621360061032,-0.1149193797565085,-0.0009917812346701387,-0.08499672330213494,-0.013979705364903712,-0.020203596648315517,-0.00042147586320614045,0.09758259502018118,0.039455036703579,0.03863305738665998,0.12198588761377578,0.5695063837711969,-0.24570025909954177,0.1535404397847647,-0.07777784391130557,-0.010513797691673621,-0.10077674711554178,-0.07016559445458441,-0.10907549170866263,-0.07535948943715691,,-0.4015861027111119,-0.3782161198619025,-0.3810739406810199,-0.41544339017388116,-0.38734738198414803,-0.4789900671094465,-0.4857209532348057,-0.4785376702711503,-0.4733750916473375,-0.4694941878996131,-0.4649618648428553,-0.4683781269414086,-0.46893184350011863,-0.47274067761876387,-0.46956833468532844,-0.4785938543061337,-0.47626001259668777
Zero Crossings Overall Standard Deviation,0.9820269953373081,0.949363392486297,0.23547332060894155,0.5271178272505772,0.42558132214798056,0.4494455041825877,0.08390041857266452,1.0,0.46702339688242345,0.6014012445606056,0.5787649438752454,0.5262059747127349,0.5660318308708051,0.5052552569571629,0.46115563443451213,0.4428166329222297,0.46601949955759264,0.4251121391421267,0.44560487131456494,0.4516319547990749,0.45765843988475313,0.8031442982780401,0.6039052282647808,0.46520663467234946,0.586939651148108,0.6044934422965997,0.6207677664258688,0.6209722281676341,0.6142789574066663,0.5841351172336909,,0.46884527360980505,0.9269834905072231,0.6585944954111712,0.7296726166150995,0.5631644021644918,0.7152033493579394,0.6865277501494128,0.169855916235679,0.20266356910560224,0.0985931877234881,0.11000228334137746,0.2910474262889249,0.6543840262198646,0.21524642316172182,-0.32215907384384157,0.1363040955061672,-0.13573300532792196,0.053123907750313164,-0.13040068003033287,-0.047821776387041534,-0.16994434400132138,-0.24045656167668564,-0.10542173106212857,-0.2192655431184961,-0.3282266477145781,-0.14069243455045283,-0.0235911199765855,-0.17546822569285442,-0.05778836821200804,0.03317825482317069,0.05891424143241657,0.09131355965195949,-0.014705839402413726,0.2462603361494712,0.19210271911062718,,0.135644372489694,0.621017774368017,0.48957378968068577,0.2588574797075535,0.43531469683695173,0.10746225283574427,0.10473304432406699,0.09179553399151658,0.10160405172247099,0.10965862852979198,0.11897444705493372,0.1364383233220632,0.15636090333532546,0.17121241499306997,0.17467280192907866,0.17119505822068104,0.13824289417729754
MFCC Overall Standard Deviation 1,0.5166082422553329,0.36224385514603047,-0.19778554755085423,0.965482665857692,-0.06199158911106418,-0.0334669327777702,0.6356139114399846,0.46702339688242345,1.0,0.4608711453864598,0.49086108831767966,0.44593898106990004,0.4202991567466893,0.33352595330172,0.30876459195281897,0.27772566236929075,0.31557125093973537,0.26979286690109117,0.2857580502289546,0.29226699664518185,0.27500341233155134,0.8238406567354438,0.368918544094056,0.16774318096647897,0.2301649237925706,0.222374793516005,0.21966324836123252,0.22697298442996516,0.22297970839793282,0.20671894000096808,,-0.08652353899456455,0.6038994669423007,0.34669036263005815,0.3264178325058363,0.36361832286150386,0.11485903154005107,0.048509041286320845,-0.2358122779192592,-0.290620537951964,-0.3450210947426847,-0.34582770145218394,0.10666058270786238,-0.01932989491126812,-0.3146191524603347,-0.27447110422548604,-0.13780562350810072,-0.23951019935709733,-0.08467834901063595,-0.20331749914236105,-0.1191664634135714,-0.13643940903141877,-0.20634847024653177,-0.05267911210398752,-0.12882436165188235,-0.17898026437864206,-0.010731211054121496,0.34569334371929683,-0.06855615540738755,0.15322743584906706,0.040106543433889204,0.08407643356666107,-0.013329454769844228,-0.014972998686591122,0.08816948275295783,0.1297237303075759,,-0.3276992962557286,-0.08734385694783685,-0.1863091914938725,-0.24612329307471592,-0.1935735337328638,-0.3200372092055962,-0.33431510241829276,-0.34079679885127984,-0.3387882920869423,-0.331406624568659,-0.319689933586941,-0.30918995380349246,-0.30026379820548704,-0.2935039624530662,-0.28717254277836457,-0.29378572992736784,-0.30244706414757677
MFCC Overall Standard Deviation 2,0.5872802375847191,0.5233191550738371,0.12458908187766853,0.5730001978139264,0.37394273517668813,0.3948256570361127,0.06450839341818558,0.6014012445606056,0.4608711453864598,1.0,0.7591324183104503,0.728583803383091,0.7158880569030728,0.6807884096307681,0.6452145728715362,0.6090624247973082,0.6020631259482561,0.5664129864982366,0.5629289037380011,0.5707467242565453,0.5764980534025456,0.6044263757533236,0.6191262201645785,0.6746128180585814,0.6707311400885798,0.655473139259041,0.6199232943565203,0.5961764952064964,0.573615402412565,0.5554425450188901,,0.2813873581654385,0.6749036757540049,0.5997920977546469,0.6259467801188491,0.6326433947501139,0.38609702326620615,0.3194485789832839,0.02945259831134119,0.33601235882833747,0.06646098786889225,0.05254706547716702,0.44213163422775575,0.3024602963626266,0.32046491245784453,0.1455528613412195,-0.02095404579948158,-0.11950440546598327,-0.05155145369730347,-0.1671634159633157,-0.1662661434871386,-0.17566780212603164,-0.26883849785837577,-0.15688943440407568,-0.23905589099029426,-0.26671276637502417,-0.1709050711891628,-0.276288372054079,0.25070001240899137,0.13633514696732812,0.2518586175768421,0.20315291854985837,0.18280200963107246,0.10280912336499158,0.25516556816210656,0.23979572197979215,,-0.05462440117337136,0.2832541031031259,0.151424870277601,0.12075113560721945,0.1736912395274019,0.2276562317655198,0.21998853353879175,0.20444352452781558,0.2122630299617784,0.21801257196720164,0.22571799554947333,0.23516554524156352,0.24779680907843185,0.25025734301716024,0.24464825012325733,0.25112904748366366,0.2343715639714538
