,Spectral Centroid Overall Standard Deviation,Spectral Rolloff Point Overall Standard Deviation,Spectral Flux Overall Standard Deviation,Compactness Overall Standard Deviation,Spectral Variability Overall Standard Deviation,Root Mean Square Overall Standard Deviation,Fraction Of Low Energy Windows Overall Standard Deviation,Zero Crossings Overall Standard Deviation,MFCC Overall Standard Deviation 1,MFCC Overall Standard Deviation 2,MFCC Overall Standard Deviation 3,MFCC Overall Standard Deviation 4,MFCC Overall Standard Deviation 5,MFCC Overall Standard Deviation 6,MFCC Overall Standard Deviation 7,MFCC Overall Standard Deviation 8,MFCC Overall Standard Deviation 9,MFCC Overall Standard Deviation 10,MFCC Overall Standard Deviation 11,MFCC Overall Standard Deviation 12,MFCC Overall Standard Deviation 13,LPC Overall Standard Deviation 1,LPC Overall Standard Deviation 2,LPC Overall Standard Deviation 3,LPC Overall Standard Deviation 4,LPC Overall Standard Deviation 5,LPC Overall Standard Deviation 6,LPC Overall Standard Deviation 7,LPC Overall Standard Deviation 8,LPC Overall Standard Deviation 9,LPC Overall Standard Deviation 10,Method of Moments Overall Standard Deviation 1,Method of Moments Overall Standard Deviation 2,Method of Moments Overall Standard Deviation 3,Method of Moments Overall Standard Deviation 4,Method of Moments Overall Standard Deviation 5,Spectral Centroid Overall Average,Spectral Rolloff Point Overall Average,Spectral Flux Overall Average,Compactness Overall Average,Spectral Variability Overall Average,Root Mean Square Overall Average,Fraction Of Low Energy Windows Overall Average,Zero Crossings Overall Average,MFCC Overall Average 1,MFCC Overall Average 2,MFCC Overall Average 3,MFCC Overall Average 4,MFCC Overall Average 5,MFCC Overall Average 6,MFCC Overall Average 7,MFCC Overall Average 8,MFCC Overall Average 9,MFCC Overall Average 10,MFCC Overall Average 11,MFCC Overall Average 12,MFCC Overall Average 13,LPC Overall Average 1,LPC Overall Average 2,LPC Overall Average 3,LPC Overall Average 4,LPC Overall Average 5,LPC Overall Average 6,LPC Overall Average 7,LPC Overall Average 8,LPC Overall Average 9,LPC Overall Average 10,Method of Moments Overall Average 1,Method of Moments Overall Average 2,Method of Moments Overall Average 3,Method of Moments Overall Average 4,Method of Moments Overall Average 5,Chroma feature 0,Chroma feature 1,Chroma feature 2,Chroma feature 3,Chroma feature 4,Chroma feature 5,Chroma feature 6,Chroma feature 7,Chroma feature 8,Chroma feature 9,Chroma feature 10,Chroma feature 11
0,12.72,0.1288,0.0008683,264.2,0.0009483,0.03578,0.02928,28.78,83.17,5.138,2.174,2.126,3.258,2.567,2.238,2.501,1.886,1.932,1.763,1.806,1.922,0.133,0.415,0.2183,0.1391,0.1038,0.1021,0.1232,0.09112,0.09015,0.0,0.1113,22.24,1952.0,141900.0,28250000.0,16.08,0.09628,0.0002697,1736.0,0.00145,0.05773,0.594,45.68,-138.4,9.373,3.404,0.4906,-0.2837,-1.311,-1.624,0.8317,0.2682,-0.2212,0.1355,-0.1112,-0.4725,-0.9238,0.1838,0.02367,0.1265,0.05562,0.08316,0.07169,0.007475,-0.02999,0.0,0.1502,49.57,3870.0,337400.0,66010000.0,0.63097745,0.52245164,0.46003538,0.46803534,0.59353715,0.6685226,0.6074732,0.6226885,0.5706267,0.5512102,0.57208484,0.58994365
1,13.53,0.143,0.0009861,264.8,0.0008919,0.03561,0.02742,27.9,52.04,7.483,3.603,2.238,3.268,2.965,2.254,2.144,2.176,1.86,1.849,1.576,1.851,0.1122,0.4364,0.224,0.1388,0.1171,0.1063,0.1177,0.1024,0.1123,0.0,0.1325,24.6,2129.0,163200.0,31870000.0,15.94,0.09989,0.0003443,1706.0,0.001432,0.05732,0.6713,42.17,-137.0,11.23,3.095,0.596,-0.4046,-1.497,-2.063,-0.2122,0.364,-0.06764,-0.2256,-0.09006,-0.2989,-0.9326,0.2467,0.0345,0.1222,0.05454,0.06557,0.03978,0.01846,-0.02216,0.0,0.1497,46.09,3466.0,297600.0,58690000.0,0.65774715,0.532181,0.43549797,0.442672,0.57895863,0.6982262,0.59650356,0.56787676,0.53272325,0.5265265,0.53969085,0.57334703
2,13.14,0.1303,0.00113,249.2,0.0009173,0.03662,0.04288,25.38,52.84,8.462,4.076,2.649,3.529,2.611,2.324,2.278,2.208,2.281,1.79,1.912,1.923,0.09815,0.4486,0.2274,0.1583,0.1352,0.135,0.1235,0.09946,0.1033,0.0,0.1432,24.22,2180.0,174200.0,33670000.0,15.02,0.08643,0.0004137,1699.0,0.001588,0.06336,0.6091,41.23,-136.4,12.44,3.416,0.9188,0.06013,-1.647,-1.708,-0.3595,0.55,0.06314,-0.2957,0.4,-0.5548,-0.939,0.1976,0.05683,0.1128,0.06336,0.07279,0.05034,0.03226,-0.001492,0.0,0.1636,46.59,3677.0,322800.0,63860000.0,0.6650426,0.55267906,0.47647473,0.49460107,0.6505156,0.763269,0.6638583,0.6299204,0.591585,0.60059524,0.6186094,0.63046724
3,8.045,0.07492,0.003814,225.9,0.001836,0.06786,0.03418,20.81,52.28,4.646,2.824,2.383,2.811,2.942,2.355,2.465,1.726,1.592,1.842,1.761,1.535,0.07246,0.3698,0.1808,0.1426,0.1176,0.108,0.1067,0.09129,0.09779,0.0,0.1771,19.46,1818.0,149300.0,29420000.0,10.01,0.0533,0.001579,1675.0,0.003275,0.1276,0.5751,31.86,-123.5,11.22,5.847,1.442,0.8504,0.2105,-0.9901,-0.4563,0.4466,-0.4687,-0.09876,-0.2369,-0.8375,-0.9633,0.1985,0.03857,0.1623,0.07972,0.07526,0.0535,0.04846,0.006568,0.0,0.2792,39.77,3364.0,337300.0,62810000.0,0.7131114,0.63723195,0.59543806,0.62787753,0.7449872,0.8060261,0.72689706,0.7222779,0.6594353,0.6231547,0.62547964,0.64982563
4,12.52,0.126,0.0009597,267.2,0.000994,0.03759,0.02938,28.52,83.26,5.168,2.176,2.094,3.251,2.558,2.236,2.502,1.888,1.941,1.762,1.8,1.902,0.1319,0.4146,0.2184,0.1391,0.1036,0.1025,0.1246,0.0924,0.09089,0.0,0.1172,22.13,1948.0,141900.0,28230000.0,16.03,0.09493,0.0002975,1734.0,0.001521,0.06062,0.594,45.51,-137.3,9.348,3.424,0.487,-0.2488,-1.333,-1.629,0.8304,0.2691,-0.2432,0.1504,-0.1032,-0.4846,-0.9238,0.1818,0.02237,0.127,0.05722,0.08323,0.07248,0.006667,-0.03214,0.0,0.1579,49.65,3881.0,338600.0,66150000.0,0.63160276,0.5226398,0.4597063,0.4675473,0.59291065,0.6680089,0.60713625,0.62267256,0.5702591,0.5506702,0.5714919,0.5902205
5,31.61,0.2095,0.001535,247.7,0.001343,0.05284,0.03836,59.25,51.41,5.606,3.091,2.187,3.262,2.692,2.372,2.086,2.083,1.794,1.576,1.583,1.701,0.2786,0.3924,0.2395,0.1783,0.1325,0.1165,0.1296,0.1196,0.1166,0.0,0.1849,29.59,1762.0,177800.0,24170000.0,22.56,0.1404,0.000742,1667.0,0.002011,0.08125,0.6411,56.12,-125.5,8.52,3.786,0.7102,-0.1839,-1.245,-1.348,0.08009,0.05359,0.5634,-0.1689,-0.1379,-0.1886,-0.8764,0.1868,0.03396,0.05809,0.04919,0.06223,0.0308,0.01959,-0.006665,0.0,0.2251,55.16,4012.0,326700.0,69520000.0,0.6038595,0.49973688,0.4419327,0.47893706,0.6169356,0.7259557,0.6323361,0.6027188,0.5661759,0.54830354,0.5449639,0.5481626
6,26.34,0.1988,0.001806,238.3,0.001533,0.06083,0.05055,50.85,52.52,5.124,4.082,2.531,3.447,2.75,2.154,2.324,2.146,2.217,1.711,1.834,1.759,0.2329,0.4143,0.2712,0.1958,0.1442,0.1459,0.1163,0.1455,0.1133,0.0,0.2022,27.01,1747.0,173400.0,23140000.0,21.99,0.1371,0.001116,1645.0,0.002584,0.105,0.6008,54.94,-119.9,8.21,4.026,0.4337,0.01517,-0.8366,-1.672,-0.04605,0.1817,0.2345,0.08011,-0.2487,-0.3407,-0.8856,0.195,-0.0008931,0.01645,0.07179,0.07752,0.04997,0.03837,0.02876,0.0,0.2836,55.86,4097.0,330900.0,70890000.0,0.56664795,0.48573035,0.45380455,0.49077538,0.6401915,0.7193698,0.6262142,0.595659,0.5688219,0.5802821,0.57097054,0.5577724
7,16.74,0.1497,0.004396,216.0,0.002034,0.07681,0.03472,34.06,53.53,4.199,3.671,2.402,2.884,2.893,2.249,2.384,1.778,1.666,1.628,1.765,1.451,0.1377,0.3878,0.222,0.2048,0.129,0.1074,0.1116,0.1096,0.1069,0.0,0.2267,23.08,1780.0,151200.0,24640000.0,14.35,0.0872,0.002333,1642.0,0.003836,0.1518,0.5774,41.58,-114.9,9.305,5.135,1.385,0.3256,0.1161,-0.6989,-0.2189,0.06631,-0.1665,0.2349,-0.5511,-0.5407,-0.9366,0.1787,0.01257,0.05394,0.07216,0.07858,0.07404,0.05874,0.01988,0.0,0.3724,46.98,3810.0,349900.0,70090000.0,0.6452282,0.5898095,0.5627889,0.59559315,0.7046995,0.76475036,0.70036596,0.709632,0.65155464,0.61367166,0.5989596,0.6012566
8,6.234,0.04521,5.249e-10,73.36,2.095e-07,1.007e-05,0.08795,5.594,56.73,0.9748,0.1275,0.2353,0.3235,0.04126,0.07763,0.2014,0.08865,0.1365,0.2684,0.05217,0.08207,0.03232,0.02802,0.02064,0.007857,0.03457,0.01194,0.00972,0.0193,0.007395,0.0,4.335e-05,7.282,300.3,12910.0,3268000.0,0.3946,0.002715,3.431e-11,3.89,1.046e-08,5.448e-07,0.007909,0.3453,-1146.0,-0.06347,-0.008247,0.005439,-0.01782,-0.002506,0.004249,-0.01194,-0.005768,0.008881,-0.01616,-0.003273,0.001094,-0.002075,0.00173,0.001335,0.0005091,0.00225,0.000763,0.0006083,0.001238,-0.0003834,0.0,2.203e-06,0.4692,19.24,802.4,212600.0,0.008535677,0.0046026967,0.003075093,0.0021804427,0.0022164457,0.0024811684,0.0029162911,0.0027791818,0.0029897678,0.0037892072,0.004536878,0.0053997366
9,46.28,0.2434,0.0009562,781.8,0.001353,0.05312,0.2108,86.13,474.5,12.2,5.746,3.771,4.296,3.584,2.65,2.259,2.63,1.901,1.872,1.713,1.526,0.4839,0.3623,0.2858,0.2119,0.1775,0.1643,0.1429,0.136,0.1058,0.0,0.1432,46.67,1942.0,192400.0,34560000.0,29.16,0.1552,0.0003305,970.3,0.0007858,0.03153,0.6454,56.95,-543.7,0.5294,0.8625,0.8448,0.6079,0.9562,0.8739,0.1563,-1.595,1.175,-0.1628,-0.4696,-0.0564,-0.4475,0.2981,0.04157,0.006971,0.04821,0.0334,0.003385,0.0171,0.01831,0.0,0.07442,41.91,1922.0,141400.0,32170000.0,0.23521121,0.21035057,0.22196941,0.2592952,0.31218576,0.36133295,0.3943413,0.37491715,0.3537425,0.33918777,0.3299531,0.29357553
