,Principal component 0,Principal component 1,Principal component 2,Principal component 3,Principal component 4,Principal component 5,Principal component 6,Principal component 7,Principal component 8,Principal component 9,Principal component 10,Principal component 11,Principal component 12,Principal component 13,Principal component 14,Principal component 15,Principal component 16,Principal component 17,Principal component 18,Principal component 19,Principal component 20,Principal component 21,Principal component 22,Principal component 23,Spectral Centroid Overall Standard Deviation,Spectral Rolloff Point Overall Standard Deviation,Spectral Flux Overall Standard Deviation,Compactness Overall Standard Deviation,Spectral Variability Overall Standard Deviation,Root Mean Square Overall Standard Deviation,Fraction Of Low Energy Windows Overall Standard Deviation,Zero Crossings Overall Standard Deviation,MFCC Overall Standard Deviation 1,MFCC Overall Standard Deviation 2,MFCC Overall Standard Deviation 3,MFCC Overall Standard Deviation 4,MFCC Overall Standard Deviation 5,MFCC Overall Standard Deviation 6,MFCC Overall Standard Deviation 7,MFCC Overall Standard Deviation 8,MFCC Overall Standard Deviation 9,MFCC Overall Standard Deviation 10,MFCC Overall Standard Deviation 11,MFCC Overall Standard Deviation 12,MFCC Overall Standard Deviation 13,LPC Overall Standard Deviation 1,LPC Overall Standard Deviation 2,LPC Overall Standard Deviation 3,LPC Overall Standard Deviation 4,LPC Overall Standard Deviation 5,LPC Overall Standard Deviation 6,LPC Overall Standard Deviation 7,LPC Overall Standard Deviation 8,LPC Overall Standard Deviation 9,LPC Overall Standard Deviation 10,Method of Moments Overall Standard Deviation 1,Method of Moments Overall Standard Deviation 2,Method of Moments Overall Standard Deviation 3,Method of Moments Overall Standard Deviation 4,Method of Moments Overall Standard Deviation 5,Spectral Centroid Overall Average,Spectral Rolloff Point Overall Average,Spectral Flux Overall Average,Compactness Overall Average,Spectral Variability Overall Average,Root Mean Square Overall Average,Fraction Of Low Energy Windows Overall Average,Zero Crossings Overall Average,MFCC Overall Average 1,MFCC Overall Average 2,MFCC Overall Average 3,MFCC Overall Average 4,MFCC Overall Average 5,MFCC Overall Average 6,MFCC Overall Average 7,MFCC Overall Average 8,MFCC Overall Average 9,MFCC Overall Average 10,MFCC Overall Average 11,MFCC Overall Average 12,MFCC Overall Average 13,LPC Overall Average 1,LPC Overall Average 2,LPC Overall Average 3,LPC Overall Average 4,LPC Overall Average 5,LPC Overall Average 6,LPC Overall Average 7,LPC Overall Average 8,LPC Overall Average 9,LPC Overall Average 10,Method of Moments Overall Average 1,Method of Moments Overall Average 2,Method of Moments Overall Average 3,Method of Moments Overall Average 4,Method of Moments Overall Average 5,Chroma feature 0,Chroma feature 1,Chroma feature 2,Chroma feature 3,Chroma feature 4,Chroma feature 5,Chroma feature 6,Chroma feature 7,Chroma feature 8,Chroma feature 9,Chroma feature 10,Chroma feature 11
Principal component 0,1.0,-6.162122727587606e-16,4.0088696298613796e-17,9.30688796555204e-17,-9.248951949555893e-17,4.063214318426093e-16,-1.304322134719261e-16,-2.0472234951343498e-16,1.8702088232645124e-16,-4.356941474893664e-17,6.879663872221515e-17,7.744095495307029e-17,-1.75537613136675e-16,-1.572281428706303e-16,-2.6574387527748517e-16,-1.3780190343925347e-17,9.48710380665201e-17,7.133665613791882e-17,1.058075070957347e-16,6.376334334267871e-17,9.170329257550907e-17,1.7053830488455126e-16,5.730064367686764e-18,-3.5655502791759785e-16,0.4649359038582882,0.5652676473224132,0.669188996115277,0.08057726341580848,0.5739083897137539,0.5525274396238201,-0.18298781030403122,0.5405171670402775,-0.04752943740586756,0.07343897009694704,-0.008485911097912592,-0.15034255087267548,-0.2422989153381159,-0.3451351715628135,-0.4867760182863358,-0.5530694229084531,-0.5855270679814379,-0.6399370948432115,-0.6541587876737726,-0.6552005148293777,-0.6477953399423931,0.39714395287033666,0.5671193499965264,-0.11848906213456703,-0.05663269595164693,-0.004992847763739909,-0.056857841969899486,-0.09945970897664547,-0.10349969049899327,-0.14792746319999603,,0.7419015636059181,0.656072037434206,0.6412388647446611,0.6198935939966063,0.5395561515195136,0.05801886836353663,0.18524451359241653,0.6891736493992177,-0.5734494197818765,0.5765487322837797,0.6065883628336807,-0.06619843889624896,0.2028718575379999,0.315266098378965,-0.362884204609004,0.5976836428334718,0.5204717720191773,0.6793985780072194,0.43923856837675185,0.5150645899813555,0.25883460231462174,0.32281916382704223,0.27193535551399123,0.2233978000974258,0.13992626123078586,0.20110795724483835,0.2814005641303118,-0.8181459166877618,-0.1586497907902913,-0.3134571263721732,-0.31754793581096946,-0.2118023158662659,-0.18554991629064144,-0.18506407681503018,-0.1965287134045811,,0.6337527741494154,0.4855008294091019,0.6784463866830185,0.5463883855112796,0.6677065639234149,0.5849060240858316,0.686017402679561,0.688129224310445,0.737145937982988,0.7405954580371633,0.7218612705339309,0.7292842274683977,0.6793745203150837,0.704584570500827,0.6307897435864214,0.6190249601715044,0.5867069861046865
Principal component 1,-6.162122727587606e-16,1.0,-4.1406017226464706e-17,1.4504677343828174e-16,-5.7359155017069045e-18,-1.5306672020537162e-16,2.095556360647444e-16,4.2543232083967757e-17,-4.819126000374496e-17,1.4816151045500432e-16,-1.005750539663587e-16,9.847794086049659e-17,-6.478527197304357e-17,-1.995784145388933e-16,6.330861019434089e-17,-1.9218761470891832e-16,2.8819908932377286e-17,-1.0494288533080235e-16,-1.2701634825974384e-16,-5.78945616294201e-17,-6.822563710089272e-17,4.2721948610967445e-17,-2.6838356608197483e-16,-4.3570752286386745e-17,0.7422661233223687,0.6963725258404935,0.058477449693024215,0.21384548019381022,0.07102604044241137,0.10580043593511729,0.09156054060064235,0.7262389489099039,0.17356916416420903,0.12357844426749735,0.2813334985467073,0.2805126126261245,0.3541959094024011,0.3641778768208131,0.34828016333485623,0.3739863583859253,0.33798922830277045,0.3424200628454061,0.3304950559133382,0.30148211322336094,0.2500550202126771,0.6846454574397959,0.2024299818489992,0.14883244603064055,0.46359874794978967,0.555695549882112,0.5905467858477361,0.6008352243921554,0.6034630479132334,0.6145835411575651,,0.2713019398224286,0.5134976081870474,0.21639590452900917,0.2610715738477454,0.0474559834542343,0.858058991261224,0.8383038355018059,-0.004318857271951388,-0.07523092273121937,-0.271666081993135,-0.2330917549271109,0.14296502407076853,0.832801173862556,-0.09028846893476869,-0.6144011316401345,-0.13136907472338755,-0.33221508862631166,0.03865401877055498,-0.08991077610179438,-0.054012081589794605,-0.2199490320407774,-0.08148030385454985,0.02223854848602114,-0.08679326695887404,-0.1998024026599074,-0.0017126796072958082,0.7963526781922582,-0.241439931601123,-0.3000558757480997,-0.019597126504953984,-0.1722493970910798,-0.03123538800104266,-0.1568307872937496,0.051485995108916945,-0.0421524104674566,,-0.008347117123064204,0.709859419416695,0.44870796083362285,0.09111638763491443,0.29576210331203645,-0.401079870527385,-0.36753601755610305,-0.34825946512906525,-0.37490495503690235,-0.38461454750677493,-0.38102760402033076,-0.35941238941507203,-0.32367810006165115,-0.33178085469512875,-0.2943082798647861,-0.35673939982446384,-0.3924194913855728
Principal component 2,4.0088696298613796e-17,-4.1406017226464706e-17,1.0,-5.951320539545821e-17,9.213145726612423e-17,2.124444525531691e-17,1.6020876324414538e-16,4.882994530162562e-16,-4.1281759379816273e-16,-7.220208541396131e-17,-1.2571624272188686e-16,-4.591456519566389e-16,-3.6494359755290827e-16,-1.7035325173873271e-16,5.976485392509985e-17,-2.3704143916268345e-16,-1.4585106721763424e-17,2.5054278406124455e-17,-1.8194097919902633e-16,-2.6500197349106677e-16,-3.1530672512897495e-16,1.5408186317410042e-16,1.0822792050782496e-18,-2.0083530913954374e-16,0.06619461218568692,0.038038229974555124,0.19609818798969997,0.3657153208197789,0.2945600885832519,0.29918615724107406,0.1512963966250898,0.08531508967365403,0.15527127169951283,0.7246761947665052,0.611298270514807,0.5906453563147948,0.5799308908879989,0.5307435583126946,0.45083822881481606,0.39984168810997767,0.3238482579311177,0.2432993178321346,0.20256274050996817,0.22281892756201038,0.20831970905711808,0.1112220365828069,0.48850182601719355,0.4060223243435212,0.2618617966492489,0.305222700258665,0.2706728451730114,0.2112689277476805,0.17376996113832086,0.11846479462624018,,0.03329069737522145,0.3728807677144165,0.5099574497747152,0.5144250073081122,0.5918360345054975,-0.3206418478380082,-0.3632974605529147,0.03513428703815792,-0.1589894917172923,-0.031281193755503145,-0.0773823565230678,0.011561188357722985,-0.39904313131234853,-0.4774906477504667,0.40214384481009496,0.2679076702889354,0.10232630102821541,0.22732821793755684,0.04379843293701454,-0.009038779248614674,-0.06956005004060245,0.0013745544579062258,0.05435787098541383,0.04650122590451195,-0.058766912578030746,-0.0353744532536622,-0.19696129733771306,-0.07131809511326394,0.45558508122654706,0.31224452660800395,0.466466931052632,0.3465520712303174,0.21980247185939597,0.0791688554820386,0.022428968375845966,,-0.38354333893930204,-0.35297963532698173,-0.16473889763353275,-0.003098696193466692,-0.011506595616919808,0.09683225283946938,0.12127259561899176,0.1411345764619645,0.20590881797000704,0.1983126530873777,0.1992546411190363,0.19859991985319944,0.17144654631872855,0.13802424803597763,0.09654014394948762,0.0895904077360797,0.068173600909003
Principal component 3,9.30688796555204e-17,1.4504677343828174e-16,-5.951320539545821e-17,1.0,2.0080899786189165e-16,-3.7458648763515e-17,4.048772065042491e-16,3.179996455915847e-16,-7.689522551225758e-18,7.255014020706261e-18,-1.6517694528224318e-16,-1.6360752877244747e-17,9.687384425859329e-18,-1.3501846430251128e-17,-1.3478277371836482e-16,-6.752146921855495e-17,-1.5098625300840894e-16,-2.5631547073826054e-17,-1.8409403214846798e-17,-1.428238934051098e-16,4.901223843819581e-17,1.8185598101860066e-16,4.82375139962395e-18,1.897754109560624e-16,0.04597461985216577,0.12894427822116591,-0.07150004520244368,-0.10110351553046483,-0.10445129871344475,-0.08948081433733922,-0.036577920898663366,0.08600696414194292,0.004794915893974866,-0.20492896576644054,-0.2706100276764332,-0.34212953186579087,-0.30939996948776405,-0.26052928515562884,-0.24025466718383898,-0.20351108157071798,-0.1749567282620456,-0.16528780290030987,-0.12050337482299814,-0.13993547127226127,-0.12148838798522636,0.06754369331935672,0.035698575377804305,-0.2563919411079184,-0.1921722993284251,-0.06567066256996863,-0.05115729791070115,-0.019185535286837644,0.011826924755897498,0.06436052087653914,,0.0007847402045073698,0.09873044783996195,0.10357234180140727,0.05655062312442457,0.03484424293085041,0.07952365221712751,0.06558074049454793,-0.10513748232219379,0.12510060833508654,-0.09569644715340452,-0.07993572118227713,0.07041658338112788,0.13074157318109977,0.09560195604870991,-0.16766688856825024,0.45985668317256534,-0.14148855768960833,-0.20096237121859237,-0.17177800684163927,-0.13711726654780476,-0.3258571431254701,-0.12086019265504257,-0.10821664724340366,-0.046941136940101234,-0.2360793480545912,-0.1442722867678923,0.09027197416828987,-0.28137670138608256,-0.14598533589324625,0.34075985252101837,0.43437618506594033,0.6160736575395349,0.5941602750033244,0.5919502169111509,0.4833670318157191,,0.006905379795747672,0.24362663137287038,0.30471184222513803,0.3251680794354612,0.30172242081235034,0.0978500055372137,0.040197818806316336,0.05694213499353805,0.024092022635070053,0.004015524556356534,-0.002794232485083284,0.005817838989202723,0.05970971166170501,0.126243969079286,0.15912246145472575,0.15955631649136537,0.16185599188729385
Principal component 4,-9.248951949555893e-17,-5.7359155017069045e-18,9.213145726612423e-17,2.0080899786189165e-16,1.0,6.891662356712439e-16,4.884533270168652e-16,5.913668966950959e-16,-2.197774943407979e-16,-3.566568036509853e-17,9.368026738856134e-17,-7.433527984209407e-17,1.4908942870079278e-16,-2.6362219290637044e-16,-2.0413473876866402e-16,-3.286757855413463e-16,5.2500544264343014e-17,4.1558195753570427e-16,2.7692519606233102e-17,-4.872058148159592e-16,3.4948565362925005e-17,-3.6105194690427765e-16,-4.388178607152479e-17,-8.153388766507778e-16,-0.07674794619907783,-0.06697602932875908,0.4879418742922282,-0.0584253186081548,0.5118929035239453,0.5022543447272316,-0.13708800978573538,-0.049007338209203895,-0.2043664987927198,-0.05364323757071185,0.03616112177935891,0.04540412331665767,0.0972844137536042,0.13610895213332536,0.1847040254088207,0.15051665435891393,0.16511256077734807,0.16523714006069082,0.12966019225716943,0.1649379364758223,0.14959704260985948,-0.15383941794108644,-0.20303283508754616,0.12882832929234178,0.07464954990656329,0.04300321052943115,-0.0031428878962956397,0.03537611013807748,0.049737035288972754,0.04556686318542144,,0.32067159772595905,-0.10436759255619413,-0.14383981177359187,-0.1836063769418476,-0.14935126417352546,-0.07633627451564419,-0.08468389291513966,0.5257488227622201,0.05141955692287802,0.5293334837750437,0.5204379771400988,-0.15668475326573159,-0.06258799975075059,0.3173963392110686,-0.15884466163403202,-0.18237838471024975,0.02368420486107246,-0.22193690596260024,0.10958431004414698,-0.11610231664288745,-0.01583587803129565,-0.06284307396507613,-0.13849277208863064,0.05035957805630341,0.25256790964041204,0.19962421309669756,-0.15205965955529688,0.11802149758270403,-0.3229306280622772,-0.10422390757183997,-0.11882864674343363,0.14994708906341608,0.4002650241597704,0.3238194047892632,0.31718209157811766,,0.35337091753861416,-0.06948774716868059,-0.11967149261639612,-0.11880998864067305,-0.1638275786814534,-0.10844443518900335,-0.015527451025560595,0.06159170842317829,0.024650836254644724,0.014212783627988598,0.007879590442789705,-0.04629906750860107,-0.10806123432473157,-0.1862703009229822,-0.23597359312968605,-0.22273015892484005,-0.19627118881844485
Principal component 5,4.063214318426093e-16,-1.5306672020537162e-16,2.124444525531691e-17,-3.7458648763515e-17,6.891662356712439e-16,1.0,2.680951706251675e-18,-1.3166615795811217e-16,2.545316488104358e-16,-7.421896894625911e-18,2.2038880935498372e-18,-2.9941002713215496e-16,-2.534625200037531e-16,-8.939574189184587e-19,8.648512622673439e-17,2.478566158231948e-16,-1.2692471930367727e-16,8.538244355308263e-17,-7.09631044314936e-17,-8.175215734239362e-18,-5.71455266076972e-17,-1.347634312704485e-17,-4.125028597090625e-17,-3.385895806590671e-16,-0.16284348467417126,-0.11548829848057215,-0.3304412182300216,-0.24783409306513984,-0.3281637752703798,-0.3207770725022038,0.07145552536754793,-0.09791500885068799,-0.17493911868985196,-0.04395827699217099,-0.0809040899163048,-0.009121898772386897,0.08961540501552621,0.09857810308585548,0.10502892585737778,0.08091349605393855,0.12682570837236593,0.13656275660233044,0.12404882451370312,0.10217793304625446,0.10298535302133477,-0.23882370126099745,-0.06178319853888012,0.1778765604566419,0.29972964228180066,0.3762986470798145,0.36952469617664924,0.42169960360397357,0.4259196909453701,0.4178187762411011,,-0.12873077288603044,-0.12080922138497281,-0.042862583070683205,-0.11240207146841322,-0.020380500745866753,-0.08556917578987881,-0.06576565947267768,-0.2962998768761679,0.27190870528734495,-0.12408259535003834,-0.11402747691587634,-0.0741378161902045,-0.004255071561867224,0.20055105523926955,-0.17795541055303404,0.12868451563169372,0.3516109609777804,0.18384691254383406,0.5233458075086649,0.32174334245468234,0.23624580799406494,0.20628749131973412,-0.004251969514461494,-0.006491710186423886,0.05687294099102914,0.054823281190730384,-0.14107087020908682,0.0342784086200039,-0.4597105611990839,0.09581161464586463,-0.08335437324347941,0.1072534286416139,0.18699381902297124,0.1805396442228077,0.07557565356757735,,-0.013496557167641405,0.0021686737235434937,-0.005103253892751346,0.03793348508423022,-0.0511132564166608,0.13625500798254406,0.17294080067639794,0.12307161056318726,0.0946931873304751,0.0697760919414675,0.017373164797526094,-0.0023536102196459563,-0.014879549995311497,0.028970940298301422,0.06287363319765839,0.1311093865456951,0.14972219953986812
Principal component 6,-1.304322134719261e-16,2.095556360647444e-16,1.6020876324414538e-16,4.048772065042491e-16,4.884533270168652e-16,2.680951706251675e-18,1.0,5.859834205475678e-16,8.601778204990669e-17,-2.076881199920529e-16,2.828382562917602e-17,6.0378930795733906e-18,-7.802664257172984e-17,-5.865051656062671e-18,-2.308283955053123e-17,-2.4361533899500423e-16,8.03807007225263e-19,-1.5909081241805583e-16,7.608815011687998e-18,6.090199509454714e-17,1.3991740137673234e-16,5.769279715946316e-17,-2.4118318288513688e-17,4.102319137076734e-16,0.13750524308819964,0.08750366936566709,-0.11051712767734817,0.3500966301881375,-0.15482242770366178,-0.1404828707620661,0.15598252122447373,0.08940194095289818,0.3995689579699836,0.26096280059037924,0.23061383823113496,0.15956957731502305,0.0673467328611529,0.0008207363765154875,-0.10947712156290311,-0.16299693758450678,-0.259477588181077,-0.3074407357653609,-0.2639797127360017,-0.28727751251295974,-0.26559713767965343,0.20905598191317346,0.014830326993428565,0.4091175095481427,0.3015099735670007,0.11523993251689182,-0.051707238129165306,-0.14086160588064545,-0.2014808838860195,-0.2305721655880771,,-0.0430649476136965,0.11692431072490748,0.028569904616396073,0.004939745404670316,0.028236605819962183,0.051340441824776574,0.0783821665790642,-0.16205613570608562,-0.2618789421772751,-0.24873906038658528,-0.24627106623185507,0.09806356412676524,-0.0023663260812247333,-0.31421381750261107,0.05310359196122756,-0.15400522387805402,0.34405741319791755,-0.09010341818327412,0.011727378113348891,-0.2852974811966767,-0.2450650565379023,-0.2206245481523092,0.0013930965605417863,-0.029024935072262243,0.14984747850875596,0.03497053102479107,0.10087014446652813,0.19555156854313815,-0.27487964719604796,-0.26504942674882914,-0.24833107474352983,0.06894611231398551,0.2081707338415335,0.16728943871041352,0.15529506658817327,,-0.20809060981168312,-0.12272953608765318,-0.26428892822637345,-0.4326840314029314,-0.35655290618080143,0.10996414284421574,0.1195036084429613,0.137691017959498,0.1271933269852484,0.12051301428337739,0.1462247855223983,0.14751243635841207,0.1525851828487767,0.12172198380385804,0.055111851976158775,0.05478229494792019,0.07971074445468079
Principal component 7,-2.0472234951343498e-16,4.2543232083967757e-17,4.882994530162562e-16,3.179996455915847e-16,5.913668966950959e-16,-1.3166615795811217e-16,5.859834205475678e-16,1.0,3.8811593924082963e-16,5.814005374351659e-18,4.35953622679357e-18,1.542872601551816e-16,4.981172962954959e-16,1.5483322386638448e-16,-1.3583796412552257e-16,-3.353710298267267e-17,7.09859593649254e-18,-2.3495321258514443e-16,-2.809260088235065e-16,3.6566648616988907e-17,-2.336142695364563e-16,2.8108795489207685e-16,4.285538672028952e-17,4.968936966829383e-16,0.1509762107265417,0.11154093876767984,-0.08683910066503717,0.18738029547528215,-0.028832525141288264,-0.0173332617490785,0.08534893772114202,0.11289652889016946,0.26595490335645733,0.03280898391892925,0.02164571775303602,0.04257946323878308,-0.02992776683923882,0.010605152910873009,0.03108267796117543,0.032374841308232226,-0.008234527082509926,0.021143539435214846,-0.014669144205986875,0.013747217886498204,-0.012262209737119828,0.21566050017435887,-0.06957584563356152,-0.0754215795631672,-0.1666871504403135,-0.20138624183740755,-0.22823381290721959,-0.1979352000443498,-0.16283949938447032,-0.17313698086396745,,-0.054135077268087146,0.07494908410098573,-0.04639368968666808,0.02863167939628313,-0.06175917972465738,0.10624736801482451,0.09099280831095305,-0.09446974050040337,-0.14296154503480352,-0.17311066984634751,-0.17435748693524677,0.04126129141372385,0.05444102136934686,-0.27436288652358065,-0.05533204326762696,-0.1097136991643686,-0.17452738206733348,-0.23449219271488145,0.03949977145279687,0.33031598074401075,0.465453033436788,0.1287699472273618,0.23420785228184465,0.5250707395225823,0.4398907046075745,0.17848881102558908,0.13711049944744405,-0.039311211750061636,0.025633620285857427,-0.03855417756507235,0.19772288018016496,0.11591932037916579,0.2259147658430564,0.06878715619472722,0.006683662379321085,,-0.16834919251110939,0.04740686105648545,0.0025275777754943905,-0.07364567690330408,-0.014182566089764866,-0.20623505239437886,-0.1230443429070001,-0.06405996521211757,-0.00869683480297875,0.09438145835179822,0.13948363239035494,0.1258469884280752,0.07116078132159025,-0.02999921122079638,-0.1037251457012599,-0.16989193418835663,-0.24422654429969073
Principal component 8,1.8702088232645124e-16,-4.819126000374496e-17,-4.1281759379816273e-16,-7.689522551225758e-18,-2.197774943407979e-16,2.545316488104358e-16,8.601778204990669e-17,3.8811593924082963e-16,1.0,1.774593849630427e-16,5.953402353492123e-17,-1.970924968056691e-16,-1.3813682632632522e-16,6.835412919517907e-17,-3.380789720656931e-17,1.7305089648931156e-16,3.961766901091215e-17,6.407318151506501e-17,-2.782954001307826e-18,1.6445375052415794e-17,1.5952778152252443e-16,-9.11038534847791e-17,7.91974907339046e-17,-3.7356181956291354e-16,-0.09795043637596178,-0.05274037707697205,-0.027139110622071617,-0.13560555615459324,-0.05149231563998944,-0.05981884437703506,-0.022465583159598148,-0.05493694893122018,-0.19509697047506955,-0.010571112116298381,-0.0800239709007735,-0.024308995550774985,-0.07185804135233069,0.07375203392374458,-0.05317382969248108,0.01113418387376032,-0.004018042974233758,-0.02403477622902543,0.02783289843902388,-0.013456599671238325,0.09842925655012578,-0.15275381877706967,0.09033359294686681,0.07595547086948515,0.15223173398685974,0.1942235210862669,0.26401569978440753,0.2247969575854724,0.19408146152316713,0.17932129534527771,,0.01091000345492903,-0.022815849595490406,0.09263824054245064,0.05040378157398803,0.12979607472219434,-0.09912992156900075,-0.06546986365895102,0.01734899206316687,0.1234865316912075,0.051825539186752145,0.051177304110242884,-0.11365841031631194,-0.048246530219390286,0.20297338572557388,0.017111553804282892,0.08435327920344547,0.064787627277451,-0.0973865877702157,-0.3026288907367298,-0.11649995371036619,-0.15279217606238643,-0.1772224436554467,0.4291918580913622,0.681721736447011,0.07666694874654621,-0.38372209211928304,-0.13183933077701435,0.014972356283778843,-0.11489410511869778,0.0345114330032401,-0.12917889113892883,-0.1106275229457184,-0.12170893585109152,0.010343040435009429,0.07689967114379184,,0.07892855462098697,-0.02998876468267751,0.012542768407131035,0.08605454471784868,0.03158627346336348,-0.2142281092777364,-0.2277089831640802,-0.09353837058772144,-0.051657652453851205,0.007928763513990123,0.0647987335161798,0.12304472174006258,0.21694090268754654,0.19334035792797205,0.15640816374668864,0.02412136656797627,-0.10398256256096745
Principal component 9,-4.356941474893664e-17,1.4816151045500432e-16,-7.220208541396131e-17,7.255014020706261e-18,-3.566568036509853e-17,-7.421896894625911e-18,-2.076881199920529e-16,5.814005374351659e-18,1.774593849630427e-16,1.0,5.914367930610354e-17,-1.7898118137130895e-16,-6.218423552424256e-16,-1.223035186067748e-16,9.417062288981925e-17,1.7129662880977299e-16,2.2118394994740396e-16,1.0620883741774452e-16,-6.154783136994028e-17,3.339164615854184e-16,8.463749849003558e-17,3.62292193345646e-17,-1.7467691299333088e-16,-1.0992810744368385e-17,0.032767370387363895,0.01443465174741842,0.07219505423801299,-0.0497436138362942,0.051194677926969266,0.04635458947351233,-0.05670004585950121,0.04749143618485569,-0.13775684874847435,0.12394918864752656,0.06803992907052213,0.08656809310188879,0.003622214609797309,-0.0645933441373903,-0.16917586611458935,-0.1879600319662617,-0.20243267569384568,-0.17008544801049863,-0.15786994626574516,-0.1871494507726787,-0.1363286797755403,-0.0008719150919260754,0.005834872475838796,0.31627881386238765,0.3196263484745759,0.22607249534412396,0.13791591282812635,0.10839164186517275,0.09066272125385154,0.06401493650125356,,0.06034227509435089,0.02839131980618832,0.010003385898847339,0.02105964860235185,0.017028685498838392,0.021817155889234753,0.007664436406356593,0.06792361557138368,0.03807870837475631,0.07623201350504807,0.06616792941734491,-0.1435392549280948,0.00774578430857574,0.12876772117317434,0.04089873025291668,-0.0981575625452044,-0.15805597786822442,-0.21534641851100905,-0.16951509467215672,-0.2041426415609972,0.37257884303868255,0.45985977285768587,0.29753578058159946,-0.20773056209477397,-0.1808843725753985,-0.14388988009763576,-0.007805012570142277,0.11957790516970614,-0.19231640675421724,0.1188580020458089,0.130736689157042,0.18477577208176382,-0.01415566318862688,-0.17825996874482997,-0.11055779186284713,,0.016692480933276917,-0.07991913583206356,-0.14215464709682168,-0.20657023299168006,-0.17895899475564367,0.11685038371714784,0.017703254653610657,-0.06169267942219946,-0.143058002312373,-0.15407130058491778,-0.1457339625757142,-0.09163092666882035,0.0042365950093701706,0.07210616496489654,0.18154713983920914,0.23457266630477314,0.17644336298225613
