,Principal component 0,Principal component 1,Principal component 2,Principal component 3,Principal component 4,Principal component 5,Principal component 6,Principal component 7,Principal component 8,Principal component 9,Principal component 10,Principal component 11,Principal component 12,Principal component 13,Principal component 14,Principal component 15,Principal component 16,Principal component 17,Principal component 18,Principal component 19,Principal component 20,Principal component 21,Principal component 22,Principal component 23,Principal component 24,Principal component 25,Spectral Centroid Overall Standard Deviation,Spectral Rolloff Point Overall Standard Deviation,Spectral Flux Overall Standard Deviation,Compactness Overall Standard Deviation,Spectral Variability Overall Standard Deviation,Root Mean Square Overall Standard Deviation,Fraction Of Low Energy Windows Overall Standard Deviation,Zero Crossings Overall Standard Deviation,MFCC Overall Standard Deviation 1,MFCC Overall Standard Deviation 2,MFCC Overall Standard Deviation 3,MFCC Overall Standard Deviation 4,MFCC Overall Standard Deviation 5,MFCC Overall Standard Deviation 6,MFCC Overall Standard Deviation 7,MFCC Overall Standard Deviation 8,MFCC Overall Standard Deviation 9,MFCC Overall Standard Deviation 10,MFCC Overall Standard Deviation 11,MFCC Overall Standard Deviation 12,MFCC Overall Standard Deviation 13,LPC Overall Standard Deviation 1,LPC Overall Standard Deviation 2,LPC Overall Standard Deviation 3,LPC Overall Standard Deviation 4,LPC Overall Standard Deviation 5,LPC Overall Standard Deviation 6,LPC Overall Standard Deviation 7,LPC Overall Standard Deviation 8,LPC Overall Standard Deviation 9,LPC Overall Standard Deviation 10,Method of Moments Overall Standard Deviation 1,Method of Moments Overall Standard Deviation 2,Method of Moments Overall Standard Deviation 3,Method of Moments Overall Standard Deviation 4,Method of Moments Overall Standard Deviation 5,Spectral Centroid Overall Average,Spectral Rolloff Point Overall Average,Spectral Flux Overall Average,Compactness Overall Average,Spectral Variability Overall Average,Root Mean Square Overall Average,Fraction Of Low Energy Windows Overall Average,Zero Crossings Overall Average,MFCC Overall Average 1,MFCC Overall Average 2,MFCC Overall Average 3,MFCC Overall Average 4,MFCC Overall Average 5,MFCC Overall Average 6,MFCC Overall Average 7,MFCC Overall Average 8,MFCC Overall Average 9,MFCC Overall Average 10,MFCC Overall Average 11,MFCC Overall Average 12,MFCC Overall Average 13,LPC Overall Average 1,LPC Overall Average 2,LPC Overall Average 3,LPC Overall Average 4,LPC Overall Average 5,LPC Overall Average 6,LPC Overall Average 7,LPC Overall Average 8,LPC Overall Average 9,LPC Overall Average 10,Method of Moments Overall Average 1,Method of Moments Overall Average 2,Method of Moments Overall Average 3,Method of Moments Overall Average 4,Method of Moments Overall Average 5,Chroma feature 0,Chroma feature 1,Chroma feature 2,Chroma feature 3,Chroma feature 4,Chroma feature 5,Chroma feature 6,Chroma feature 7,Chroma feature 8,Chroma feature 9,Chroma feature 10,Chroma feature 11
Principal component 0,1.0,-2.994644263190477e-16,-8.193177354909382e-17,-8.989129344543187e-17,3.1069044462915483e-17,-4.7914943685106276e-17,-1.1278083991818019e-16,-6.638904599304705e-17,-4.583378723992216e-17,1.0421421319241969e-16,-7.141288063873715e-17,7.417471438237276e-18,2.4700104596841845e-16,-1.7766956298531037e-17,3.235808393201597e-16,-5.022366232238005e-16,-1.6960297664935143e-16,-4.741855022674112e-16,-4.3977539295336735e-16,1.983429759227053e-16,2.2774953762414904e-16,-1.8561254617091737e-16,1.5735573454074546e-16,2.0527257562444213e-17,1.341402660518622e-16,-2.2106457374617422e-16,0.6494214387727306,0.7664260826219175,0.5141918796780669,0.12011814531610904,0.3834035987511809,0.39953824299653445,0.019484956491920398,0.7660123819284493,0.1309355504727195,-0.06296517366707051,-0.0038128122809672218,-0.11062797110775034,-0.11197346750776771,-0.07742322836464971,-0.12248782121851358,-0.08428584098406158,0.01166901933903957,-0.08954839499309317,-0.07823867543410551,-0.10999002256589517,-0.22335670324746235,0.4633728941882487,0.640856160063258,-0.5292745662189836,-0.19389868191313042,0.22922469008117427,0.3646355564949961,0.42555475359085626,0.40592803079231604,0.4357063819670842,,0.6970091057117951,0.7838445377971535,0.7050419420757791,0.48811626735365304,0.4698333117227217,0.5161287778350567,0.5943803198808444,0.5956431583474674,-0.10383127516414743,0.4511758456797017,0.5009447866511971,-0.045824672326106375,0.6546167486409625,0.4306734318958142,-0.7102902543278123,0.6214755177367941,0.13426789760425287,0.4940416247405897,0.35698326233822686,0.46417781274008096,0.04196179383909039,0.046440136748193916,0.024472503662607746,0.15707552064117514,-0.017187387856268426,-0.0224751199214163,0.7208265858702002,-0.8607389057801799,-0.2560016456526709,0.2887408401241183,-0.03418030583537253,0.25059672011208695,0.14171287565795923,0.21810890702568372,0.04453845518872208,,0.7065868611076795,0.8111552890843733,0.8615715787764108,0.8088148811079918,0.8277678615097468,0.11724045785410242,0.17352740433353245,0.2257252050650555,0.29418241926404304,0.29025431522339457,0.2274678264249618,0.19176914129749167,0.1878501575447154,0.26417664045192185,0.20188282588280118,0.14687940203638444,0.1325591538889031
Principal component 1,-2.994644263190477e-16,1.0,-7.063501564727582e-16,1.1375666760802638e-15,7.712177023647407e-17,-6.983105101677288e-17,-2.0542549835074684e-16,-2.3548084101445814e-16,-2.6570878612079105e-16,-3.00073266839016e-18,-4.2249179546360893e-16,1.9602379597629984e-16,-1.806750556384239e-16,5.420237345096841e-16,8.006606970087661e-17,7.469741026330144e-17,-3.707267528991963e-16,-1.9792049212310655e-16,6.513957171990323e-17,-3.595602921323041e-16,-4.3608619049566295e-16,-5.848499727923934e-17,1.6768495157619753e-16,4.476010000641956e-16,1.572785101767942e-16,-1.7278046652516667e-16,-0.3031203354988989,-0.33555240964956523,0.5958620457185788,0.2571753866352369,0.33673007206569494,0.30487500294902525,-0.06446033176395599,-0.3680897569718362,0.13095365173917664,0.19839983633715255,0.09956076518674854,-0.012853759707875514,-0.11126639969661889,-0.3741742201754498,-0.39454317382731124,-0.4417834617645721,-0.5667643661559089,-0.5852183012272865,-0.5878143697678562,-0.5644837000099532,-0.5138124326893738,-0.08770733849911695,0.26940953064476736,0.19102601776735573,-0.046655053937141665,-0.3269267935707962,-0.4318278765876826,-0.5103188534728776,-0.5555048495942527,-0.5787611472042505,,0.24027299470780683,0.013371584807128337,0.2649319580847209,0.3991503354112249,0.43134855348769924,-0.7039090151394958,-0.5919170818722748,0.5060175389086538,-0.5497170689245766,0.36731284391098373,0.34510038998875003,0.0925305582508602,-0.6021557698223677,-0.11093648809096712,0.5318972660779965,0.25068915881534093,0.5477474578589878,0.48058058769625644,0.049445695730582384,-0.20249891178351395,-0.006873805250506861,0.09954816383868405,-0.0023463099759649325,0.023875714630768236,0.2997366112208035,0.08823296430718111,-0.49474293249000667,0.11029489366736582,0.34948310913695396,-0.3327060773326661,-0.31736544115175264,-0.4519466361972576,-0.43466928477153655,-0.5769302953847628,-0.3841003861375145,,0.1690036252282462,-0.4739357140487985,-0.2896903062500089,-0.21785441051192866,-0.19161783741775698,0.49358398664329906,0.6240590648839661,0.5892785371983664,0.6685024078240758,0.6207454515087523,0.6185407547501789,0.5298483571373972,0.501471328860416,0.46792825422950013,0.38361825988653575,0.43297373475456763,0.42207033665639526
Principal component 2,-8.193177354909382e-17,-7.063501564727582e-16,1.0,-8.295144309893501e-16,4.936586453611468e-16,-1.4947939738107005e-16,3.1240183155888857e-16,7.928884067578519e-17,6.063931575580219e-16,-2.373253133220179e-16,-1.4616727714454074e-16,-1.867105257491579e-16,8.430973872975292e-17,1.5713306488451965e-16,-3.4808063208027366e-17,-2.3002475325372955e-17,6.917683410187393e-17,1.8955346173898878e-16,-8.414118525912491e-16,2.185621201495336e-16,-2.4282617503384323e-18,4.0460491162615344e-16,1.0623863403776995e-16,-6.637532958237248e-17,7.426979837968068e-16,-3.755213116493349e-17,-0.0993608409123245,-0.07042386666456993,-0.28303326482922114,0.19392503893698704,-0.29642931926975113,-0.29900455612631716,0.1963863333321018,-0.14424321203450974,0.21799358167840885,0.2758550229902975,0.3560336281698212,0.06326133547429308,0.05208163453809701,0.07101982601742877,0.029304182133003835,0.11406359426228219,-0.0032061443477195686,-0.1042767333029066,-0.015745799664268527,0.019846316188381,-0.050252065723140484,0.15537430270027616,0.418949765023147,-0.3622972503424745,-0.4433113308424067,-0.13228539832507738,-0.055920269590692614,-0.08516632860764758,-0.07542232505795461,-0.08990918267174555,,-0.3929194902364264,0.21615995177769823,0.42265283302087914,0.5319829343927887,0.5126202616669682,-0.30827668395576835,-0.330122756353016,-0.4542322593275446,-0.10383839623119055,-0.5430139879036365,-0.5474074120159931,0.3326853857747013,-0.28832721860547483,-0.5582875755032665,0.1875777927414563,0.5551882728277561,-0.097192281958088,0.21319837624829743,0.06851110056063546,0.14219718777214216,-0.3980126296033004,-0.21610340917320556,-0.2106301211873067,-0.027388112781639707,-0.16678853435256305,-0.15942222999389283,-0.16958293596392857,-0.19668646158202582,0.4995763978745128,0.41877778685439004,0.4395464758083018,0.1320041775432128,0.08877551091970523,0.06948282281814297,0.06890142992606334,,-0.5110052653610679,-0.06534443440405921,0.12397051935712691,0.2957211263230656,0.28066578377531176,0.28648168146324227,0.25923115675323694,0.14752636229314323,0.1581897857661993,0.16981787811867805,0.20484348360013543,0.14986861223025624,0.09695510972334445,0.06568533769650431,0.09144281763357884,0.17201500448428572,0.24037415065143158
Principal component 3,-8.989129344543187e-17,1.1375666760802638e-15,-8.295144309893501e-16,1.0,5.587272092653266e-17,-1.0343114079337337e-17,-7.107375958174546e-17,-4.826863357696376e-17,-1.0193612301210197e-16,-3.297353661921014e-17,-1.268039524842599e-16,-8.420674760677723e-17,-1.209187649676148e-16,2.1385979425336103e-17,-3.4234789472969673e-16,2.3940353981934863e-18,7.919711507369054e-17,-3.6758891959665076e-16,3.4291522066968797e-16,2.7483526246205454e-17,-7.993019165538442e-17,6.206209083057466e-17,2.6191135010820832e-17,1.8432400540688943e-16,-9.775167097325817e-17,-1.2442751414583488e-16,0.253915393901961,0.10464636095827166,-0.08875815064173823,0.1371117299995206,-0.29885138390463123,-0.29407966272578456,0.19826784484641088,0.21655635299840922,0.1873004527330939,0.4421802777548663,0.3761633332823663,0.3813373228860971,0.3832455397943883,0.4218168205471113,0.4521619652610863,0.43088261952834084,0.3230350536180566,0.3283196359206073,0.34898326176393984,0.3239849020487044,0.21386767010613938,0.19472301564978925,0.11038853965826835,0.15381828200385297,0.4126753564592761,0.38293696954240874,0.37620889829494913,0.32601673882225046,0.3088388572350128,0.23666951251184343,,-0.2213588710704495,0.1958617132485849,0.12804549296411774,0.15232165130076256,0.1583979301730119,0.08403473910938226,0.15469404975504397,-0.09812833393737774,-0.17900834997472415,-0.3413987329294619,-0.3347540295971068,0.11423818502784233,0.06192271874661695,-0.35370738568038174,-0.05324616898971563,0.007431081898933159,0.3375726539058152,0.36639325021381025,0.46910984802242367,0.26635895541624827,0.18798709186198784,-0.2349923065555548,0.06070799432062675,0.4554993328645139,0.35751252830133684,0.14964691728676852,0.08460501823157639,0.1559166685384885,-0.23688315519308903,-0.05883407516490179,-0.31008323156047285,-0.2784220753935248,-0.23902158363389703,-0.25277026006225317,-0.3998514373220438,,-0.261888318434084,-0.07332576560758397,-0.13715717184703535,-0.15662114205462335,-0.16215911290155366,-0.37831938122810743,-0.16110135174199477,0.05430152181866684,0.13180342269314527,0.251660855551682,0.1915593749034244,0.08927729254069858,-0.04606423476008622,-0.1629600993082521,-0.21695150732681467,-0.41426640522552266,-0.41542812693267217
Principal component 4,3.1069044462915483e-17,7.712177023647407e-17,4.936586453611468e-16,5.587272092653266e-17,1.0,-3.782984174056031e-16,2.5855869343537103e-17,7.219819186889577e-17,1.975273865539899e-16,-1.3150532319849978e-17,-2.7074833238012645e-17,-4.615875388414919e-17,-1.9889791893507586e-16,3.962879086713722e-16,-1.0592090391155085e-16,-1.6953993628157943e-16,-2.469519317614471e-16,2.6434684843234156e-16,2.6239095247517005e-16,2.360180111480546e-18,3.2347205018588475e-16,3.6442632455959454e-16,-3.0948045053660786e-16,-3.733158683193224e-16,-1.5238876407930551e-18,1.4514779142309297e-16,-0.04672966001120259,0.005087288216116428,-0.3756706598924424,-0.23157686297796334,-0.4335583287953687,-0.41340084879787997,-0.03453953802466552,-0.010013928631586353,-0.045181932243934485,-0.3092647546854812,-0.3648350318876463,-0.3175271807431922,-0.4448163891459008,-0.3839155566335797,-0.3550267595122934,-0.37610055868302633,-0.3669574412578538,-0.39217894225577404,-0.39490413437464394,-0.3671617737320919,-0.3739103863883047,-0.07413491908399261,-0.17636245803270376,-0.20929769665023654,-0.22533229233290253,-0.2603040708270611,-0.23027721333995999,-0.15332764578602673,-0.1770342112607458,-0.15838460055657907,,-0.11906244260627857,-0.1322026231545495,-0.21991917497196847,-0.2813925985025891,-0.28876430986309726,0.012663499882307942,0.05063898180622869,-0.21270768548376748,-0.07804803043205506,-0.1792436834622104,-0.1537912959249426,-0.23083940582753143,0.09704450014313938,0.1474611820376222,-0.048550061512046765,0.13824510458586395,0.06192450799950886,0.12073136972280203,0.2830044323551243,0.21261563199332298,0.37980326692140365,0.4117710008986551,0.49219602775083793,0.3957347742862243,-0.05733374126477334,-0.30438381718247304,0.05803336271131485,-0.15307119698291013,-0.12689144480619458,0.027072848743815773,-0.12498401304469095,0.008476776619952442,0.044838874182544335,-0.15310363257752926,-0.21251422846416398,,0.03229293678478625,0.10718954999176689,0.12329390620056241,0.0690825716983347,0.06840128116553887,0.06005562432033645,-0.05143023732909208,-0.12791145280143357,-0.04727641435188005,0.07749364774985666,0.12204795025165228,0.22076365276619284,0.3123213685419537,0.48031200243624567,0.5151915974300453,0.41383947801332,0.23132847985464286
Principal component 5,-4.7914943685106276e-17,-6.983105101677288e-17,-1.4947939738107005e-16,-1.0343114079337337e-17,-3.782984174056031e-16,1.0,2.1105306840014572e-16,-1.9147860003135398e-16,1.8791769499088402e-16,-1.8822463302569743e-16,1.4546477846958628e-16,2.066093294969339e-16,-4.11279265878533e-17,4.2767765540029934e-16,3.2936008831420796e-17,1.237327254486416e-16,-1.4054697109548008e-16,-1.6471731919614606e-16,2.0426605558052383e-17,1.589225797243536e-16,-2.858341385039996e-17,-8.687548708469269e-17,1.8266468976333168e-16,-2.233085085421572e-16,-1.5045502361002836e-16,2.1387828579146826e-16,0.036578759052389845,0.053013491780708195,0.14087993831971876,0.1928721314865175,0.10102142287237835,0.10332029574673998,0.14239481408959218,0.10536832690719986,0.12251721500446212,0.42774689789739023,0.021610681634119916,0.36960193286177223,0.24926927171310528,0.2057836299571471,0.16960689463181522,0.13236380991286104,0.04208810349332467,0.04136902802533171,0.08360743766659784,0.07100857787916036,0.14000892799376954,0.08440411109125716,0.035282529073101004,0.36571598229113045,0.2575457948825822,0.2071646067014363,0.10082582541276722,0.07704692463328346,0.038372046426799526,0.02591972255286257,,0.09373890889842273,0.168872843115257,0.04681121448743771,-0.05563049097992894,-0.015603903906724295,-0.24377940737972842,-0.19043524143736879,0.036063305023143186,0.11363287636730683,0.010008655027005991,-0.00824558691226386,0.04021544592745108,-0.22016677416019387,-0.1738791348441019,0.021641778195860325,0.12343748196277551,0.41841210260213946,-0.17638563714852207,0.2085777884783835,-0.10547218909973373,-0.0945736864484021,-0.024756064195262585,0.3160354707312594,0.11030184566267025,-0.22282648779239336,-0.16425132427668018,-0.1707789804266795,0.12149307788394076,-0.44179119092984653,0.02711286026107653,0.15103784918024227,0.5621426110815162,0.5743570311967854,0.2907310471595214,0.21096044913719667,,-0.08665940789201007,-0.210607972435631,-0.24843002945631779,-0.31303715209628785,-0.32316776333383745,0.1148025360468654,0.04594804664972392,0.06152771200179266,0.05204989520436045,0.15352717924869497,0.2968922811806608,0.315934798077535,0.36758785517865755,0.3330015891309524,0.3540233494198975,0.236075766541308,0.13407011048485784
Principal component 6,-1.1278083991818019e-16,-2.0542549835074684e-16,3.1240183155888857e-16,-7.107375958174546e-17,2.5855869343537103e-17,2.1105306840014572e-16,1.0,1.7546092448844456e-16,-1.426430630853927e-16,-2.5347307681594286e-16,-4.08150833841025e-17,3.853961161462727e-17,-1.1134402352292162e-16,-5.638598873044548e-17,-1.6920348441429186e-16,3.5667172699418753e-16,3.3106989736429595e-16,1.976284094041498e-17,-5.934744068526632e-16,-1.979335232901698e-16,-1.1100426242501306e-16,1.0286111161577638e-16,1.0267869208649736e-16,-2.179477573362054e-16,-2.9729137942475636e-16,1.1842680509390067e-16,-0.0730592773786313,-0.09832364294204894,0.18711241919495206,0.01808359195543963,0.24842349029404012,0.22903341670527963,0.02079986632806892,-0.10415119201655641,-0.002367940067237752,0.19890850210257074,0.3474446191652881,0.2114990920848259,0.20962278476990892,0.2074520036107491,0.27400432959432863,0.22472111509137438,0.26485316136234893,0.20041559197853204,0.2530061531092883,0.26449101427932586,0.21836524087839979,-0.049755069701786066,0.12856849999039952,0.13163698146910557,0.1204618855172153,0.17038384813708574,0.05496673923405355,0.06551807114191281,0.05171345742861671,0.07748059757070641,,0.0076093327822654875,0.01220583356958934,0.11534975904344354,0.1742113956518367,0.16894173759108455,-0.04421971968487608,-0.10987749048338727,0.13439342177449762,-0.21142213050838374,0.1444532426705453,0.12469177199822029,0.10838890918276162,-0.1029156733814405,-0.10038566382770582,0.13574397868618027,-0.019553923325736525,-0.29981553082317386,0.08759555116085808,0.31591927819442317,0.24712553139380292,0.30649939873360826,0.5356173225254773,0.3039762822058792,-0.09106450783339973,-0.3607266034210561,-0.23729693817929376,-0.08989860214833773,0.13964218778652976,0.25226812714235963,0.2827763534490287,0.10331767201514125,0.0283615776736907,-0.020182353938447587,-0.2583382647621508,-0.25404300594630086,,-0.01642798932736136,-0.13288591541474917,-0.11766699495648268,-0.06737563333264254,-0.07512810997669075,0.10125224953093595,-0.18421626546513464,-0.37663451764066375,-0.37451360728590505,-0.35487186560971296,-0.321716596308413,-0.3639473692586089,-0.25333977476789077,-0.1564265381075511,-0.01284300305933951,0.197962549113289,0.19549218206551214
Principal component 7,-6.638904599304705e-17,-2.3548084101445814e-16,7.928884067578519e-17,-4.826863357696376e-17,7.219819186889577e-17,-1.9147860003135398e-16,1.7546092448844456e-16,1.0,8.220386281170692e-17,9.176841138961982e-16,-1.3315166876749224e-15,-4.618995219275257e-16,-2.1154768524255706e-16,-1.8321455781119928e-16,6.592481191354224e-17,1.3866518153645487e-16,-7.162205427557873e-17,4.575793498729014e-17,-4.4225487982130624e-16,3.026472610242549e-17,-7.758424177417382e-17,2.659413591988066e-16,1.442112597630536e-16,-1.5476460965348585e-16,-3.4532489204085314e-16,7.921142415661289e-17,-0.05326569872857997,-0.020518199310383723,0.006670124069815643,-0.072004798285578,0.08994115763318133,0.09244685206476702,0.007480146506135549,-0.08739299208888067,-0.012863523827613927,-0.002371853928851796,0.08355299297159453,0.06619894619468385,-0.053358793139691454,0.015592146154685012,0.11159995687471579,0.17315470186430743,0.08117634424738032,0.14457987461865499,0.09508825791798353,0.09035581050590251,0.09621335077458659,-0.01339980281942872,-0.06387006927643303,0.04456004673102732,-0.21185007043707213,-0.35388401187282514,-0.4024290683545078,-0.35582201844371447,-0.31551453613721414,-0.27375690161269073,,0.04629725104002137,-0.09645051700052017,-0.09926383954236513,-0.14686594486979218,-0.1260214485983311,0.0024041575308517086,-0.031539661846052176,-0.012518120942207235,-0.15088662437852712,0.009704681265993668,0.01226647803763421,0.06662034634733677,0.00398218443120562,-0.0991651191184108,0.064299368898892,-0.07467615857974205,0.12078080314642578,0.05085276844426171,0.41696429114508665,0.5365831900962518,0.23837002435298252,-0.029972946387687466,-0.1402766165733483,-0.20188298759425477,0.14714418308950378,0.27359135272934626,0.03115387592312144,-0.11266387832203077,0.1848832147823283,-0.4235562287783338,0.2591928893823443,-0.011014556284920471,0.2194630535892979,0.2645573282560839,0.13856049892040234,,0.018880514792850613,0.03865874026047865,0.06402898704703919,0.0034126808333163347,0.04872968495444438,0.04080784627768377,-0.009329304092702608,-0.08252108655825978,0.07107386303702565,0.16610546154758973,0.10532409740797134,0.02980469587735569,-0.025201077925121437,-0.06239185833593179,-0.2018427822165122,-0.037453889958160486,0.005077971826778028
Principal component 8,-4.583378723992216e-17,-2.6570878612079105e-16,6.063931575580219e-16,-1.0193612301210197e-16,1.975273865539899e-16,1.8791769499088402e-16,-1.426430630853927e-16,8.220386281170692e-17,1.0,-5.326777493914763e-16,7.724522650054421e-16,2.9892189627450063e-16,9.525651724398265e-17,-8.384278857591709e-17,7.355485760691689e-18,1.055266070485731e-16,4.349760124500008e-17,9.329590618487913e-17,6.819345444736355e-17,7.236177195502149e-17,-1.50755514990684e-16,1.3594146336230155e-17,-1.2927039596302363e-16,-2.825513303628793e-16,-1.7121254417541613e-16,2.0131355563233348e-16,-0.21918014438722247,-0.1980742840702952,0.0779279571384011,-0.05989828388489144,0.04813660965497252,0.029875174331450503,0.05094001348768081,-0.18869331462629962,-0.040045029033596136,-0.08533041649672392,0.04195536547245461,-0.0653482644199868,-0.06473001184117363,0.08505682273997756,0.08836446683094361,0.10033334301760513,0.11184490882176021,0.044747597443441214,0.1143475650815176,0.044860905033064606,0.028759559886581795,-0.1784328209853599,0.04088224131879087,-0.06481077130550733,-0.17390019096690348,-0.21089087986520724,-0.08370570641707702,-0.11069578203851504,-0.1000441918794951,-0.135423970995126,,-0.03550680539245426,-0.1476485468487631,-0.0008023651846917682,0.010188481748677949,0.0347089145847675,-0.01226888587086552,-0.09051628708625144,0.12208279833230515,-0.03382636887601002,0.19722534200625388,0.19507979642026688,-0.027909687025996506,-0.015697092210174745,0.0766998374837163,0.03072227846529991,-0.06362774270076962,-0.17000954570237248,-0.17896814270071915,0.04763802832725984,0.028324628252514517,-0.32186282377237474,-0.18536174311568093,0.2065112040107132,0.5684918649590018,0.2798859368320431,-0.15972878323677464,-0.05378497516775838,-0.030936173304895172,0.24758114429682693,0.017001188075816322,0.08095962849380386,0.12323851197994104,0.16383547614947677,-0.04452413710642999,-0.15102057729726928,,0.15210763261499702,0.025565991107841583,0.05507893429923715,0.08450135043303361,0.08157513038672842,-0.4299791890847885,-0.39757628864147815,-0.2990662586398577,-0.20169224584326764,-0.07542230479072148,0.07455346498596312,0.19207734968769075,0.3179244608140366,0.1961443034452173,-0.06950784256250081,-0.29972379855887316,-0.4200508253871649
Principal component 9,1.0421421319241969e-16,-3.00073266839016e-18,-2.373253133220179e-16,-3.297353661921014e-17,-1.3150532319849978e-17,-1.8822463302569743e-16,-2.5347307681594286e-16,9.176841138961982e-16,-5.326777493914763e-16,1.0,-6.051711415459774e-16,-1.613158701456093e-16,-4.651149890851554e-16,2.1973878955189572e-16,-2.7999734830680987e-18,-1.17680837003743e-16,9.062365068612848e-17,2.396075093508736e-17,7.431752003834241e-17,-3.267963238160976e-17,-4.720267892537886e-16,2.6006803527357757e-16,-1.5972467311150213e-16,-6.023776078719752e-18,-8.741479043683917e-17,-1.9808869187615557e-17,0.13074232428142088,0.12426675416152548,0.011297217726369843,0.09805962289793693,-0.040656423816254554,-0.026949946811326276,0.020859708165775485,0.090873614378239,0.11953275169702902,0.13815101555791606,0.07303537991208256,0.01733280913497821,0.08291497987011671,0.007743170683688992,-0.024462497632770884,-0.08258203422815195,-0.07228528563343387,-0.10582572540823972,-0.03339153020574466,-0.027971233167319247,0.04944459601455878,0.17669335030720312,0.20895412346308306,0.1114786081911603,0.10222856128712296,0.015497881617585656,0.00222951148453971,-0.02874699983274837,0.025331483965191484,-0.006409570173967754,,0.047291807185783206,0.2040331313676198,0.17524540834346491,0.16318852407755313,0.14303794916226759,0.006430347723311381,-0.011780086878547433,-0.0840733498094803,-0.06096627957466522,-0.11359943287375132,-0.11606188391676367,-0.09408526934529705,-0.008622681625817287,-0.0718232680128217,-0.018143554263760516,-0.09254823694293807,-0.19339557853538786,-0.2203153445842636,-0.19093806264366361,-0.20794233685007593,0.19160490760603444,0.4647447345647755,0.19895669488287068,-0.03843266817240824,0.49344942950854537,0.4871134405867185,0.0440093438509012,-0.07253607198312965,0.01587060694386065,0.021380103206218103,0.15951426700501853,0.09902096192855434,0.10851819627558792,-0.049185376554797745,0.001938066410544687,,-0.12049249335343826,0.014682976147861645,0.028656677716256743,0.011216211935261029,0.03252073388148189,-0.06560493846696087,0.012361845835767382,0.016856834179642947,0.01044281437796706,0.1582676375361974,0.18543394144611564,0.1382183334315966,0.09812895936532708,0.016350368220551637,-0.03187679311567198,-0.0702405406152555,-0.07457692377965991
