Song,Arousal,Valence,Quadrant
A001,0.22499999999999998,0.875,Q4
A002,0.375,0.7125,Q4
A003,0.21250000000000002,0.25,Q3
A004,0.16249999999999998,0.22499999999999998,Q3
A005,0.7875,0.7125,Q1
A010,0.9625,0.21250000000000002,Q2
A011,0.65,0.8375,Q1
A013,0.7875,0.275,Q2
A014,0.9,0.7125,Q1
A017,0.275,0.75,Q4
A018,0.125,0.25,Q3
A019,0.775,0.875,Q1
A020,0.9,0.2375,Q2
A021,0.375,0.7375,Q4
A022,0.7875,0.825,Q1
A023,0.95,0.11249999999999999,Q2
A024,0.6625,0.7875,Q1
A025,0.875,0.21250000000000002,Q2
A028,0.9375,0.09999999999999998,Q2
A029,0.15000000000000002,0.16249999999999998,Q3
A030,0.22499999999999998,0.75,Q4
A032,0.025000000000000022,0.625,Q4
A034,0.4,0.22499999999999998,Q3
A038,0.175,0.15000000000000002,Q3
A039,0.9,0.95,Q1
A042,0.775,0.9,Q1
A043,0.725,0.75,Q1
A045,0.22499999999999998,0.25,Q3
A047,0.825,0.9,Q1
A048,0.35,0.2,Q3
A049,0.925,0.125,Q2
A050,0.875,0.9,Q1
A051,0.975,0.08750000000000002,Q2
A055,0.75,0.275,Q2
A058,0.21250000000000002,0.8125,Q4
A060,0.3375,0.21250000000000002,Q3
A061-66,0.21250000000000002,0.25,Q3
A063-90,0.21250000000000002,0.6875,Q4
A064-116,0.85,0.9125,Q1
A066-140,0.025000000000000022,0.6875,Q4
A067-104,0.25,0.8125,Q4
A068-167,0.975,0.0,Q2
A071-70,0.3,0.275,Q3
A073-143,0.35,0.275,Q3
A074-91,0.925,0.025000000000000022,Q2
A077-122,0.875,0.875,Q1
A078-173,0.25,0.75,Q4
A080-92,0.9,0.07500000000000001,Q2
A081-67,0.25,0.275,Q3
A082-93,0.9125,0.0625,Q2
A083-158,0.275,0.21250000000000002,Q3
A084-75,0.375,0.3125,Q3
A085-69,0.3125,0.25,Q3
A088-136,0.3375,0.7875,Q4
A090-94,0.7875,0.1875,Q2
A091-95,0.7875,0.21250000000000002,Q2
A092-96,0.8125,0.875,Q1
A094-110,0.875,0.9125,Q1
A095-113,0.975,0.975,Q1
A096-68,0.3375,0.21250000000000002,Q3
A097-152,0.275,0.25,Q3
A098-154,0.21250000000000002,0.725,Q4
A100-124,0.9125,0.875,Q1
A101-111,0.7875,0.975,Q1
A102-114,0.875,0.875,Q1
A103-99,0.7875,0.21250000000000002,Q2
A104-119,0.975,0.9375,Q1
A105-117,0.85,0.8125,Q1
A106-100,0.25,0.21250000000000002,Q3
A107-115,0.85,0.75,Q1
A109-138,0.1875,0.7875,Q4
A111-141,0.21250000000000002,0.85,Q4
A114-120,0.85,0.875,Q1
A115-84,0.75,0.7875,Q1
A117-76,0.3125,0.275,Q3
A119-151,0.125,0.725,Q4
A120-168,0.08750000000000002,0.75,Q4
A126-77,0.175,0.2625,Q3
A127-133,0.95,0.11249999999999999,Q2
A128-109,0.875,0.8375,Q1
A130-162,0.375,0.2375,Q3
A131-101,0.725,0.21250000000000002,Q2
