Song,Quadrant,AllMusic Id,AllMusic Extraction Date,Artist,Title,Relevance,Year,LowestYear,Duration,Moods,MoodsAll,MoodsAllWeights,Genres,GenreWeights,Themes,ThemeWeights,Styles,StyleWeights,AppearancesTrackIDs,AppearancesAlbumIDs,Sample,SampleURL,ActualYear,num_Genres,num_MoodsAll
A001,Q4,MT0000291374,New,Louis Armstrong,What a Wonderful World,,,,139.0,,"Happy,Relaxed,Calm/Peaceful,Carefree,Soothing,Springlike,Laid-Back/Mellow,Sentimental,Joyous,Warm,Smooth,Lush,Poignant,Gentle,Pastoral,Amiable/Good-Natured,Cheerful","7,7,7,7,7,7,7,8,8,8,8,8,9,9,9,9,9","Jazz,Vocal Jazz,Traditional Pop,Early Pop/Rock,Pop/Rock,Vocal,Vocal Pop","7,7,7,9,9,9,9","Picnic,Affirmation","9,9",,,,,,,1968,,
A002,Q4,MT0001577585,Old,Rod Stewart,Country Comfort,1.493585,1970-??-??,,282.0,"Agreeable,Positive,Relaxed,Romantic,Serious,Striding,Strong,Yearning","Agreeable,Positive,Relaxed,Romantic,Serious,Striding,Strong,Yearning","5,5,5,5,5,5,5,5",Pop/Rock,5,"Biographical,Country Life,Family,Lifecycle,Open Road,Reminiscing,Travel,Wisdom","5,5,5,5,5,5,5,5","Adult Contemporary,Contemporary Pop/Rock","5,5","MT0001577585,MT0002372349,MT0002706336,MT0002970662,MT0005286823,MT0007068968,MT0008611302,MT0009991860,MT0010638360,MT0010706334,MT0010871645,MT0011668430,MT0012864222,MT0012982514,MT0014505967,MT0015264144,MT0015264424,MT0015542552,MT0027044153,MT0027053476,MT0028747573,MT0031677671,MT0031784045,MT0032021763,MT0032865710,MT0033487494,MT0034666111,MT0035233833,MT0041290876,MT0041596847,MT0043254754,MT0044536971,MT0044537110,MT0044576263,MT0044636264,MT0044738558,MT0044750897,MT0044775047,MT0044834627,MT0044836020,MT0044836040,MT0045047480,MT0045133925,MT0045137267,MT0045193843,MT0045318195,MT0045355762,MT0045358727,MT0045358758,MT0045438881,MT0045438892,MT0045625972,MT0047368122,MT0051046211,MT0052042075,MT0052388666,MT0052655085","MW0000073575,MW0000100670,MW0000100670,MW0000191890,MW0000192009,MW0000192009,MW0000202525,MW0000202525,MW0000261615,MW0000319656,MW0000319656,MW0000346337,MW0000346337,MW0000370302,MW0000370302,MW0000370302,MW0000438293,MW0000464102,MW0000464102,MW0000464471,MW0000464471,MW0000464471,MW0000464471,MW0000464471,MW0000464471,MW0000554527,MW0000554527,MW0000575917,MW0000614927,MW0000614927,MW0000650828,MW0000650828,MW0000650828,MW0000650828,MW0000662974,MW0000662974,MW0000668157,MW0000668157,MW0000689128,MW0000689128,MW0000784883,MW0000810602,MW0000827665,MW0000966151,MW0001067322,MW0001101655,MW0001191811,MW0001470202,MW0001470202,MW0001470202,MW0001470202,MW0001527846,MW0001527846,MW0002138508,MW0002423220,MW0002794181,MW0002853724",1.0,http://rovimusic.rovicorp.com/playback.mp3?c=sRBUBMPwtAUuGR-ShvUESv3pqi0RS20pHqZddGAWQOA=&f=J,1970,,
A003,Q3,MT0008469560,New,Stevie Wonder,Lately,,,,244.0,,"Sentimental,Wistful,Plaintive,Sweet,Intimate,Reflective,Soft/Quiet,Yearning,Warm,Brittle,Melancholy,Poignant,Sad,Anguished/Distraught,Searching","7,7,7,7,7,7,8,8,8,8,8,9,9,9,9","Soul,Pop-Soul,Smooth Soul,R&B","7,8,9,9","Solitude,Divorce,Feeling Blue,Heartache,Breakup","7,8,9,9,9",,,,,,,1980,,
A004,Q3,MT0030326044,New,Johnny Cash,I'm So Lonesome I Could Cry,,,,159.0,,"Sad,Yearning","7,7","Outlaw Country,Country","7,7",,,,,,,,,1960,,
A005,Q1,MT0005204984,New,Prince,U Got the Look,,,,227.0,,"Energetic,Fun,Playful,Sexual,Celebratory,Sleazy,Street-Smart,Confident,Rousing,Swaggering,Sexy,Bravado,Lively,Nocturnal,Stylish","7,7,7,8,8,8,8,8,9,9,9,9,9,9,9","Dance-Rock,R&B,Contemporary Pop/Rock,Contemporary R&B","7,9,9,9","Seduction,Girls Night Out,Cool & Cocky,Partying,Sex,Late Night","8,8,8,9,9,9",,,,,,,1987,,
A010,Q2,MT0031974477,New,Pearl Jam,Animal,,,,170.0,,"Raucous,Tense/Anxious,Urgent,Searching,Intense,Angst-Ridden,Cathartic,Visceral","7,9,9,9,9,9,9,9","Pop/Rock,Hard Rock,Alternative/Indie Rock,Alternative Pop/Rock,Grunge","9,9,9,9,9",,,,,,,,,1993,,
A011,Q1,MT0013721184,New,The Beatles,P.S. I Love You,,,,,,"Earnest,Amiable/Good-Natured,Bright,Sentimental,Sweet,Yearning,Warm","8,8,8,8,8,8,8","Contemporary Pop/Rock,Pop/Rock,Early Pop/Rock,British Invasion,Merseybeat","7,9,9,9,9",,,,,,,,,1963,,
A013,Q2,MT0002578360,New,The Clash,London Calling,,,,,,"Cathartic,Passionate,Fiery,Angry,Raucous,Volatile,Rebellious,Intense,Confrontational,Visceral,Rousing,Urgent,Rowdy,Provocative,Dramatic,Outraged,Swaggering","8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9","Pop/Rock,New Wave,British Punk,Punk/New Wave,Punk,Hard Rock","8,9,9,9,9,9","Revolution,Cool & Cocky,Hanging Out,Freedom,Night Driving,Empowerment","8,9,9,9,9,9",,,,,,,1979,,
A014,Q1,MT0002349353,Old,Jamiroquai,Feels Just Like It Should,1.0776515,20/06/2005,,274.0,"Bright,Carefree,Celebratory,Effervescent,Energetic,Exciting,Exuberant,Fun,Gleeful,Greasy,Joyous,Lively,Quirky,Rollicking,Rousing,Slick","Bright,Carefree,Celebratory,Effervescent,Energetic,Exciting,Exuberant,Fun,Gleeful,Greasy,Joyous,Lively,Quirky,Rollicking,Rousing,Slick","5,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8","Electronic,Pop/Rock,R&B","6,7,9","Club,Day Driving,Partying,Pool Party,TGIF","6,7,7,7,7","Acid Jazz,Adult Alternative Pop/Rock,Alternative Dance,Alternative/Indie Rock,Dance-Pop,Urban","5,6,7,9,9,9","MT0001444896,MT0001956634,MT0002349353,MT0002555652,MT0003899960,MT0004943026,MT0005333679,MT0006784755,MT0009817709,MT0014583183,MT0014586725,MT0014594051,MT0014697829,MT0014725665,MT0014804399,MT0014809394,MT0015400067,MT0015495470,MT0015846860,MT0015846959,MT0019291353,MT0026212288,MT0028415642,MT0028427487,MT0032585846,MT0032588632,MT0032603068,MT0033793210,MT0034116791,MT0034526042,MT0037524256,MT0041740506,MT0043242573,MT0043242574,MT0043242586,MT0043242598,MT0043331227","MW0000209830,MW0000209830,MW0000209830,MW0000209830,MW0000209830,MW0000209830,MW0000209830,MW0000209830,MW0000209830,MW0000209830,MW0000209830,MW0000209830,MW0000209830,MW0000209830,MW0000209830,MW0000209830,MW0000371525,MW0000444156,MW0000444156,MW0000444156,MW0000444156,MW0000444156,MW0000444156,MW0000542397,MW0000542397,MW0000542397,MW0000542397,MW0000551143,MW0000551143,MW0000562055,MW0001024452,MW0001024452,MW0001031206,MW0001444755,MW0001524007,MW0002329471,MW0002329471",1.0,http://rovimusic.rovicorp.com/playback.mp3?c=qVhUpd5QU7OYJtnF_YrMtvQIxMnXLaW9NvEpt_rvU6E=&f=J,2005,,
A017,Q4,MT0039478154,New,Billy Joel,Just The Way You Are,,,,,,"Poignant,Laid-Back/Mellow,Romantic,Warm,Relaxed,Sweet,Sentimental,Intimate,Calm/Peaceful,Gentle","8,8,9,9,9,9,9,9,9,9","Soft Rock,Contemporary Pop/Rock,Pop/Rock","8,9,9","At the Office,Comfort,Anniversary,Romantic Evening,In Love","9,9,9,9,9",,,,,,,1977,,
