,Principal component 0,Principal component 1,Principal component 2,Principal component 3,Principal component 4,Principal component 5,Principal component 6,Principal component 7,Principal component 8,Principal component 9,Principal component 10,Principal component 11,Principal component 12,Principal component 13,Principal component 14,Principal component 15,Principal component 16,Principal component 17,Principal component 18,Principal component 19,Principal component 20,Principal component 21,Principal component 22,Spectral Centroid Overall Standard Deviation,Spectral Rolloff Point Overall Standard Deviation,Spectral Flux Overall Standard Deviation,Compactness Overall Standard Deviation,Spectral Variability Overall Standard Deviation,Root Mean Square Overall Standard Deviation,Fraction Of Low Energy Windows Overall Standard Deviation,Zero Crossings Overall Standard Deviation,MFCC Overall Standard Deviation 1,MFCC Overall Standard Deviation 2,MFCC Overall Standard Deviation 3,MFCC Overall Standard Deviation 4,MFCC Overall Standard Deviation 5,MFCC Overall Standard Deviation 6,MFCC Overall Standard Deviation 7,MFCC Overall Standard Deviation 8,MFCC Overall Standard Deviation 9,MFCC Overall Standard Deviation 10,MFCC Overall Standard Deviation 11,MFCC Overall Standard Deviation 12,MFCC Overall Standard Deviation 13,LPC Overall Standard Deviation 1,LPC Overall Standard Deviation 2,LPC Overall Standard Deviation 3,LPC Overall Standard Deviation 4,LPC Overall Standard Deviation 5,LPC Overall Standard Deviation 6,LPC Overall Standard Deviation 7,LPC Overall Standard Deviation 8,LPC Overall Standard Deviation 9,LPC Overall Standard Deviation 10,Method of Moments Overall Standard Deviation 1,Method of Moments Overall Standard Deviation 2,Method of Moments Overall Standard Deviation 3,Method of Moments Overall Standard Deviation 4,Method of Moments Overall Standard Deviation 5,Spectral Centroid Overall Average,Spectral Rolloff Point Overall Average,Spectral Flux Overall Average,Compactness Overall Average,Spectral Variability Overall Average,Root Mean Square Overall Average,Fraction Of Low Energy Windows Overall Average,Zero Crossings Overall Average,MFCC Overall Average 1,MFCC Overall Average 2,MFCC Overall Average 3,MFCC Overall Average 4,MFCC Overall Average 5,MFCC Overall Average 6,MFCC Overall Average 7,MFCC Overall Average 8,MFCC Overall Average 9,MFCC Overall Average 10,MFCC Overall Average 11,MFCC Overall Average 12,MFCC Overall Average 13,LPC Overall Average 1,LPC Overall Average 2,LPC Overall Average 3,LPC Overall Average 4,LPC Overall Average 5,LPC Overall Average 6,LPC Overall Average 7,LPC Overall Average 8,LPC Overall Average 9,LPC Overall Average 10,Method of Moments Overall Average 1,Method of Moments Overall Average 2,Method of Moments Overall Average 3,Method of Moments Overall Average 4,Method of Moments Overall Average 5,Chroma feature 0,Chroma feature 1,Chroma feature 2,Chroma feature 3,Chroma feature 4,Chroma feature 5,Chroma feature 6,Chroma feature 7,Chroma feature 8,Chroma feature 9,Chroma feature 10,Chroma feature 11
Principal component 0,1.0,-2.9775332463474586e-16,2.1315262004215125e-16,-7.07637016818044e-16,-1.3370905828150387e-16,-1.2933288129530218e-16,2.0574670223411647e-16,2.0647357564296838e-16,5.09540399279753e-16,1.5643397404477255e-16,2.476765361804315e-16,5.505095231863251e-16,9.472821279810603e-16,-6.285908212740034e-16,7.612754890200933e-16,-3.2643873683092153e-16,6.202521768544268e-17,-4.040260033098325e-17,2.5194170551538817e-16,1.7655711919386297e-16,6.553298325437508e-16,5.227537601523792e-16,6.581092040933764e-16,0.5116857429580323,0.619993864996812,0.8064736058836612,0.13253474602711218,0.7167073529670256,0.6919024743778823,-0.23189328097954068,0.5585263014108159,-0.05321514972488177,0.02379038034607129,0.028630187225700047,-0.10907468268265937,-0.15942889322067627,-0.2744764400347943,-0.38816818275637294,-0.46597255680719346,-0.4911785899483296,-0.5347106879678573,-0.5434122542755419,-0.5372009537912972,-0.4934661403558517,0.45761761685862923,0.542939826703932,-0.1208176425586057,-0.04497026369371104,0.011434297612760175,0.003943750604147328,0.020432082755009743,0.026954765819083636,-0.05987142383903634,,0.826478969651595,0.634058224605998,0.5840001782441863,0.596233622566154,0.4451352326795169,0.1305454633452813,0.2624891593192085,0.8360543695295171,-0.5962886138730921,0.7506873312463213,0.7700162923542364,-0.19432852375519785,0.2668286166053097,0.4882463285194706,-0.39376686970783065,0.569215443662213,0.493537459856597,0.644579539185167,0.41959936199376746,0.4738656339841718,0.24039434362709294,0.27016040323662915,0.23103990113529452,0.22061019240015156,0.10304991732178025,0.18507393723416402,0.3380175106153919,-0.7968082605788178,-0.10173952432284133,-0.37787617782838007,-0.25857865511146827,-0.22756276306313838,-0.23072754479081115,-0.1893188732700692,-0.21765353869573434,,0.7339111743095301,0.5262194274516551,0.6889126354287595,0.540645589168065,0.6693693790334458,0.47704464980414485,0.5942619642619709,0.6094925712936166,0.6560088040246757,0.6539804598803081,0.6337226865592382,0.6352391705305317,0.5804529589607041,0.6081761392563377,0.5461437457705584,0.5233984595299543,0.4914368883383435
Principal component 1,-2.9775332463474586e-16,1.0,-1.145430760060115e-16,-2.6354655770917435e-16,1.6117926215685029e-16,2.4477934668963867e-16,-1.6132904379892183e-16,1.9606156376708733e-16,2.2777704391317673e-16,-3.733359016204893e-16,3.83870693055872e-16,1.7247796877068262e-16,4.758893820949044e-16,-3.4432376298501417e-16,-8.517922074110052e-16,4.383659725226158e-16,1.507946355197027e-16,1.4683725294796125e-17,3.268921041597468e-16,-2.4211442230432827e-16,1.4604254387907023e-16,4.0324091967901783e-16,6.855792285366665e-17,0.6650841848280692,0.6151609034634725,0.020358549162594882,0.12356444208111517,0.035886266206668065,0.07095567880884347,0.13559841597729677,0.6625908303576494,0.05551541331566337,0.22389607249476998,0.3833765716079254,0.36709287399253515,0.49265019851718,0.5059046876265386,0.46820332161429673,0.4818896506836709,0.46304905568816346,0.43925857128952994,0.44584633908331384,0.4237334526221026,0.39337709984919017,0.6076652453456103,0.2734588559134104,0.2306198631801297,0.5332124763947553,0.6356436959765923,0.6321481990067935,0.6370360246517252,0.6601847561101678,0.6843232811479627,,0.213171574380541,0.5005805798267258,0.2803230614794552,0.37532970750237604,0.1677914140076098,0.7632367414348369,0.722302919195153,-0.05473999578204754,0.05779481666336708,-0.23437585250240198,-0.19982028087481696,0.1244800739864585,0.7319290503469562,-0.052675741763544164,-0.5642177666602153,-0.06183744694624053,-0.29339617839300874,0.04373413120952602,-0.06758128021746046,-0.06378701045999693,-0.24454448342003549,-0.09517071566185924,0.05677671423682589,-0.11298218656659276,-0.21203821473947237,-0.043233609905018795,0.6899070193451662,-0.22368813230626666,-0.24945831088627246,0.0860032111360939,-0.01835327597716926,0.026618023174784806,-0.019635871374307973,0.10980093485895447,0.04151649536095982,,-0.03510359810059267,0.6251408928098099,0.40426580679214585,0.1217388725888984,0.28461631046078395,-0.3908098348834204,-0.36556104914827,-0.34459733342994403,-0.36133646473185044,-0.3794930561033109,-0.37388602905668167,-0.3531717721807573,-0.31196996825180184,-0.3079799880565405,-0.2533991393095606,-0.32325460024726366,-0.36639706067313355
Principal component 2,2.1315262004215125e-16,-1.145430760060115e-16,1.0,4.717630450941017e-18,-4.112928474670452e-16,-2.507660938211847e-16,-2.9948772403793214e-16,9.804569074315174e-17,1.5178255094893073e-16,-5.4639435541400424e-17,2.1553816349018505e-16,5.39637021432432e-16,6.224141357636407e-16,-1.7811840363598605e-16,6.750620310415361e-16,-2.4907339234530295e-16,-2.65595437962122e-16,-2.5077446596817717e-17,1.455315830497961e-16,1.758452885155973e-16,-3.209528859129241e-17,-1.907194072807185e-16,6.572891284399673e-17,-0.010219611555873856,-0.03776017297709561,0.22640252838289995,0.32826062547808266,0.37917206949678234,0.37969478274648105,0.12838511522127818,0.017319822686271646,0.07752978987673124,0.586421807928574,0.4826480060326101,0.45632953620192424,0.44309394537179636,0.397594693669375,0.35922480861228245,0.3142821359671708,0.25425447749620345,0.21037592801572683,0.1782660135572043,0.2099644780417486,0.21509706017633137,0.02019041178140289,0.424485839520583,0.4219727654521148,0.2032365260811949,0.1977530779879043,0.21316757847790924,0.16346601840034797,0.13345862237410724,0.07565438521062885,,0.005257984625383721,0.30343070932872107,0.4796192310923533,0.40673483828889606,0.5806263672207225,-0.48074849107979506,-0.5278882850880571,0.029493589676581618,-0.11266466714209787,0.047877428934861306,-0.009939854697663338,0.02509671353285669,-0.54602544348358,-0.41612515564343544,0.43133735078105206,0.2546547333278851,0.07223605281601589,0.11638550313232143,-0.03186465134074191,-0.06087682480570394,-0.027130767154573902,-0.024664031459105236,0.08749132748964165,-0.03393671996438047,-0.060512379464808426,-0.01135844067503415,-0.36906541385760594,0.0006648894166781704,0.4562994650805127,0.18673263530648548,0.4361550231552848,0.33827343472614685,0.23498899580744473,0.08306799031043152,0.09450169196490443,,-0.31826761411804194,-0.4406040654088403,-0.20100946762385372,0.06509385216008994,0.00715431256684738,0.12425948085681592,0.13731645146788213,0.15399746548964807,0.20793793163489024,0.1962721753180397,0.19394385723241553,0.19278441163000293,0.1658149264693034,0.15168210370825438,0.11836443896158777,0.1251669331010745,0.10349654023299615
Principal component 3,-7.07637016818044e-16,-2.6354655770917435e-16,4.717630450941017e-18,1.0,-2.526259897743563e-16,2.2487881990475164e-16,6.221282239110568e-17,2.004009173019619e-16,1.8329320006833732e-17,-1.251917601917337e-16,2.0735158341428958e-16,8.363703265137903e-16,7.237437509387418e-16,-4.879951119553252e-16,2.993806211446433e-16,-5.653656782183294e-17,3.6012254830829164e-16,1.6530035533487013e-16,3.7117424493140756e-16,-7.559009392375367e-16,1.0386679744692027e-15,3.9224236259192996e-16,1.2452159829891114e-15,-0.2732341417920188,-0.2820434483984222,0.3685816180036735,-0.04438153750344133,0.31742371658804325,0.3020476214906481,-0.10095571287006272,-0.2847291846144289,-0.18241227257363896,-0.04387189682178946,0.060297513118212,0.19581909391594246,0.21759304333343685,0.26805541428021223,0.3436260124477082,0.32743209284964936,0.34070673603381196,0.3775789796888495,0.34558952235633345,0.3659716511479664,0.3473116907486425,-0.32877390928255923,-0.27534887913633793,0.05019906759854031,0.03017014688241788,0.014076998851813368,0.02456911136716261,0.043989516365284524,0.03614913370107721,0.029192039544117174,,0.18407122004607138,-0.32928623883729446,-0.28421259715029423,-0.3262933542835328,-0.2258985134442143,-0.07576561571921257,-0.0937902740114879,0.4506515552730862,0.11109906847168802,0.42799956475576856,0.4159561295397671,-0.1930101198557068,-0.0999384475876515,0.19257219617914662,-0.023760351070136746,-0.4510741330993829,-0.1182040204512414,-0.19295762999922333,0.005079378769869835,-0.1359196284536777,0.044198501154358846,0.020615454042279588,-0.07016189200287967,-0.035034435683119904,0.22360264908268263,0.1153267688848191,-0.19986846331864228,0.3273639346970112,-0.0712289156616521,-0.1128260970051172,-0.21691926819611457,-0.25661273788660416,-0.10064839394302492,-0.053959051529933647,-0.009246181550523968,,0.3033648522882429,-0.1861008140766739,-0.26771459037007944,-0.22246130528027494,-0.2903108187864986,-0.2814446925103963,-0.23024522250043486,-0.19707453785728488,-0.22906893804862993,-0.23499492366235575,-0.22579534726805156,-0.2630350639598876,-0.3056871280684859,-0.38359179961771195,-0.3991915177616785,-0.39738405003992644,-0.3695424558536705
Principal component 4,-1.3370905828150387e-16,1.6117926215685029e-16,-4.112928474670452e-16,-2.526259897743563e-16,1.0,2.1250104870324422e-16,5.054836279269528e-17,3.1795193025658674e-16,5.139197350438094e-16,1.2266850665074423e-16,3.285766904540279e-16,4.526817435188442e-17,8.392162936017998e-16,-6.698221465174352e-16,2.6579577906486705e-16,-1.6021551339088667e-16,-2.8889130310690753e-16,1.4895248835464358e-16,3.119351619507053e-16,-1.1757933211458677e-16,4.856627918727343e-16,4.482902445657444e-16,7.107120490578292e-16,0.010879074382998486,0.05728609904261515,0.1811530856759887,-0.11761736125779007,0.1191087737861736,0.12619189673457756,-0.06810354392265196,0.020089678869796544,-0.06809721694568491,-0.22879010711147862,-0.21817098861493697,-0.2943150715610487,-0.2317524197261613,-0.21313942384642454,-0.12118451327462901,-0.13965198245178378,-0.10283574376327426,-0.1004849227119057,-0.060468013871235814,-0.051350448478052604,-0.02643077278291642,0.025263505264364692,-0.12939428889171645,-0.21540049739586806,-0.20090750112378936,-0.16459550801397566,-0.18615529067905767,-0.11662474144815062,-0.06384168813136648,-0.08156330439242587,,0.1340651656705023,-0.03016222947118392,-0.08597962659522805,-0.06923968114429017,-0.1423527040730769,0.07193791630656364,0.05160019085603768,0.18279841907821376,0.14465900262288137,0.16728272331122226,0.17935094448957037,0.010338505477963828,0.09918862245211851,0.22957837224948832,-0.11413501182792771,0.20389081387319044,-0.19260482610279694,-0.40823849318412714,-0.23161001677463444,-0.3123992188327021,-0.38429256199031503,-0.2201956052405984,-0.1996907968929713,-0.09953840561576083,-0.17307886683253643,-0.08833431819707244,0.033363971393362904,-0.12433696711903965,-0.1299746576568372,0.15186944207864622,0.25722431305003945,0.490430349756119,0.6268499501527095,0.5803205921136582,0.5051586568950607,,0.19417887085427255,0.15998311084861397,0.1588107227214882,0.15838758377018314,0.12920046650710162,-0.03319625566167057,-0.0721632911370079,-0.010496433485705316,-0.07987132001618448,-0.10716074868832298,-0.09859457549352779,-0.11006673170291026,-0.08028245726967459,-0.03570889669057996,0.005397095805697496,0.0048534301929357366,0.01646811831949776
Principal component 5,-1.2933288129530218e-16,2.4477934668963867e-16,-2.507660938211847e-16,2.2487881990475164e-16,2.1250104870324422e-16,1.0,-1.1557566206502312e-16,1.3899898479670934e-16,-6.095518314676609e-16,2.6425403350962744e-16,9.082232909131066e-17,-7.104608738348045e-16,-2.13828861941161e-16,-1.3846053936725618e-16,-3.597555642892744e-16,3.7920230740919926e-16,1.1743606462972708e-17,2.902958522351196e-16,2.0726412446726745e-16,-3.264309943070151e-16,3.5967020559451166e-16,3.727948765425692e-17,6.221526807664696e-16,-0.26841324230615526,-0.14445334366880014,-0.1497407473290156,-0.4514538150425019,-0.2077714141016808,-0.21539359898030339,-0.04312866910179483,-0.20656689170083742,-0.3736759558924166,-0.3834965806884628,-0.27603592153145756,-0.2758430051827196,-0.04982151886165601,-0.08777950808694222,-0.006100681643256396,0.030411086328990044,0.17811768673094805,0.1664978261898987,0.18770941452994602,0.18072171482645683,0.19879012997708262,-0.3302889781896329,0.017531495174903752,-0.1450263804052673,0.0025708394058458735,0.17513851657532556,0.3336024274366226,0.43513481586101727,0.4497654398338429,0.4459962557022512,,-0.013523749062448891,-0.1878454974042804,-0.020801916850614756,-0.09307386988212765,-0.03213421314868925,-0.18773112197029287,-0.17211872107464474,0.012610216539467044,0.353336868548358,0.23365248882495734,0.24123604649450794,-0.2812929111457467,-0.07981911996970263,0.4733487344520365,-0.08132169157252163,0.31665251143424067,-0.010222840223390933,0.21860072993972732,0.13286821126982457,0.20397487104132664,0.0836174536660177,0.07238186681040511,-0.056371584346149084,-0.13275922797397804,-0.19300916359108547,-0.05655537811597051,-0.24339412333758056,-0.12801918015698108,-0.023945264698692313,0.1790913213131785,0.3689643217973805,-0.04584887630171084,-0.17772186094243358,0.05053523747207574,-0.011348882495790061,,0.29404156401156023,0.07445246562707732,0.23507295606580483,0.48229481867233165,0.319687690526616,0.062057117278345134,0.008650088863436328,-0.044543799000341076,-0.07414278248050273,-0.13009921049615142,-0.17913910401544342,-0.18383021846458708,-0.15738884561047442,-0.07781804933331687,0.008685060714430547,0.07455846787039866,0.11514762596202713
Principal component 6,2.0574670223411647e-16,-1.6132904379892183e-16,-2.9948772403793214e-16,6.221282239110568e-17,5.054836279269528e-17,-1.1557566206502312e-16,1.0,-4.0207055139235196e-16,-7.270380175287378e-16,2.2675541755208464e-16,1.0685297936023219e-16,9.54118966498362e-16,-4.1718948444307695e-18,1.4746393958094174e-16,6.576150761826494e-16,1.9766773742720977e-17,6.157482613353038e-16,-2.567057282397525e-16,-9.548779621446977e-17,2.9948376213723906e-16,1.9877882544340832e-16,5.784956115366809e-17,4.2093437434796526e-16,0.08955904838367458,0.07004293298626957,0.07206499758153571,-0.02930378069859589,0.045653409195003145,0.03666459970621283,-0.07992277898231225,0.055237389865516365,-0.07839985273911794,-0.04381210185489449,-0.05047854352147447,-0.04299938714041295,-0.10956618344739033,-0.10602464778144494,-0.0945462297780302,-0.026962841756097346,-0.02669599718431492,-0.013911780483939777,-0.003047977512685409,0.002089761577977478,0.01096739657043703,0.1330765723609181,0.09854513479931536,-0.1904525954679964,-0.24856443742351392,-0.25712908734088497,-0.20372639635958617,-0.21766144146652747,-0.21942385370713274,-0.16917727058599005,,0.014845123872414817,0.05888651698577057,0.05021633366684103,0.15934363163623533,0.04043048479762849,0.1061502831610436,0.0788569486236205,0.07215738770934364,-0.013591337983659219,0.028961405079692172,0.03308092112851292,0.014157188881635405,0.06453118342986486,-0.04186048578950232,0.2118421442172265,-0.03608765903865377,-0.37418304343584813,-0.03361340609520785,-0.44391623346808673,-0.29511425284385334,-0.11013358884040765,0.011952429215929903,-0.016094040194112823,-0.28561137385361024,-0.30581889977869925,-0.20559600422308372,0.13358216674865525,-0.08404562277871422,0.5809209754493737,-0.029171583758390573,0.20065184608933315,-0.050969599713076415,-0.43386261391646036,-0.42395398742497253,-0.29227243994467783,,0.046362276156808574,0.0652632782713952,0.11276636930464713,0.11672980300978071,0.1792603337495918,-0.011986474506634547,-0.10721658547681118,-0.17067391254500047,-0.17843811803176335,-0.19879219594637074,-0.1817266588423621,-0.14358735068071274,-0.0934191875287272,-0.019093825359564782,0.06669444837699326,0.04982260224449434,0.04393672888687805
Principal component 7,2.0647357564296838e-16,1.9606156376708733e-16,9.804569074315174e-17,2.004009173019619e-16,3.1795193025658674e-16,1.3899898479670934e-16,-4.0207055139235196e-16,1.0,-1.4408597152369707e-16,-7.398376587843786e-16,-4.4176062151124e-17,-1.5872804462096205e-15,6.334949787876315e-16,-3.254371774955756e-16,2.3877484676189e-16,-8.616150614735226e-16,-1.3746861936241327e-17,-5.228733738368305e-16,-1.167382205391595e-16,6.317852665822777e-16,-1.6336891457629482e-16,-1.010846864367193e-16,-2.0319403771541885e-16,0.05774650509225362,0.05538064488905825,0.015955108457521232,-0.028546754883874863,0.04457930653171391,0.04368276908201286,-0.04205751859052994,0.05835072248401486,0.0073527175606115346,-0.06771360971559763,-0.08936143367725378,-0.02803635760486749,-0.05487175029034344,-0.00506344309405176,0.05395580837642452,0.12406861658698877,0.08947484744020912,0.172917635464742,0.10659015377179844,0.14361210543287142,0.11555373249440849,0.07233607186948161,-0.06899831093088143,-0.21081770146980208,-0.2823619612851932,-0.27353495168066144,-0.2183877912076236,-0.16263077333608275,-0.10207111264621324,-0.07389798168183025,,-0.01603755109699888,0.030910423507070746,-0.033869132380087284,0.01800167953082739,-0.06935669074421143,0.08470368494107082,0.05570185160436819,-0.007032265533716134,0.04117560192761542,-0.045761892660156366,-0.046842697018499725,0.014292894631415988,0.07653933862776575,-0.09269777052122569,-0.09155318002140489,-0.030251567407100503,-0.3322088686659524,-0.19112403464892364,0.014004232659587057,0.23944893286034025,0.5036374090365421,0.43391838446377007,0.3868019659342653,0.42040606207318576,0.20558461370246844,0.013136461074155552,0.0843382686651015,-0.12490155129068355,0.116864514660632,0.010251997418707593,0.2702334180113816,0.15641033752188296,0.1485566122644783,0.03288401405039838,-0.02578962731651134,,-0.05084509515002711,0.11273700332254354,0.1255583968962341,0.1099014948686283,0.1362737787798517,-0.23905695634634702,-0.2101382474072172,-0.16352077731524567,-0.12423859254775409,-0.022053127543818586,0.014664953860323052,0.021727890449019148,0.010030129593397722,-0.009638292475075427,0.011895186471222641,-0.059567385829576616,-0.19953336080885894
Principal component 8,5.09540399279753e-16,2.2777704391317673e-16,1.5178255094893073e-16,1.8329320006833732e-17,5.139197350438094e-16,-6.095518314676609e-16,-7.270380175287378e-16,-1.4408597152369707e-16,1.0,5.639434742846176e-16,6.465206119989025e-17,1.2943292850281807e-15,-1.168753478356546e-15,6.757943844066444e-16,-2.2386655360431027e-16,5.589148059080598e-16,-2.1155797068922102e-16,6.665248317463962e-16,3.4426290572295997e-16,-5.353961990210524e-16,-1.5043308164003794e-17,4.663909289125151e-17,-3.7005970300431685e-16,-0.041995648723953616,-0.009713985455692294,-0.03203022737258045,-0.039574433204655216,-0.054010811944768616,-0.056999492976490866,-0.07593191722452561,-0.024166027910266737,-0.06157134168872708,-0.05673281266828516,-0.05252481357955371,-0.08298081263495584,-0.12089851517198129,0.02657513617046448,-0.09546905256302399,-0.06481732320463483,-0.07341945829858572,-0.06392769376652997,0.0007457712131916258,-0.039260431201877215,0.06422304359661048,-0.05698992521109686,0.07607396964553521,0.054234830113565904,0.09146219336573004,0.07344590100310024,0.19968222093394197,0.15165018407594724,0.12414582654392063,0.10759117721076913,,-0.005783371116243379,-0.00496884930511644,0.07591527149107048,0.04800086378535918,0.10653137629638439,-0.06688970467966764,-0.03693853176813064,-0.0005040421083642079,0.020293545055730614,0.0365161578919459,0.033801566789608675,-0.10453673532127192,-0.036014594896092295,0.14035908576127282,0.01104245326571275,0.07736214998248495,0.010099799710888101,-0.015974621077463697,-0.3262210232852218,-0.3128796455665168,-0.29900492648327703,-0.30884548306696186,0.32418916013508364,0.6399106545934125,0.4483034352655318,-0.040468246765603566,-0.07543544556103311,-0.016114231564223817,-0.08298231918247057,-0.005652202159609586,0.14538783186865892,-0.17666830519031126,-0.17670395018382798,-0.057337866458169434,-0.004180904033206966,,0.0400711547374753,-0.006489263741655158,0.038453647019113794,0.10488762356688283,0.06739752181683907,-0.2726346476131961,-0.2331135996088081,-0.047873219457677106,0.023247581256038825,0.10901757562597446,0.191469316132421,0.20067943938927266,0.23260169285315768,0.1063031563757198,-0.01671152449693016,-0.1824554982592004,-0.2423983723824294
Principal component 9,1.5643397404477255e-16,-3.733359016204893e-16,-5.4639435541400424e-17,-1.251917601917337e-16,1.2266850665074423e-16,2.6425403350962744e-16,2.2675541755208464e-16,-7.398376587843786e-16,5.639434742846176e-16,1.0,-5.793615695449987e-17,-3.874443309331191e-16,-2.2576460742535705e-16,2.1395043792622244e-16,2.4995492568678694e-16,1.8406733229517822e-16,6.756028073906465e-17,1.7840778547144234e-16,-2.336058531147404e-16,4.365950163340532e-17,-1.0314774489937774e-16,-1.7849510818675934e-16,-4.112980224465935e-16,0.008673002880686063,0.029604605767170757,-0.03538224242889142,-0.09609713175916451,-0.005176990680550933,0.0016403334357779444,-0.017857933384507186,0.005265444083862792,-0.07549540212042069,-0.10785797738941551,-0.03924626938404887,-0.06967874184925894,-0.017655531334763504,-0.018356880894278668,0.1766568042843153,0.1383987791882355,0.13042618113378449,0.11514903508425933,0.09092067220891269,0.1476981410184687,0.08172957964564298,0.0009517524019052707,0.05772101005761712,-0.23338783866500112,-0.2922743508948325,-0.23895408100463075,-0.16399007151983352,-0.1329050428366464,-0.12885591159563098,-0.08184880303356054,,-0.016324592892871366,0.021170796350917002,0.04489299992084111,0.07856521014477982,0.021730808259627764,0.015848940402944715,0.013112970043606134,-0.06583319500127219,-0.042466028647222216,-0.06774706283845823,-0.05909685686594656,0.1454076934972739,0.03000924143225379,-0.043483712799147596,-0.04059856378097819,0.016285966717927924,-0.05931213429627667,0.11437518635710109,0.19658960039869663,0.1545105514259765,-0.23339022210121899,-0.2492815919943415,-0.36603156077210175,-0.09792683652181379,0.4418784462037737,0.5994905585221663,0.02947430299382909,-0.17179207570497132,0.2877353928410633,-0.20453336122775892,0.05314121486361876,-0.010355440809890556,0.02228820062542785,0.025259420022177445,-0.012417926625936142,,-0.027267696685098704,0.12259650831361464,0.20198154100738058,0.26429442032343353,0.2605364878650325,-0.03472973464073457,0.10567486194402703,0.14656427151133194,0.21210482099293412,0.22591388269656806,0.19591988330174215,0.06569074850385355,-0.11279459341220963,-0.24021748884666289,-0.3320207255069135,-0.33748382703985813,-0.20157269667235725
