,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_Classifier__SVC__estimator__C,param_Classifier__SVC__estimator__kernel,param_Scaler,param_Selector__max_features,param_Classifier__SVC__estimator__gamma,param_Classifier__SVC__estimator__coef0,param_Classifier__SVC__estimator__degree,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,5.604919672012329,0.4127996656687904,1.8157590230305989,0.16021715984326967,0.01,linear,MinMaxScaler(),4,,,,"{'Classifier__SVC__estimator__C': 0.01, 'Classifier__SVC__estimator__kernel': 'linear', 'Scaler': MinMaxScaler(), 'Selector__max_features': 4}",0.10049893086243764,0.09693513898788311,0.05559515324305061,0.08434307436445711,0.02037984919363967,4935
1,5.038785537083943,0.06958669559174151,1.5419124762217205,0.039662290870424846,0.01,linear,MinMaxScaler(),8,,,,"{'Classifier__SVC__estimator__C': 0.01, 'Classifier__SVC__estimator__kernel': 'linear', 'Scaler': MinMaxScaler(), 'Selector__max_features': 8}",0.06557377049180328,0.07341411261582323,0.10620099786172488,0.0817296269897838,0.017597419042186938,5048
2,6.38105320930481,0.9683147488158204,1.8757686614990234,0.3149973743955845,0.01,linear,MinMaxScaler(),12,,,,"{'Classifier__SVC__estimator__C': 0.01, 'Classifier__SVC__estimator__kernel': 'linear', 'Scaler': MinMaxScaler(), 'Selector__max_features': 12}",0.09123307198859587,0.05630791161796151,0.12687099073414113,0.09147065811356618,0.02880774628422177,4657
3,5.0210855801900225,0.12646839722808248,1.5475335121154785,0.02371208653792438,0.01,linear,MinMaxScaler(),16,,,,"{'Classifier__SVC__estimator__C': 0.01, 'Classifier__SVC__estimator__kernel': 'linear', 'Scaler': MinMaxScaler(), 'Selector__max_features': 16}",0.08909479686386315,0.08909479686386315,0.1225944404846757,0.10026134473746734,0.01579188344773948,4334
4,5.2647316455841064,0.20897847693060126,1.5611306031545003,0.04332621218179947,0.01,linear,MinMaxScaler(),20,,,,"{'Classifier__SVC__estimator__C': 0.01, 'Classifier__SVC__estimator__kernel': 'linear', 'Scaler': MinMaxScaler(), 'Selector__max_features': 20}",0.14112615823235922,0.10121168923734854,0.10121168923734854,0.11451651223568543,0.0188158611292215,3787
5,6.326265255610148,1.1716415060956222,1.6291435559590657,0.06857105317469306,0.01,linear,MinMaxScaler(),24,,,,"{'Classifier__SVC__estimator__C': 0.01, 'Classifier__SVC__estimator__kernel': 'linear', 'Scaler': MinMaxScaler(), 'Selector__max_features': 24}",0.09693513898788311,0.10477548111190306,0.10691375623663578,0.10287479211214066,0.004289729172075974,4244
6,5.44242262840271,0.7290947763138361,1.8465922673543294,0.4054914989080029,0.01,linear,MinMaxScaler(),28,,,,"{'Classifier__SVC__estimator__C': 0.01, 'Classifier__SVC__estimator__kernel': 'linear', 'Scaler': MinMaxScaler(), 'Selector__max_features': 28}",0.12900926585887385,0.10406272273699216,0.09408410548823949,0.1090520313613685,0.014688126886266317,4022
7,5.144394636154175,0.27688661347392557,1.6665950616200764,0.07792386835365746,0.01,linear,MinMaxScaler(),32,,,,"{'Classifier__SVC__estimator__C': 0.01, 'Classifier__SVC__estimator__kernel': 'linear', 'Scaler': MinMaxScaler(), 'Selector__max_features': 32}",0.13043478260869565,0.1104775481111903,0.08553100498930863,0.1088144452363982,0.01836957166080086,4034
8,4.997259219487508,0.4166831513202918,1.4069019158681233,0.16364985337599433,0.01,linear,StandardScaler(),4,,,,"{'Classifier__SVC__estimator__C': 0.01, 'Classifier__SVC__estimator__kernel': 'linear', 'Scaler': StandardScaler(), 'Selector__max_features': 4}",0.07697790449037777,0.07555238774055595,0.06129722024233785,0.07127583749109052,0.007079907068544233,5255
9,5.4991222222646075,0.3436842444313576,1.3648099104563396,0.058010580355784165,0.01,linear,StandardScaler(),8,,,,"{'Classifier__SVC__estimator__C': 0.01, 'Classifier__SVC__estimator__kernel': 'linear', 'Scaler': StandardScaler(), 'Selector__max_features': 8}",0.09836065573770492,0.09693513898788311,0.07840342124019957,0.09123307198859587,0.009090580408509857,4670
10,4.857049942016602,0.24066688777235673,1.3360610008239746,0.0455876845648684,0.01,linear,StandardScaler(),12,,,,"{'Classifier__SVC__estimator__C': 0.01, 'Classifier__SVC__estimator__kernel': 'linear', 'Scaler': StandardScaler(), 'Selector__max_features': 12}",0.11332858161083392,0.12758374910905204,0.10121168923734854,0.11404133998574484,0.010778138486304358,3809
11,4.747335751851399,0.22099852936723927,1.4112428824106853,0.22145365441211068,0.01,linear,StandardScaler(),16,,,,"{'Classifier__SVC__estimator__C': 0.01, 'Classifier__SVC__estimator__kernel': 'linear', 'Scaler': StandardScaler(), 'Selector__max_features': 16}",0.11332858161083392,0.1375623663578047,0.11760513186029936,0.122832026609646,0.010561231062434243,3414
