,Principal component 0,Principal component 1,Principal component 2,Principal component 3,Principal component 4,Principal component 5,Principal component 6,Principal component 7,Principal component 8,Principal component 9,Principal component 10,Principal component 11,Principal component 12,Principal component 13,Principal component 14,Principal component 15,Principal component 16,Principal component 17,Principal component 18,Principal component 19,Principal component 20,Principal component 21,Principal component 22,Principal component 23,Principal component 24,Principal component 25,Spectral Centroid Overall Standard Deviation,Spectral Rolloff Point Overall Standard Deviation,Spectral Flux Overall Standard Deviation,Compactness Overall Standard Deviation,Spectral Variability Overall Standard Deviation,Root Mean Square Overall Standard Deviation,Fraction Of Low Energy Windows Overall Standard Deviation,Zero Crossings Overall Standard Deviation,MFCC Overall Standard Deviation 1,MFCC Overall Standard Deviation 2,MFCC Overall Standard Deviation 3,MFCC Overall Standard Deviation 4,MFCC Overall Standard Deviation 5,MFCC Overall Standard Deviation 6,MFCC Overall Standard Deviation 7,MFCC Overall Standard Deviation 8,MFCC Overall Standard Deviation 9,MFCC Overall Standard Deviation 10,MFCC Overall Standard Deviation 11,MFCC Overall Standard Deviation 12,MFCC Overall Standard Deviation 13,LPC Overall Standard Deviation 1,LPC Overall Standard Deviation 2,LPC Overall Standard Deviation 3,LPC Overall Standard Deviation 4,LPC Overall Standard Deviation 5,LPC Overall Standard Deviation 6,LPC Overall Standard Deviation 7,LPC Overall Standard Deviation 8,LPC Overall Standard Deviation 9,LPC Overall Standard Deviation 10,Method of Moments Overall Standard Deviation 1,Method of Moments Overall Standard Deviation 2,Method of Moments Overall Standard Deviation 3,Method of Moments Overall Standard Deviation 4,Method of Moments Overall Standard Deviation 5,Spectral Centroid Overall Average,Spectral Rolloff Point Overall Average,Spectral Flux Overall Average,Compactness Overall Average,Spectral Variability Overall Average,Root Mean Square Overall Average,Fraction Of Low Energy Windows Overall Average,Zero Crossings Overall Average,MFCC Overall Average 1,MFCC Overall Average 2,MFCC Overall Average 3,MFCC Overall Average 4,MFCC Overall Average 5,MFCC Overall Average 6,MFCC Overall Average 7,MFCC Overall Average 8,MFCC Overall Average 9,MFCC Overall Average 10,MFCC Overall Average 11,MFCC Overall Average 12,MFCC Overall Average 13,LPC Overall Average 1,LPC Overall Average 2,LPC Overall Average 3,LPC Overall Average 4,LPC Overall Average 5,LPC Overall Average 6,LPC Overall Average 7,LPC Overall Average 8,LPC Overall Average 9,LPC Overall Average 10,Method of Moments Overall Average 1,Method of Moments Overall Average 2,Method of Moments Overall Average 3,Method of Moments Overall Average 4,Method of Moments Overall Average 5,Chroma feature 0,Chroma feature 1,Chroma feature 2,Chroma feature 3,Chroma feature 4,Chroma feature 5,Chroma feature 6,Chroma feature 7,Chroma feature 8,Chroma feature 9,Chroma feature 10,Chroma feature 11
Principal component 0,1.0,-1.0459986281162621e-16,2.8911525304755153e-16,-1.308628162039449e-16,-1.3490020003953172e-17,-4.694086407728356e-17,1.8402776826981126e-16,1.417571465085316e-16,-8.050114818689655e-17,-8.728935500999263e-17,-7.7894614421853e-17,-1.5810674080660182e-17,-7.379607241432594e-17,-1.2792876300705298e-16,-2.881906785317599e-16,1.0728366830042015e-16,-9.523823893343859e-18,-2.3735290371633223e-16,-8.122262522915943e-17,5.929512014065289e-17,4.3393523391853705e-16,-1.7985737783775098e-16,-1.521144127782664e-17,2.8722185514988497e-16,-1.400056316237255e-16,-2.5656906967960347e-16,0.7056315690684363,0.8253818568256013,0.001726074611538285,-0.10136271307301989,0.09677427045711552,0.1268316344495639,0.12284161902804921,0.8453970487150335,0.04607666411005282,-0.07858412413752217,0.1417086539617668,0.02562335133402391,0.06363340472976409,0.2115785145721068,0.19783072058303924,0.260918840906243,0.361048608701491,0.2741992528960156,0.3126411347397179,0.2796971577129965,0.15973223098482908,0.4893170794732845,0.5327545138534713,-0.530064109833114,-0.14100231525826082,0.4071404348691751,0.5654558493961577,0.6307350304474291,0.6500732751538687,0.697248892555247,,0.3844415464452721,0.750496623550848,0.6152885627708672,0.3678997633380167,0.3365405070385766,0.7919456389586382,0.7908063573136216,0.16493277761643574,0.18099463969215907,0.050291585432105046,0.11072359089571822,-0.0016573570381486725,0.8379511421347685,0.3917957307255538,-0.8722432550822249,0.5245831600113312,-0.27700750032665644,0.2221674462639143,0.30955187800219397,0.48947454284264585,-0.027692757781383522,-0.1251869632484717,0.02476090152844518,0.13275659818776858,-0.2399349375217687,-0.12112207420426786,0.8523971309473789,-0.8007998754359871,-0.29940856465731136,0.4813635008521049,0.3628060261672303,0.4358594328972942,0.28930665090327634,0.5028307553125848,0.25390610911516465,,0.41453582015088974,0.9196883192017081,0.8860513918311571,0.8365547935216404,0.839030717364128,-0.14722484139215586,-0.1774305045772935,-0.13598486752103423,-0.11963629082441733,-0.09879024461735587,-0.16826335845221901,-0.13569679781199606,-0.13875670559027908,-0.07532296320369056,-0.0613333693698837,-0.11162059795746138,-0.09413253701539159
Principal component 1,-1.0459986281162621e-16,1.0,-3.529190902638304e-16,4.462655067325152e-16,-1.0144964900285048e-16,1.3472474992877186e-16,-3.685760860348836e-17,6.003678874394703e-17,-1.0863425638460151e-16,-1.5167105739914713e-16,1.4846268647794524e-16,1.8692434429965656e-16,-3.950088891058103e-17,-1.4217697648786173e-16,1.2882833563738623e-17,-1.591661816426562e-16,-2.8324308925106727e-16,-1.5187015669781123e-16,2.929953752103475e-16,-3.140105751458691e-17,3.281579475058938e-16,-6.764689730352706e-16,-1.117826729237682e-16,1.4980610340771116e-16,5.231883364388802e-17,-4.188636367659114e-17,-0.1225335014769946,-0.07428285098078764,0.286289033423871,0.0557184054628566,0.1985516352949618,0.20430384892058462,-0.1016165860885432,-0.1553698340664226,0.10688230210793503,-0.3358591470516395,-0.18000452341476247,-0.4203086181708066,-0.46988548813535647,-0.5956204936729571,-0.5566651381674632,-0.5488147330217402,-0.5780213789373789,-0.6177023695362697,-0.6207107901483673,-0.6234276913847667,-0.6212307656741068,-0.020229462173950295,0.2570975811708786,-0.4692304263242603,-0.5280765226574549,-0.42345130012246446,-0.32610808480875136,-0.2885847666766089,-0.3200939288004205,-0.2866615026562561,,0.326783356652928,0.05767243808890373,0.2629402622768045,0.3570374045875118,0.3476545754634376,-0.2800814248505362,-0.19357870864868995,0.3651985301713618,-0.35083170508909833,0.2514788243146379,0.2748020181977328,0.03302588069782861,-0.12157160160945381,0.21813238689396156,0.11524562937337807,0.6125006523748912,0.26365064876385597,0.6579075292360554,0.13847341024499651,0.11589120494392333,-0.0641960086486708,0.0766154617013253,-0.1699340800149809,0.05807701191369257,0.17783190811173105,0.014258670638055929,-0.051335191065433564,-0.3972111353954653,0.3586427936466947,0.03785975152805222,-0.07833646331695433,-0.2733896303017126,-0.312175606134225,-0.3907345823461491,-0.3170778722089622,,0.36068066102046825,0.09312268392486787,0.2989936952108335,0.3848911817442437,0.39168190981151035,0.5105979793819828,0.6179530503582653,0.5645508529775882,0.669997896643384,0.5804087569487557,0.47844717918221175,0.40603080482461135,0.3313458053873358,0.4330632085446497,0.3662148396530175,0.44709769910801295,0.5012960052866909
Principal component 2,2.8911525304755153e-16,-3.529190902638304e-16,1.0,-3.5668511632304046e-16,-6.688664957368624e-16,-7.37703135416625e-16,-5.604380219431993e-16,6.755699028470443e-17,-3.744209219792891e-17,-1.4226195112317334e-16,3.3056843769341735e-16,-4.220585198678875e-18,2.6095419603255e-16,1.0491863252129026e-15,-1.3640094496293328e-16,2.1831186276234477e-16,-5.059203227562378e-16,-3.7966246895073536e-16,1.0793617201680866e-16,-1.0639437672128169e-16,5.071158388713839e-16,-2.4803576505468853e-16,2.550578706280113e-17,-6.254536368625142e-17,4.961501298711776e-16,8.663150889005826e-17,0.0714111304967962,0.011218730379882158,0.2526152193154629,0.25329653829744325,0.17610373484770364,0.14546354537337036,0.1906077666045811,0.0006332100753892318,0.1148574937892964,0.4703853743231837,0.6765421619340384,0.39336008539562056,0.45722289248174874,0.31645714727879504,0.3124300549291311,0.3466097585897767,0.26505751298774516,0.22196363364998026,0.33204548487973523,0.3647857630931504,0.3847675547945318,0.177331060101694,0.6056113315481427,0.2533400593823283,0.27446220995056897,0.37003040371788387,0.3546766564672666,0.23480808705512524,0.2328787631586049,0.12667315827311046,,-0.2572588706528658,0.3490408232151728,0.6117642396324924,0.7285579469415443,0.7393201132218411,-0.24527506617901107,-0.28061136776546786,-0.15337850883602885,-0.22707273358217592,-0.18850485331006323,-0.2296952534081747,0.1580369356011579,-0.3202383201302661,-0.4625749996250861,0.19321550061641962,0.1694653262804634,-0.2899501599294842,0.1944055841828969,-0.19107487912265333,-0.2771768467968684,-0.22737838870771496,-0.12791299228021485,-0.03250033657318054,-0.18773217273369486,0.08012796078914866,0.02363285207056699,-0.2439779051818814,0.17207973103885565,0.3998865425478018,0.19610714740451984,0.34603029112222305,-0.2038470057537186,-0.4273774237646563,-0.2957448899293636,-0.11231796892080786,,-0.45071205157597055,-0.22436474081462615,-0.12535506456748305,0.04804415577344034,0.050456554154493016,-0.015383342548513349,0.020422542365077873,-0.012394526163730041,-0.0569527646079063,-0.12458048523406409,-0.09467871123922164,-0.17326862373137164,-0.22157031870734686,-0.32634066991762567,-0.29914425071575257,-0.2136487761639541,-0.10668586578479335
Principal component 3,-1.308628162039449e-16,4.462655067325152e-16,-3.5668511632304046e-16,1.0,1.0549761079372541e-15,-5.122979824813463e-16,-5.112998185932791e-16,-1.4368536947934688e-17,-9.340487030074004e-17,-4.942035286396732e-18,6.46043846091936e-17,-4.794864208028475e-17,1.071011081432917e-16,5.787326637232579e-16,-1.8904113362171002e-16,4.727915696765209e-16,3.250936144168233e-17,3.2165872921641117e-16,2.8691079714600233e-16,6.243179789873935e-17,2.9769977993940525e-16,-6.791603918535368e-17,-1.1207415251515121e-16,-1.5486924289088798e-16,4.127673126211098e-17,-2.7298664193299706e-17,-0.20096107762250973,-0.09399718079498379,0.008789903666718843,0.17899651334413133,0.0952596546119867,0.08716641109936402,-0.07828816885498639,-0.1749937510570402,0.0011006224562683598,-0.053335814410637776,-0.11843126493995702,-0.1193907508712554,-0.1531742024349701,-0.17042523881612673,-0.26460576486765025,-0.2277728715213927,-0.2022674416914823,-0.21211491748313885,-0.16919112067301847,-0.14028585530777438,-0.05330159539398995,-0.03585482966136418,0.08297760324227162,-0.06834126224384961,-0.35628460718654276,-0.2468188752863827,-0.23362168665953995,-0.24150921271944362,-0.2290901061830504,-0.19261559314178708,,-0.010230117420102004,-0.009407348507589607,0.08210284197708093,0.09366541354334777,0.08736233640161996,-0.2483642630171481,-0.30112519971806373,-0.14902084519095055,0.2176131713803512,-0.028342827717613418,-0.040766543865520484,0.1273397095825425,-0.2313650698216799,-0.08218090692257644,0.1265102539424527,0.14614326510696235,-0.2138270944216609,-0.5099815753040019,-0.4516213540692501,-0.3064092420745179,-0.49865198885526574,-0.08651548193092957,-0.19819841174470562,-0.25685197330313836,-0.47678238767684816,-0.23048915313238344,-0.1762112489834248,-0.11146282955581414,0.2725262382004437,0.18190440935738525,0.27925006780226297,0.5212140485866672,0.48727238106053533,0.3433409704904263,0.3434898371927074,,-0.10756503188334349,-0.043806479969682365,0.04678059931408435,0.10621726207364555,0.09752486450331566,0.3695070785000345,0.15149123936825132,0.08998796581489933,-0.029719167754148294,-0.1762941071140655,-0.03339508567475764,0.03280078336184814,0.16235864941550304,0.17863226699788645,0.2319550929176701,0.3848653650035974,0.37482962908315304
Principal component 4,-1.3490020003953172e-17,-1.0144964900285048e-16,-6.688664957368624e-16,1.0549761079372541e-15,1.0,-3.207376356963052e-16,7.52563901162027e-17,2.237499485862292e-16,-9.479869021280828e-17,1.4260506355466114e-16,2.5090395298205133e-16,-1.3985998532606384e-16,-3.126639270679632e-18,-4.758196472454849e-17,-4.8075290504120607e-17,-9.026387129359665e-17,-5.979367492755904e-16,-3.269213210949894e-16,1.1897275162856487e-16,1.9318942292650164e-16,1.552223906710187e-16,-5.312859718507906e-16,-5.555429780899505e-16,-9.661611509652748e-17,2.392303925850536e-16,2.9919224162735327e-16,-0.09585279672608933,-0.05896094646741818,0.6898747466329038,-0.0499846825177187,0.7302986120825121,0.7184690576661078,-0.04243295852195666,-0.11389401859507835,-0.21489842923236163,-0.08346493759863974,0.11552760240598106,0.21465514788662712,0.10076314378294263,-0.020075163614546372,0.14111837493408091,0.1139376916703218,0.1894901968344137,0.22484141717009823,0.15447202280948255,0.12400175143342279,0.12586065350775402,-0.17169532636983934,-0.1647616471204899,0.00897976593886461,0.019895279971020776,0.012508044907043062,-0.0704381936813492,-0.05930415569580771,-0.03841328933975886,0.025254000970730196,,0.5251938871558502,-0.1501329955837001,-0.12075240525197188,-0.09843094739946572,-0.11260083090628617,0.11500685917155151,0.0712027978749644,0.7123003680546391,0.02638145784004162,0.7679548246903234,0.7573767863445219,-0.10153803420602191,0.07467025206265682,0.378510615775168,0.02613362638459451,-0.2282901265930203,-0.19995605033496297,0.021866040099925422,-0.09773591629143003,-0.04316800200478099,0.12090616440874849,0.23906955891056525,-0.0819887322782874,-0.44489582148168993,-0.28955591013772214,0.09233000617014234,0.04420633961738625,0.03167101993358424,0.15319986169106062,-0.11932345808851151,0.03519664410189818,-0.07069306252455733,-0.11771470201727322,-0.0175335955228883,0.025633317073129783,,0.5448445492424123,0.02980722252383953,0.006712109165462004,-0.016127041362603553,0.0032225178086040343,0.12915999001730089,-0.0008129927787862657,-0.13786684562949242,-0.18395131215445842,-0.3102214240051985,-0.4099642855516232,-0.37413774013693396,-0.36196238034598044,-0.29077079800845806,-0.22697813521939614,0.025949600034213312,0.12001077324114029
Principal component 5,-4.694086407728356e-17,1.3472474992877186e-16,-7.37703135416625e-16,-5.122979824813463e-16,-3.207376356963052e-16,1.0,-4.622503886383061e-16,-1.74848317020509e-17,-1.6163943282967834e-16,2.4825296142348175e-16,-3.917726400901873e-16,-4.4787551546168336e-17,-4.895962623674344e-16,-4.536956756115435e-16,-2.202920371016231e-17,3.5183300327851277e-16,1.759338708082978e-16,2.0236354075590018e-16,2.0571783955150813e-16,3.056046980254435e-16,-3.393146348637896e-16,7.679362710695127e-16,3.29457201049288e-16,-9.62230995634242e-17,-1.2449062908188661e-16,4.0082834321347746e-16,-0.056321012336001654,-0.02955448490154286,-0.22010382078854931,-0.20634848994051636,-0.20592299357078023,-0.21068542884744942,0.003488124984422451,-0.04666568724846551,-0.04983521561521849,-0.07310472570843657,0.027080808487603785,-0.05208554869928407,-0.02263927768370231,-0.10058968580032743,-0.14639871791619705,-0.17915437856825095,-0.12055083433171239,-0.18789289698695005,-0.14498996183359278,-0.0765036408709727,-0.054727071821210116,-0.04907552778670669,0.047356515000104786,-0.07748767186176837,0.0009694918674062695,0.039725534865990224,0.010957125649275309,0.02421187139666272,-0.02418161782599706,-0.008219613850642257,,-0.17588442906352597,-0.002042460778684175,0.02240950260944296,0.003770870672285688,-0.006048198735913643,0.012252248317953438,-0.02090275929387412,-0.16335879999515687,-0.1384257737679265,-0.1333185101362135,-0.13305522729194663,-0.07402804484983593,0.008092890473511905,-0.0077057205189812955,0.027175744802384147,0.048276478962078644,-0.33377337158823484,0.057173209192685044,0.008859180938569553,0.012042332453263836,0.390065994431763,0.7130380377910532,0.5776539476520647,0.025703560113091287,-0.33006387677080873,-0.40034896530792313,-0.014135731411157176,-0.0016924241598944598,0.09381535086897208,0.27706550474061487,0.036016751532623494,0.0005247587261881329,-0.15536260051638798,-0.22072244612242403,-0.09922147528614764,,-0.10212415870564316,0.0018595607602412327,0.01593518590345685,0.02947524473299649,0.024885619090030394,0.10920619796331177,-0.154415688558375,-0.3399002902180351,-0.38660257683995797,-0.36492254489922,-0.27647552154913796,-0.18073922038892518,-0.040603551546479565,0.17470390475594672,0.38676015280284354,0.4567352389342027,0.2826894115636929
Principal component 6,1.8402776826981126e-16,-3.685760860348836e-17,-5.604380219431993e-16,-5.112998185932791e-16,7.52563901162027e-17,-4.622503886383061e-16,1.0,-4.255546591107631e-17,8.956520582666813e-17,-1.8930017569239005e-16,-1.5021965988145877e-17,4.751113710174975e-17,-3.782681155867259e-17,-2.467104486055955e-16,-7.034463874001258e-17,-1.4465927926103216e-16,3.3386545771069205e-16,-1.9217134347443516e-16,-9.920389204315765e-17,-4.735393019970554e-17,2.455655572369513e-16,6.731281689439789e-17,1.8187851397091185e-16,-3.6541133053059427e-17,-2.2281001345140414e-18,-1.5079409012413275e-16,-0.07121241790667632,-0.11158233304885626,-0.24351943905714798,-0.1895574190597234,-0.2898293628346122,-0.30324901695052187,-0.10988357573684532,-0.13213495794123797,-0.07722640119772316,-0.32782969484399604,0.010640193403787824,-0.3212115792495781,-0.2166292434194708,-0.032636743891189667,-0.03414261977638656,0.00024140506501397693,0.08491085118099474,0.044665931637402324,0.006185266143015838,0.021229992006642447,-0.10111774894189222,-0.03832456569003739,-0.12010894998821126,-0.3705419642053269,-0.37875467648036903,-0.34716148546047076,-0.2945593642454148,-0.260296294961585,-0.19595098175368827,-0.16344766280014256,,-0.2921250803175381,-0.18427796520605513,-0.12869762380715846,-0.03185651560920641,-0.080365109437021,0.24389010270082948,0.13731523107643126,-0.17592349189530357,-0.044157916039956696,-0.17809614086634143,-0.16137463973311617,0.1009151883143582,0.19224381593145495,-0.07297578493060239,0.02027951158141555,-0.19728936200861075,-0.504331232859869,-0.13399792841625202,-0.11891202454896695,0.2918194963590565,-0.10328196153011548,0.05525831357355159,-0.3287219813935689,-0.058808721251592415,0.2001192379986359,0.2426758044498133,0.17260345351343148,-0.12238366402622967,0.5450206471020311,0.034064910828253914,-0.2506149975896309,-0.26473533291493573,-0.01912629085159697,0.04608199752393173,-0.04709654917517098,,-0.07416231018251852,0.1788206969707536,0.20416680630218134,0.23759974752766083,0.2472602911229425,-0.15357392047478813,-0.1437319866701538,-0.20033110692531736,-0.20427594397558715,-0.20400976162555282,-0.27264697569357305,-0.31320912357328395,-0.32605078584612995,-0.3309022449068633,-0.373838417647682,-0.26614563309037165,-0.2148524574887647
Principal component 7,1.417571465085316e-16,6.003678874394703e-17,6.755699028470443e-17,-1.4368536947934688e-17,2.237499485862292e-16,-1.74848317020509e-17,-4.255546591107631e-17,1.0,-2.5603072023083737e-18,2.3606459418004246e-17,-1.3535979704754183e-16,-2.3416402837411533e-16,-1.1034737498134593e-16,-2.1908854538500301e-16,2.127604714828644e-17,7.933860125815557e-17,2.403466951839799e-16,1.7225541738156752e-16,2.712416169219103e-16,9.209960825666517e-17,-3.3431938512106716e-16,4.879719249134992e-17,-3.7106990439092907e-16,-4.154345904640501e-16,-1.9966486604400397e-16,1.2139147265562043e-16,0.009444520963333295,-0.010887512937015797,0.17077563253752695,0.07020396655705659,0.21397837860708316,0.2097497536097902,0.15436528709471273,-0.010895267223381147,0.13605049652719875,0.15181015093023748,0.19318578227281408,0.18289608634718216,0.028867362864847534,0.2212906743517566,0.27717166674010396,0.2671709809524751,0.2171182189091993,0.20792541669654124,0.23908900913978398,0.22546694721962254,0.27196825415330944,0.10274389752789495,0.21847542209420218,0.09886276190152421,-0.20593124445155483,-0.24205010720956785,-0.1877811113841073,-0.2777654849635835,-0.2811301965141777,-0.23333285532336462,,0.05536965491989895,0.05987028580928153,0.14730090674409588,0.19076977199685163,0.16878055277061424,-0.05992513521553023,-0.0942342388298035,0.09298288935143001,-0.13812843156678253,0.12343511401216525,0.11708085528276803,0.04354717102495548,-0.06122481766729861,-0.2012226221461639,0.15596633481129196,-0.0779378224336163,0.1489242972527976,-0.03906928421536993,0.1726048027436458,0.2148227689358065,-0.1530547424745942,0.10251969520859557,0.3707936344693555,0.47919654442709536,0.03691813458602617,-0.18191021158664725,-0.007267679849626835,-0.06439612962662773,0.36222735043218857,-0.4310256286333752,-0.13112654108916957,0.1424102743851728,0.30103149098230736,0.05068214758438821,-0.16232574466836455,,0.03492923647419151,-0.01989718288415506,0.043407351896446594,0.049954308511361456,0.09012828953679096,-0.26286622272978,-0.41100507343779985,-0.3733815119387303,-0.13962380979395153,0.04361681300450336,0.21600619142858496,0.2656732785797694,0.3420915042575053,0.2891185836777397,0.0293691381806236,-0.01001423424771804,-0.14424373712313338
Principal component 8,-8.050114818689655e-17,-1.0863425638460151e-16,-3.744209219792891e-17,-9.340487030074004e-17,-9.479869021280828e-17,-1.6163943282967834e-16,8.956520582666813e-17,-2.5603072023083737e-18,1.0,-7.648757817040748e-17,6.312063192968555e-17,6.36646263303587e-16,-3.3865208136690545e-16,1.204642336233217e-16,-3.5020655271083955e-16,-5.564432837595077e-16,-2.1101930423048828e-16,4.24561982111179e-16,1.2408204256882413e-16,-2.3340223109935473e-16,3.738397123057167e-16,-8.83273443172903e-17,-8.656225347544398e-17,1.021277961655047e-16,1.8141927342800318e-16,-2.0667897507675874e-17,0.0006547503465105735,-0.042080678986813135,0.0076736539741786005,0.12559327062350573,0.05187575834289909,0.052809174976414124,0.09435619161928267,-0.03865881409822092,0.1316688620438829,0.16310159496795393,0.1186387466274375,0.06125175243241842,-0.011904457690298482,0.014820053481162141,0.14134620886928592,0.14661184312961956,0.04242790940815175,0.0885000686014283,0.1388270183065166,0.11741995701645364,0.13206809207337208,0.06714628529895687,0.05541200870862935,0.08588343567084464,-0.05484262897694344,-0.04154201579804133,-0.1763822081705242,-0.11742188303378262,-0.10469105200469087,-0.07819568047075254,,-0.07259030945747282,0.021995340502071817,0.037271537587570076,0.05705549271956298,0.07952982635023208,-0.15081983176485161,-0.14093172529441014,-0.1629658329975027,-0.07238556450415028,-0.1927762272830436,-0.20751280610182468,0.1909515818578343,-0.15611633757384924,-0.31456057168480883,0.060456779163515655,0.08605099737318173,0.1345644132049123,0.09922110623069558,0.5812355543792808,0.49455497134743326,0.2688366125502125,0.07277076148509944,-0.27967766253046983,-0.3292202419309295,-0.17439347428631663,0.03825594908749596,-0.10950948658215437,0.07413432611248331,0.032041836809242226,0.0209290525046839,0.031997406699431796,0.1552388586006158,0.23866849071002522,0.05843017954799838,-0.10613989679838624,,-0.25636362376723676,-0.12866733887132376,-0.10703840884210507,-0.07800683063484462,-0.08680285361361338,0.34507702980684307,0.24700109852479238,0.16553454781392876,0.14270339071743549,0.019306009887524737,-0.06624703626289569,-0.25869536288235245,-0.2894226049170358,-0.24767542314388377,-0.1374500934402202,0.14959934057929636,0.2570770506908068
Principal component 9,-8.728935500999263e-17,-1.5167105739914713e-16,-1.4226195112317334e-16,-4.942035286396732e-18,1.4260506355466114e-16,2.4825296142348175e-16,-1.8930017569239005e-16,2.3606459418004246e-17,-7.648757817040748e-17,1.0,-3.742890345785251e-17,-1.0800076441318194e-16,1.1413577388259824e-16,1.308844900461072e-16,1.574663359429856e-16,-7.314704737345909e-17,2.20139214114469e-17,2.929795472649087e-18,1.72624004387131e-16,-2.7011469140132884e-17,-2.6591418862028e-16,2.699678615033977e-16,-2.768898163369783e-16,-1.288188337958973e-16,-1.5832036282207878e-16,1.8050285896837815e-16,0.08307646098320853,0.0938565097618526,0.06618313256654644,0.17096490709707632,0.039931370538769925,0.055958265402246694,0.04168463035844416,0.04516743629730423,0.1205922992322985,0.2670271990853913,0.08814959614772622,0.12142306789887089,0.13672311978045165,0.010428361736969984,0.038529213240648945,-0.04479726492716181,-0.08622748859374443,-0.09011238348818314,-0.07534626394994544,0.0008317419997464359,0.01513122935094367,0.15069294087673443,0.046082118965684635,0.0428743249949098,0.06838834575092172,-0.00847396848868595,-0.04929490566627748,-0.10395922680804548,-0.05525043265560016,-0.06297204658624747,,0.14461585011837025,0.13680988873335317,0.05097236382021485,0.09051662170605043,0.050809649695729986,-0.03302354868855626,-0.026978333563613247,0.01669705055847093,-0.0837664913284089,-0.006466822448506869,-0.003941841869270841,-0.05970934943952523,-0.03341531196842018,-0.11482896609516237,-0.0036228835304668787,-0.027297582814941414,-0.14879308913675948,-0.18696976950868915,-0.15114333977018546,-0.04654898531387524,0.185530259352051,0.4313947472886834,0.16785535804039137,-0.0910307219311239,0.46019416128423085,0.6110964126259621,0.03658028294040087,-0.07733057015355971,-0.01906309615759004,0.11115654251675236,0.17928080900907964,0.0997853087107546,0.2485870830190057,0.0964604305551572,0.06768585758214647,,0.006283757776780144,-0.006380518508700594,0.0021523245530258688,-0.044283775306385616,-0.018346942839560256,0.06325976725334237,0.15762970059300274,0.15269375930532814,0.17050805135474884,0.31027219646778287,0.2742452906606874,0.1448108038739958,0.09779915300993182,-0.018710592294291773,-0.08601448933176338,-0.06802220917234081,-0.008028615757511525
