,source(s),Oversampling,Parameters,Accuracy,Precision,Recall,Gamma
0,Instrumental,True,"{'memory': None, 'steps': [('Imputer', SimpleImputer()), ('Scaler', MinMaxScaler()), ('PCA', PCA(n_components=30, random_state=42)), ('Classifier', Pipeline(steps=[('SVC',
                 SVC(C=0.1, cache_size=500, coef0=4, degree=5, gamma=0.01,
                     kernel='poly', max_iter=1000000, probability=True,
                     random_state=42))]))], 'transform_input': None, 'verbose': False, 'Imputer': SimpleImputer(), 'Scaler': MinMaxScaler(), 'PCA': PCA(n_components=30, random_state=42), 'Classifier': Pipeline(steps=[('SVC',
                 SVC(C=0.1, cache_size=500, coef0=4, degree=5, gamma=0.01,
                     kernel='poly', max_iter=1000000, probability=True,
                     random_state=42))]), 'Imputer__add_indicator': False, 'Imputer__copy': True, 'Imputer__fill_value': None, 'Imputer__keep_empty_features': False, 'Imputer__missing_values': nan, 'Imputer__strategy': 'mean', 'Scaler__clip': False, 'Scaler__copy': True, 'Scaler__feature_range': (0, 1), 'PCA__copy': True, 'PCA__iterated_power': 'auto', 'PCA__n_components': 30, 'PCA__n_oversamples': 10, 'PCA__power_iteration_normalizer': 'auto', 'PCA__random_state': 42, 'PCA__svd_solver': 'auto', 'PCA__tol': 0.0, 'PCA__whiten': False, 'Classifier__memory': None, 'Classifier__steps': [('SVC', SVC(C=0.1, cache_size=500, coef0=4, degree=5, gamma=0.01, kernel='poly',
    max_iter=1000000, probability=True, random_state=42))], 'Classifier__transform_input': None, 'Classifier__verbose': False, 'Classifier__SVC': SVC(C=0.1, cache_size=500, coef0=4, degree=5, gamma=0.01, kernel='poly',
    max_iter=1000000, probability=True, random_state=42), 'Classifier__SVC__C': 0.1, 'Classifier__SVC__break_ties': False, 'Classifier__SVC__cache_size': 500, 'Classifier__SVC__class_weight': None, 'Classifier__SVC__coef0': 4, 'Classifier__SVC__decision_function_shape': 'ovr', 'Classifier__SVC__degree': 5, 'Classifier__SVC__gamma': 0.01, 'Classifier__SVC__kernel': 'poly', 'Classifier__SVC__max_iter': 1000000, 'Classifier__SVC__probability': True, 'Classifier__SVC__random_state': 42, 'Classifier__SVC__shrinking': True, 'Classifier__SVC__tol': 0.001, 'Classifier__SVC__verbose': False}",0.24203821656050956,0.26129962063212747,0.20919695994174645,0.1
1,Instrumental,True,"{'memory': None, 'steps': [('Imputer', SimpleImputer()), ('Scaler', MinMaxScaler()), ('PCA', PCA(n_components=40, random_state=42)), ('Classifier', Pipeline(steps=[('SVC',
                 SVC(C=0.1, cache_size=500, coef0=4, degree=5, gamma=0.01,
                     kernel='poly', max_iter=1000000, probability=True,
                     random_state=42))]))], 'transform_input': None, 'verbose': False, 'Imputer': SimpleImputer(), 'Scaler': MinMaxScaler(), 'PCA': PCA(n_components=40, random_state=42), 'Classifier': Pipeline(steps=[('SVC',
                 SVC(C=0.1, cache_size=500, coef0=4, degree=5, gamma=0.01,
                     kernel='poly', max_iter=1000000, probability=True,
                     random_state=42))]), 'Imputer__add_indicator': False, 'Imputer__copy': True, 'Imputer__fill_value': None, 'Imputer__keep_empty_features': False, 'Imputer__missing_values': nan, 'Imputer__strategy': 'mean', 'Scaler__clip': False, 'Scaler__copy': True, 'Scaler__feature_range': (0, 1), 'PCA__copy': True, 'PCA__iterated_power': 'auto', 'PCA__n_components': 40, 'PCA__n_oversamples': 10, 'PCA__power_iteration_normalizer': 'auto', 'PCA__random_state': 42, 'PCA__svd_solver': 'auto', 'PCA__tol': 0.0, 'PCA__whiten': False, 'Classifier__memory': None, 'Classifier__steps': [('SVC', SVC(C=0.1, cache_size=500, coef0=4, degree=5, gamma=0.01, kernel='poly',
    max_iter=1000000, probability=True, random_state=42))], 'Classifier__transform_input': None, 'Classifier__verbose': False, 'Classifier__SVC': SVC(C=0.1, cache_size=500, coef0=4, degree=5, gamma=0.01, kernel='poly',
    max_iter=1000000, probability=True, random_state=42), 'Classifier__SVC__C': 0.1, 'Classifier__SVC__break_ties': False, 'Classifier__SVC__cache_size': 500, 'Classifier__SVC__class_weight': None, 'Classifier__SVC__coef0': 4, 'Classifier__SVC__decision_function_shape': 'ovr', 'Classifier__SVC__degree': 5, 'Classifier__SVC__gamma': 0.01, 'Classifier__SVC__kernel': 'poly', 'Classifier__SVC__max_iter': 1000000, 'Classifier__SVC__probability': True, 'Classifier__SVC__random_state': 42, 'Classifier__SVC__shrinking': True, 'Classifier__SVC__tol': 0.001, 'Classifier__SVC__verbose': False}",0.25477707006369427,0.22638139802393523,0.1902114797504697,0.1
2,Instrumental,True,"{'memory': None, 'steps': [('Imputer', SimpleImputer()), ('Scaler', MinMaxScaler()), ('PCA', PCA(n_components=30, random_state=42)), ('Classifier', Pipeline(steps=[('SVC',
                 SVC(C=0.01, cache_size=500, coef0=6, degree=5, gamma=0.01,
                     kernel='poly', max_iter=1000000, probability=True,
                     random_state=42))]))], 'transform_input': None, 'verbose': False, 'Imputer': SimpleImputer(), 'Scaler': MinMaxScaler(), 'PCA': PCA(n_components=30, random_state=42), 'Classifier': Pipeline(steps=[('SVC',
                 SVC(C=0.01, cache_size=500, coef0=6, degree=5, gamma=0.01,
                     kernel='poly', max_iter=1000000, probability=True,
                     random_state=42))]), 'Imputer__add_indicator': False, 'Imputer__copy': True, 'Imputer__fill_value': None, 'Imputer__keep_empty_features': False, 'Imputer__missing_values': nan, 'Imputer__strategy': 'mean', 'Scaler__clip': False, 'Scaler__copy': True, 'Scaler__feature_range': (0, 1), 'PCA__copy': True, 'PCA__iterated_power': 'auto', 'PCA__n_components': 30, 'PCA__n_oversamples': 10, 'PCA__power_iteration_normalizer': 'auto', 'PCA__random_state': 42, 'PCA__svd_solver': 'auto', 'PCA__tol': 0.0, 'PCA__whiten': False, 'Classifier__memory': None, 'Classifier__steps': [('SVC', SVC(C=0.01, cache_size=500, coef0=6, degree=5, gamma=0.01, kernel='poly',
    max_iter=1000000, probability=True, random_state=42))], 'Classifier__transform_input': None, 'Classifier__verbose': False, 'Classifier__SVC': SVC(C=0.01, cache_size=500, coef0=6, degree=5, gamma=0.01, kernel='poly',
    max_iter=1000000, probability=True, random_state=42), 'Classifier__SVC__C': 0.01, 'Classifier__SVC__break_ties': False, 'Classifier__SVC__cache_size': 500, 'Classifier__SVC__class_weight': None, 'Classifier__SVC__coef0': 6, 'Classifier__SVC__decision_function_shape': 'ovr', 'Classifier__SVC__degree': 5, 'Classifier__SVC__gamma': 0.01, 'Classifier__SVC__kernel': 'poly', 'Classifier__SVC__max_iter': 1000000, 'Classifier__SVC__probability': True, 'Classifier__SVC__random_state': 42, 'Classifier__SVC__shrinking': True, 'Classifier__SVC__tol': 0.001, 'Classifier__SVC__verbose': False}",0.2515923566878981,0.2702352385523078,0.22183138158100602,0.01
3,Instrumental,True,"{'memory': None, 'steps': [('Imputer', SimpleImputer()), ('Scaler', MinMaxScaler()), ('PCA', PCA(n_components=30, random_state=42)), ('Classifier', Pipeline(steps=[('SVC',
                 SVC(C=0.1, cache_size=500, coef0=6, degree=5, gamma=0.001,
                     kernel='poly', max_iter=1000000, probability=True,
                     random_state=42))]))], 'transform_input': None, 'verbose': False, 'Imputer': SimpleImputer(), 'Scaler': MinMaxScaler(), 'PCA': PCA(n_components=30, random_state=42), 'Classifier': Pipeline(steps=[('SVC',
                 SVC(C=0.1, cache_size=500, coef0=6, degree=5, gamma=0.001,
                     kernel='poly', max_iter=1000000, probability=True,
                     random_state=42))]), 'Imputer__add_indicator': False, 'Imputer__copy': True, 'Imputer__fill_value': None, 'Imputer__keep_empty_features': False, 'Imputer__missing_values': nan, 'Imputer__strategy': 'mean', 'Scaler__clip': False, 'Scaler__copy': True, 'Scaler__feature_range': (0, 1), 'PCA__copy': True, 'PCA__iterated_power': 'auto', 'PCA__n_components': 30, 'PCA__n_oversamples': 10, 'PCA__power_iteration_normalizer': 'auto', 'PCA__random_state': 42, 'PCA__svd_solver': 'auto', 'PCA__tol': 0.0, 'PCA__whiten': False, 'Classifier__memory': None, 'Classifier__steps': [('SVC', SVC(C=0.1, cache_size=500, coef0=6, degree=5, gamma=0.001, kernel='poly',
    max_iter=1000000, probability=True, random_state=42))], 'Classifier__transform_input': None, 'Classifier__verbose': False, 'Classifier__SVC': SVC(C=0.1, cache_size=500, coef0=6, degree=5, gamma=0.001, kernel='poly',
    max_iter=1000000, probability=True, random_state=42), 'Classifier__SVC__C': 0.1, 'Classifier__SVC__break_ties': False, 'Classifier__SVC__cache_size': 500, 'Classifier__SVC__class_weight': None, 'Classifier__SVC__coef0': 6, 'Classifier__SVC__decision_function_shape': 'ovr', 'Classifier__SVC__degree': 5, 'Classifier__SVC__gamma': 0.001, 'Classifier__SVC__kernel': 'poly', 'Classifier__SVC__max_iter': 1000000, 'Classifier__SVC__probability': True, 'Classifier__SVC__random_state': 42, 'Classifier__SVC__shrinking': True, 'Classifier__SVC__tol': 0.001, 'Classifier__SVC__verbose': False}",0.25477707006369427,0.2847869102848306,0.22834446580564594,0.1
4,Instrumental,True,"{'memory': None, 'steps': [('Imputer', SimpleImputer()), ('Scaler', MinMaxScaler()), ('PCA', PCA(n_components=40, random_state=42)), ('Classifier', Pipeline(steps=[('SVC',
                 SVC(C=0.01, cache_size=500, coef0=6, degree=5, gamma=0.01,
                     kernel='poly', max_iter=1000000, probability=True,
                     random_state=42))]))], 'transform_input': None, 'verbose': False, 'Imputer': SimpleImputer(), 'Scaler': MinMaxScaler(), 'PCA': PCA(n_components=40, random_state=42), 'Classifier': Pipeline(steps=[('SVC',
                 SVC(C=0.01, cache_size=500, coef0=6, degree=5, gamma=0.01,
                     kernel='poly', max_iter=1000000, probability=True,
                     random_state=42))]), 'Imputer__add_indicator': False, 'Imputer__copy': True, 'Imputer__fill_value': None, 'Imputer__keep_empty_features': False, 'Imputer__missing_values': nan, 'Imputer__strategy': 'mean', 'Scaler__clip': False, 'Scaler__copy': True, 'Scaler__feature_range': (0, 1), 'PCA__copy': True, 'PCA__iterated_power': 'auto', 'PCA__n_components': 40, 'PCA__n_oversamples': 10, 'PCA__power_iteration_normalizer': 'auto', 'PCA__random_state': 42, 'PCA__svd_solver': 'auto', 'PCA__tol': 0.0, 'PCA__whiten': False, 'Classifier__memory': None, 'Classifier__steps': [('SVC', SVC(C=0.01, cache_size=500, coef0=6, degree=5, gamma=0.01, kernel='poly',
    max_iter=1000000, probability=True, random_state=42))], 'Classifier__transform_input': None, 'Classifier__verbose': False, 'Classifier__SVC': SVC(C=0.01, cache_size=500, coef0=6, degree=5, gamma=0.01, kernel='poly',
    max_iter=1000000, probability=True, random_state=42), 'Classifier__SVC__C': 0.01, 'Classifier__SVC__break_ties': False, 'Classifier__SVC__cache_size': 500, 'Classifier__SVC__class_weight': None, 'Classifier__SVC__coef0': 6, 'Classifier__SVC__decision_function_shape': 'ovr', 'Classifier__SVC__degree': 5, 'Classifier__SVC__gamma': 0.01, 'Classifier__SVC__kernel': 'poly', 'Classifier__SVC__max_iter': 1000000, 'Classifier__SVC__probability': True, 'Classifier__SVC__random_state': 42, 'Classifier__SVC__shrinking': True, 'Classifier__SVC__tol': 0.001, 'Classifier__SVC__verbose': False}",0.2356687898089172,0.23020973787051213,0.19477312548156467,0.01
5,Instrumental,True,"{'memory': None, 'steps': [('Imputer', SimpleImputer()), ('Scaler', MinMaxScaler()), ('PCA', PCA(n_components=40, random_state=42)), ('Classifier', Pipeline(steps=[('SVC',
                 SVC(C=0.1, cache_size=500, coef0=6, degree=5, gamma=0.001,
                     kernel='poly', max_iter=1000000, probability=True,
                     random_state=42))]))], 'transform_input': None, 'verbose': False, 'Imputer': SimpleImputer(), 'Scaler': MinMaxScaler(), 'PCA': PCA(n_components=40, random_state=42), 'Classifier': Pipeline(steps=[('SVC',
                 SVC(C=0.1, cache_size=500, coef0=6, degree=5, gamma=0.001,
                     kernel='poly', max_iter=1000000, probability=True,
                     random_state=42))]), 'Imputer__add_indicator': False, 'Imputer__copy': True, 'Imputer__fill_value': None, 'Imputer__keep_empty_features': False, 'Imputer__missing_values': nan, 'Imputer__strategy': 'mean', 'Scaler__clip': False, 'Scaler__copy': True, 'Scaler__feature_range': (0, 1), 'PCA__copy': True, 'PCA__iterated_power': 'auto', 'PCA__n_components': 40, 'PCA__n_oversamples': 10, 'PCA__power_iteration_normalizer': 'auto', 'PCA__random_state': 42, 'PCA__svd_solver': 'auto', 'PCA__tol': 0.0, 'PCA__whiten': False, 'Classifier__memory': None, 'Classifier__steps': [('SVC', SVC(C=0.1, cache_size=500, coef0=6, degree=5, gamma=0.001, kernel='poly',
    max_iter=1000000, probability=True, random_state=42))], 'Classifier__transform_input': None, 'Classifier__verbose': False, 'Classifier__SVC': SVC(C=0.1, cache_size=500, coef0=6, degree=5, gamma=0.001, kernel='poly',
    max_iter=1000000, probability=True, random_state=42), 'Classifier__SVC__C': 0.1, 'Classifier__SVC__break_ties': False, 'Classifier__SVC__cache_size': 500, 'Classifier__SVC__class_weight': None, 'Classifier__SVC__coef0': 6, 'Classifier__SVC__decision_function_shape': 'ovr', 'Classifier__SVC__degree': 5, 'Classifier__SVC__gamma': 0.001, 'Classifier__SVC__kernel': 'poly', 'Classifier__SVC__max_iter': 1000000, 'Classifier__SVC__probability': True, 'Classifier__SVC__random_state': 42, 'Classifier__SVC__shrinking': True, 'Classifier__SVC__tol': 0.001, 'Classifier__SVC__verbose': False}",0.24203821656050956,0.22950775494968426,0.2026906544672715,0.1
6,Instrumental,True,"{'memory': None, 'steps': [('Imputer', SimpleImputer()), ('Scaler', MinMaxScaler()), ('PCA', PCA(n_components=30, random_state=42)), ('Classifier', Pipeline(steps=[('SVC',
                 SVC(C=10, cache_size=500, coef0=6, degree=5, gamma=0.01,
                     max_iter=1000000, probability=True, random_state=42))]))], 'transform_input': None, 'verbose': False, 'Imputer': SimpleImputer(), 'Scaler': MinMaxScaler(), 'PCA': PCA(n_components=30, random_state=42), 'Classifier': Pipeline(steps=[('SVC',
                 SVC(C=10, cache_size=500, coef0=6, degree=5, gamma=0.01,
                     max_iter=1000000, probability=True, random_state=42))]), 'Imputer__add_indicator': False, 'Imputer__copy': True, 'Imputer__fill_value': None, 'Imputer__keep_empty_features': False, 'Imputer__missing_values': nan, 'Imputer__strategy': 'mean', 'Scaler__clip': False, 'Scaler__copy': True, 'Scaler__feature_range': (0, 1), 'PCA__copy': True, 'PCA__iterated_power': 'auto', 'PCA__n_components': 30, 'PCA__n_oversamples': 10, 'PCA__power_iteration_normalizer': 'auto', 'PCA__random_state': 42, 'PCA__svd_solver': 'auto', 'PCA__tol': 0.0, 'PCA__whiten': False, 'Classifier__memory': None, 'Classifier__steps': [('SVC', SVC(C=10, cache_size=500, coef0=6, degree=5, gamma=0.01, max_iter=1000000,
    probability=True, random_state=42))], 'Classifier__transform_input': None, 'Classifier__verbose': False, 'Classifier__SVC': SVC(C=10, cache_size=500, coef0=6, degree=5, gamma=0.01, max_iter=1000000,
    probability=True, random_state=42), 'Classifier__SVC__C': 10, 'Classifier__SVC__break_ties': False, 'Classifier__SVC__cache_size': 500, 'Classifier__SVC__class_weight': None, 'Classifier__SVC__coef0': 6, 'Classifier__SVC__decision_function_shape': 'ovr', 'Classifier__SVC__degree': 5, 'Classifier__SVC__gamma': 0.01, 'Classifier__SVC__kernel': 'rbf', 'Classifier__SVC__max_iter': 1000000, 'Classifier__SVC__probability': True, 'Classifier__SVC__random_state': 42, 'Classifier__SVC__shrinking': True, 'Classifier__SVC__tol': 0.001, 'Classifier__SVC__verbose': False}",0.24522292993630573,0.27147999177274496,0.2209086747297075,10.0
7,Instrumental,True,"{'memory': None, 'steps': [('Imputer', SimpleImputer()), ('Scaler', MinMaxScaler()), ('PCA', PCA(n_components=30, random_state=42)), ('Classifier', Pipeline(steps=[('SVC',
                 SVC(C=0.1, cache_size=500, coef0=6, degree=5, gamma=0.01,
                     kernel='poly', max_iter=1000000, probability=True,
                     random_state=42))]))], 'transform_input': None, 'verbose': False, 'Imputer': SimpleImputer(), 'Scaler': MinMaxScaler(), 'PCA': PCA(n_components=30, random_state=42), 'Classifier': Pipeline(steps=[('SVC',
                 SVC(C=0.1, cache_size=500, coef0=6, degree=5, gamma=0.01,
                     kernel='poly', max_iter=1000000, probability=True,
                     random_state=42))]), 'Imputer__add_indicator': False, 'Imputer__copy': True, 'Imputer__fill_value': None, 'Imputer__keep_empty_features': False, 'Imputer__missing_values': nan, 'Imputer__strategy': 'mean', 'Scaler__clip': False, 'Scaler__copy': True, 'Scaler__feature_range': (0, 1), 'PCA__copy': True, 'PCA__iterated_power': 'auto', 'PCA__n_components': 30, 'PCA__n_oversamples': 10, 'PCA__power_iteration_normalizer': 'auto', 'PCA__random_state': 42, 'PCA__svd_solver': 'auto', 'PCA__tol': 0.0, 'PCA__whiten': False, 'Classifier__memory': None, 'Classifier__steps': [('SVC', SVC(C=0.1, cache_size=500, coef0=6, degree=5, gamma=0.01, kernel='poly',
    max_iter=1000000, probability=True, random_state=42))], 'Classifier__transform_input': None, 'Classifier__verbose': False, 'Classifier__SVC': SVC(C=0.1, cache_size=500, coef0=6, degree=5, gamma=0.01, kernel='poly',
    max_iter=1000000, probability=True, random_state=42), 'Classifier__SVC__C': 0.1, 'Classifier__SVC__break_ties': False, 'Classifier__SVC__cache_size': 500, 'Classifier__SVC__class_weight': None, 'Classifier__SVC__coef0': 6, 'Classifier__SVC__decision_function_shape': 'ovr', 'Classifier__SVC__degree': 5, 'Classifier__SVC__gamma': 0.01, 'Classifier__SVC__kernel': 'poly', 'Classifier__SVC__max_iter': 1000000, 'Classifier__SVC__probability': True, 'Classifier__SVC__random_state': 42, 'Classifier__SVC__shrinking': True, 'Classifier__SVC__tol': 0.001, 'Classifier__SVC__verbose': False}",0.24203821656050956,0.22165205948000702,0.19241371968953042,0.1
8,Instrumental,True,"{'memory': None, 'steps': [('Imputer', SimpleImputer()), ('Scaler', MinMaxScaler()), ('PCA', PCA(n_components=40, random_state=42)), ('Classifier', Pipeline(steps=[('SVC',
                 SVC(C=10, cache_size=500, coef0=6, degree=5, gamma=0.01,
                     max_iter=1000000, probability=True, random_state=42))]))], 'transform_input': None, 'verbose': False, 'Imputer': SimpleImputer(), 'Scaler': MinMaxScaler(), 'PCA': PCA(n_components=40, random_state=42), 'Classifier': Pipeline(steps=[('SVC',
                 SVC(C=10, cache_size=500, coef0=6, degree=5, gamma=0.01,
                     max_iter=1000000, probability=True, random_state=42))]), 'Imputer__add_indicator': False, 'Imputer__copy': True, 'Imputer__fill_value': None, 'Imputer__keep_empty_features': False, 'Imputer__missing_values': nan, 'Imputer__strategy': 'mean', 'Scaler__clip': False, 'Scaler__copy': True, 'Scaler__feature_range': (0, 1), 'PCA__copy': True, 'PCA__iterated_power': 'auto', 'PCA__n_components': 40, 'PCA__n_oversamples': 10, 'PCA__power_iteration_normalizer': 'auto', 'PCA__random_state': 42, 'PCA__svd_solver': 'auto', 'PCA__tol': 0.0, 'PCA__whiten': False, 'Classifier__memory': None, 'Classifier__steps': [('SVC', SVC(C=10, cache_size=500, coef0=6, degree=5, gamma=0.01, max_iter=1000000,
    probability=True, random_state=42))], 'Classifier__transform_input': None, 'Classifier__verbose': False, 'Classifier__SVC': SVC(C=10, cache_size=500, coef0=6, degree=5, gamma=0.01, max_iter=1000000,
    probability=True, random_state=42), 'Classifier__SVC__C': 10, 'Classifier__SVC__break_ties': False, 'Classifier__SVC__cache_size': 500, 'Classifier__SVC__class_weight': None, 'Classifier__SVC__coef0': 6, 'Classifier__SVC__decision_function_shape': 'ovr', 'Classifier__SVC__degree': 5, 'Classifier__SVC__gamma': 0.01, 'Classifier__SVC__kernel': 'rbf', 'Classifier__SVC__max_iter': 1000000, 'Classifier__SVC__probability': True, 'Classifier__SVC__random_state': 42, 'Classifier__SVC__shrinking': True, 'Classifier__SVC__tol': 0.001, 'Classifier__SVC__verbose': False}",0.23885350318471338,0.2773511476259037,0.21888510205287984,10.0
9,Instrumental,True,"{'memory': None, 'steps': [('Imputer', SimpleImputer()), ('Scaler', MinMaxScaler()), ('PCA', PCA(n_components=40, random_state=42)), ('Classifier', Pipeline(steps=[('SVC',
                 SVC(C=100, cache_size=500, coef0=6, degree=5, gamma=0.01,
                     max_iter=1000000, probability=True, random_state=42))]))], 'transform_input': None, 'verbose': False, 'Imputer': SimpleImputer(), 'Scaler': MinMaxScaler(), 'PCA': PCA(n_components=40, random_state=42), 'Classifier': Pipeline(steps=[('SVC',
                 SVC(C=100, cache_size=500, coef0=6, degree=5, gamma=0.01,
                     max_iter=1000000, probability=True, random_state=42))]), 'Imputer__add_indicator': False, 'Imputer__copy': True, 'Imputer__fill_value': None, 'Imputer__keep_empty_features': False, 'Imputer__missing_values': nan, 'Imputer__strategy': 'mean', 'Scaler__clip': False, 'Scaler__copy': True, 'Scaler__feature_range': (0, 1), 'PCA__copy': True, 'PCA__iterated_power': 'auto', 'PCA__n_components': 40, 'PCA__n_oversamples': 10, 'PCA__power_iteration_normalizer': 'auto', 'PCA__random_state': 42, 'PCA__svd_solver': 'auto', 'PCA__tol': 0.0, 'PCA__whiten': False, 'Classifier__memory': None, 'Classifier__steps': [('SVC', SVC(C=100, cache_size=500, coef0=6, degree=5, gamma=0.01, max_iter=1000000,
    probability=True, random_state=42))], 'Classifier__transform_input': None, 'Classifier__verbose': False, 'Classifier__SVC': SVC(C=100, cache_size=500, coef0=6, degree=5, gamma=0.01, max_iter=1000000,
    probability=True, random_state=42), 'Classifier__SVC__C': 100, 'Classifier__SVC__break_ties': False, 'Classifier__SVC__cache_size': 500, 'Classifier__SVC__class_weight': None, 'Classifier__SVC__coef0': 6, 'Classifier__SVC__decision_function_shape': 'ovr', 'Classifier__SVC__degree': 5, 'Classifier__SVC__gamma': 0.01, 'Classifier__SVC__kernel': 'rbf', 'Classifier__SVC__max_iter': 1000000, 'Classifier__SVC__probability': True, 'Classifier__SVC__random_state': 42, 'Classifier__SVC__shrinking': True, 'Classifier__SVC__tol': 0.001, 'Classifier__SVC__verbose': False}",0.25796178343949044,0.21014694791690472,0.17535142857849675,100.0
