dataset,sources,accuracy,ID,Seed,Parameters
Cal500,Instrumental,0.06944444444444445,11,10,0
Cal500,Instrumental,0.06944444444444445,12,10,1
Cal500,Instrumental + Instrumental,0.06944444444444445,11,10,2
Cal500,Instrumental + Instrumental,0.08333333333333333,12,10,3
Cal500,Instrumental + Mixed,0.125,11,10,4
Cal500,Instrumental + Mixed,0.1388888888888889,12,10,5
Cal500,Instrumental + Vocals,0.16666666666666666,11,10,6
Cal500,Instrumental + Vocals,0.16666666666666666,12,10,7
Cal500,Mixed,0.18055555555555555,11,10,8
Cal500,Mixed,0.18055555555555555,12,10,9
Cal500,Mixed + Mixed,0.18055555555555555,11,10,10
Cal500,Mixed + Mixed,0.18055555555555555,12,10,11
Cal500,Mixed + Vocals,0.18055555555555555,11,10,12
Cal500,Mixed + Vocals,0.18055555555555555,12,10,13
Cal500,Vocals,0.16666666666666666,11,10,14
Cal500,Vocals,0.16666666666666666,12,10,15
Cal500,Vocals + Vocals,0.1527777777777778,11,10,16
Cal500,Vocals + Vocals,0.1527777777777778,12,10,17
Cal500,Instrumental,0.125,13,10,18
Cal500,Instrumental,0.1111111111111111,14,10,19
Cal500,Instrumental + Instrumental,0.1111111111111111,13,10,20
Cal500,Instrumental + Instrumental,0.09722222222222222,14,10,21
Cal500,Instrumental + Mixed,0.1111111111111111,13,10,22
Cal500,Instrumental + Mixed,0.125,14,10,23
Cal500,Instrumental + Vocals,0.125,13,10,24
Cal500,Instrumental + Vocals,0.1527777777777778,14,10,25
Cal500,Mixed,0.125,13,10,26
Cal500,Mixed,0.19444444444444445,14,10,27
Cal500,Mixed + Mixed,0.1388888888888889,13,10,28
Cal500,Mixed + Mixed,0.125,14,10,29
Cal500,Mixed + Vocals,0.18055555555555555,13,10,30
Cal500,Mixed + Vocals,0.16666666666666666,14,10,31
Cal500,Vocals,0.2222222222222222,13,10,32
Cal500,Vocals,0.18055555555555555,14,10,33
Cal500,Vocals + Vocals,0.2361111111111111,13,10,34
Cal500,Vocals + Vocals,0.2222222222222222,14,10,35
Cal500,Instrumental,0.1388888888888889,21,20,0
Cal500,Instrumental,0.1527777777777778,22,20,1
Cal500,Instrumental + Instrumental,0.1388888888888889,21,20,2
Cal500,Instrumental + Instrumental,0.16666666666666666,22,20,3
Cal500,Instrumental + Mixed,0.20833333333333334,21,20,4
Cal500,Instrumental + Mixed,0.20833333333333334,22,20,5
Cal500,Instrumental + Vocals,0.20833333333333334,21,20,6
Cal500,Instrumental + Vocals,0.2222222222222222,22,20,7
Cal500,Mixed,0.1388888888888889,21,20,8
Cal500,Mixed,0.1527777777777778,22,20,9
Cal500,Mixed + Mixed,0.1388888888888889,21,20,10
Cal500,Mixed + Mixed,0.1388888888888889,22,20,11
Cal500,Mixed + Vocals,0.2361111111111111,21,20,12
Cal500,Mixed + Vocals,0.2361111111111111,22,20,13
Cal500,Vocals,0.2361111111111111,21,20,14
Cal500,Vocals,0.25,22,20,15
Cal500,Vocals + Vocals,0.2361111111111111,21,20,16
Cal500,Vocals + Vocals,0.2361111111111111,22,20,17
Cal500,Instrumental,0.1111111111111111,23,20,18
Cal500,Instrumental,0.125,24,20,19
Cal500,Instrumental + Instrumental,0.1111111111111111,23,20,20
Cal500,Instrumental + Instrumental,0.125,24,20,21
Cal500,Instrumental + Mixed,0.16666666666666666,23,20,22
Cal500,Instrumental + Mixed,0.1527777777777778,24,20,23
Cal500,Instrumental + Vocals,0.1527777777777778,23,20,24
Cal500,Instrumental + Vocals,0.1527777777777778,24,20,25
Cal500,Mixed,0.19444444444444445,23,20,26
Cal500,Mixed,0.18055555555555555,24,20,27
Cal500,Mixed + Mixed,0.18055555555555555,23,20,28
Cal500,Mixed + Mixed,0.19444444444444445,24,20,29
Cal500,Mixed + Vocals,0.20833333333333334,23,20,30
Cal500,Mixed + Vocals,0.2222222222222222,24,20,31
Cal500,Vocals,0.18055555555555555,23,20,32
Cal500,Vocals,0.19444444444444445,24,20,33
Cal500,Vocals + Vocals,0.25,23,20,34
Cal500,Vocals + Vocals,0.25,24,20,35
Cal500,Instrumental,0.125,31,30,0
Cal500,Instrumental,0.16666666666666666,32,30,1
Cal500,Instrumental + Instrumental,0.1388888888888889,31,30,2
Cal500,Instrumental + Instrumental,0.1388888888888889,32,30,3
