,Principal component 0,Principal component 1,Principal component 2,Principal component 3,Principal component 4,Principal component 5,Principal component 6,Principal component 7,Principal component 8,Principal component 9,Principal component 10,Principal component 11,Principal component 12,Principal component 13,Principal component 14,Principal component 15,Principal component 16,Principal component 17,Principal component 18,Principal component 19,Principal component 20,Spectral Centroid Overall Standard Deviation,Spectral Rolloff Point Overall Standard Deviation,Spectral Flux Overall Standard Deviation,Compactness Overall Standard Deviation,Spectral Variability Overall Standard Deviation,Root Mean Square Overall Standard Deviation,Fraction Of Low Energy Windows Overall Standard Deviation,Zero Crossings Overall Standard Deviation,MFCC Overall Standard Deviation 1,MFCC Overall Standard Deviation 2,MFCC Overall Standard Deviation 3,MFCC Overall Standard Deviation 4,MFCC Overall Standard Deviation 5,MFCC Overall Standard Deviation 6,MFCC Overall Standard Deviation 7,MFCC Overall Standard Deviation 8,MFCC Overall Standard Deviation 9,MFCC Overall Standard Deviation 10,MFCC Overall Standard Deviation 11,MFCC Overall Standard Deviation 12,MFCC Overall Standard Deviation 13,LPC Overall Standard Deviation 1,LPC Overall Standard Deviation 2,LPC Overall Standard Deviation 3,LPC Overall Standard Deviation 4,LPC Overall Standard Deviation 5,LPC Overall Standard Deviation 6,LPC Overall Standard Deviation 7,LPC Overall Standard Deviation 8,LPC Overall Standard Deviation 9,LPC Overall Standard Deviation 10,Method of Moments Overall Standard Deviation 1,Method of Moments Overall Standard Deviation 2,Method of Moments Overall Standard Deviation 3,Method of Moments Overall Standard Deviation 4,Method of Moments Overall Standard Deviation 5,Spectral Centroid Overall Average,Spectral Rolloff Point Overall Average,Spectral Flux Overall Average,Compactness Overall Average,Spectral Variability Overall Average,Root Mean Square Overall Average,Fraction Of Low Energy Windows Overall Average,Zero Crossings Overall Average,MFCC Overall Average 1,MFCC Overall Average 2,MFCC Overall Average 3,MFCC Overall Average 4,MFCC Overall Average 5,MFCC Overall Average 6,MFCC Overall Average 7,MFCC Overall Average 8,MFCC Overall Average 9,MFCC Overall Average 10,MFCC Overall Average 11,MFCC Overall Average 12,MFCC Overall Average 13,LPC Overall Average 1,LPC Overall Average 2,LPC Overall Average 3,LPC Overall Average 4,LPC Overall Average 5,LPC Overall Average 6,LPC Overall Average 7,LPC Overall Average 8,LPC Overall Average 9,LPC Overall Average 10,Method of Moments Overall Average 1,Method of Moments Overall Average 2,Method of Moments Overall Average 3,Method of Moments Overall Average 4,Method of Moments Overall Average 5,Chroma feature 0,Chroma feature 1,Chroma feature 2,Chroma feature 3,Chroma feature 4,Chroma feature 5,Chroma feature 6,Chroma feature 7,Chroma feature 8,Chroma feature 9,Chroma feature 10,Chroma feature 11
Principal component 0,1.0,9.391554812377254e-16,1.3064903163298355e-16,1.373286270589147e-16,3.181227585374893e-17,6.682066374557996e-16,1.6372047553380907e-16,8.347104043633454e-17,-1.5030206536653953e-16,1.3158131756342343e-16,5.985697358946095e-17,-1.783720883069958e-17,2.6084550832466075e-16,3.1838106847364124e-17,1.3745643672472488e-16,2.250951134313658e-16,1.8386330380023574e-16,-4.796342497548996e-16,9.8420034364291e-17,2.3673372129671287e-16,4.523943446749411e-17,0.3029084158970782,0.4639877307588722,0.5288556351645822,0.3156226776939413,0.8235240989466128,0.827773730198466,-0.32892150945138815,0.4838814882817699,-0.0012175530397265835,0.6689698800382671,0.7276572701401673,0.8173046564082206,0.8116567620158003,0.8485903900990788,0.845016895863263,0.8748153262141348,0.8716386158828497,0.8726818161740285,0.8645065227996649,0.8751190545039873,0.8922813424959997,0.11355918675399607,0.6612823021343647,0.8228207482128388,0.8902940486417495,0.9278522828637771,0.9000626997050143,0.8884530588198938,0.8973087120777239,0.9056388734404747,,0.7950161679027127,0.32367230386712825,0.5404159337627727,0.5578753737474667,0.5416579048894837,0.8553086624153903,0.8098441695473149,0.5363714197843047,0.9518115188864522,0.7846073735280816,0.7845877365839656,0.8778122764157641,0.844458566973531,0.9513180631085346,0.4602883176805328,-0.24533199777932857,-0.3383011369459361,-0.4793821794138411,-0.21610926570980854,-0.25171027171420773,-0.08961328433956114,-0.23808421895206655,-0.3054200800245815,-0.30755261852644383,-0.29334044564493966,-0.4623106477078684,-0.9351010070781738,0.697586675713511,-0.223360096942835,0.507052396142363,0.44343931619534677,0.43665598473683814,0.34294561321931705,0.575340153673688,0.5197893170411827,,0.7267851878361602,0.8378052205145634,0.6883675382210053,0.7340518057794468,0.7086153511892261,0.7955325337712096,0.8196523598336148,0.7887423550660129,0.7894146351834185,0.8062010793318742,0.799228429064413,0.7938449033071477,0.7921933376838691,0.7983237286682761,0.7976417487844472,0.8005866953270747,0.7986069531083149
Principal component 1,9.391554812377254e-16,1.0,-7.667685408898468e-17,-5.466477740618556e-17,5.3817787485769365e-17,-1.6904639186250766e-16,-2.959626061440706e-16,-4.9774673731206716e-17,9.183792041632963e-17,-1.3207691824267796e-16,-8.238530681300597e-17,-2.7361235329031935e-16,5.039470598670174e-17,-7.490959640126236e-17,-1.4647924830914509e-16,1.271461394200413e-17,3.440104107738055e-16,9.343609975815811e-17,-2.719514723063713e-16,-2.598149973260061e-16,4.014609620596396e-16,0.7226154261646752,0.6281929374720343,-0.26436043726053815,0.7255321379531675,-0.2902621752217654,-0.2858436997598132,0.6729542751982485,0.6280790504265212,0.8147859672843509,0.39307147278427784,0.3922224532877572,0.29323709881289045,0.26235709402421103,0.23951748464744743,0.21842651551887982,0.17518818419454088,0.17260644051549356,0.13044750805816627,0.13483496199338926,0.12218103066919543,0.08239394619852719,0.8272406675852145,0.533656987693747,0.0035137014753471607,0.0983028791812996,0.14876264299111852,0.19351519818051213,0.1710853228251156,0.15005855951704164,0.1260257764668938,,-0.29369077444277425,0.8168515693890935,0.6617084487776256,0.5368010524596158,0.5549885422898093,0.0733978138891257,0.08769070952390451,-0.3180594897705972,-0.26248809312783494,-0.41001029744241996,-0.40563478639049055,0.10660306072163636,-0.014982961857124173,-0.26959676440865066,-0.4706960560107668,0.10527180166863322,-0.20140698139858276,0.10161165023955548,-0.01267939811184927,0.09569112086777945,0.035686137025732305,-0.044115415244831674,0.18437921003693233,0.058298991918968125,0.07806518273214096,0.13433683950273095,0.2931216219820604,-0.29108051849974453,-0.04742727176561786,0.11687412519279984,0.13522175870276804,-0.053376849816298894,-0.07725470263049938,0.044824753169925464,-0.0004141009778741378,,-0.357001653152188,0.009982546576516965,0.03000932547799327,-0.02636861166524294,0.019850493461631005,-0.3036366124320694,-0.2794540255581768,-0.2617083009306826,-0.2657958327332203,-0.24798348190309777,-0.24832548357223477,-0.25383679917044993,-0.24995092510325004,-0.26753737278532114,-0.26850550492253145,-0.30596685511781446,-0.31390176723912844
Principal component 2,1.3064903163298355e-16,-7.667685408898468e-17,1.0,1.4518278213844096e-17,-1.938405326406152e-16,2.385739733529282e-16,-3.4490693725641043e-16,8.643943962585631e-17,-5.924604993127418e-17,-2.2183696706036106e-16,5.023590497762854e-17,2.059437582945783e-16,-4.136570523260309e-16,2.6214484871812373e-16,-4.486986954132711e-16,-1.764052223592231e-16,4.971135684124109e-17,-2.5154114001344784e-16,-6.114603950588582e-17,-1.3858844041317713e-16,2.8618369638947517e-16,0.23992335190684852,0.3826712551033331,0.08136567419179773,-0.12423708328182456,-0.014679238992498695,0.0006716732580863429,-0.030362344723970026,0.30284610824988717,-0.08099284358996099,-0.30430223009101504,-0.2800626538866683,-0.28710565451668457,-0.3192858590572224,-0.23766824850979304,-0.2543240048322367,-0.216833522248632,-0.20999524418202198,-0.20749417628780858,-0.21061995095567623,-0.2162556870649556,-0.24896684313092587,-0.03690306208647863,0.11045972659606286,-0.4483670233725014,-0.3116427314339574,-0.15160099822543388,-0.07475452517857331,-0.007832845645886006,-0.0030590725588294982,0.05237372851319212,,0.27036627087777426,0.21286649367825816,0.2100278386701724,0.06576129398165086,0.06055819324980759,0.20329293699015466,0.28754654749706726,0.24930985665382654,-0.0561881401845426,0.10345765747554585,0.14098239314863326,-0.07746012790355473,0.30923997603575026,-0.03846349253529757,-0.40670345397392643,0.6636635026133633,0.20330542915839142,0.3986263321058095,0.4253767919197907,0.542437684979173,-0.06742669212219196,-0.0013044593984669214,-0.05436516651085395,0.30546361216103574,-0.049038922117904137,-0.0025046409179645614,0.11625980462158846,-0.5644780681352373,-0.08771920556970776,0.1521886113771177,-0.018076562313739858,0.24342710331913445,0.17122162183392076,0.12315003293721079,-0.02367927213886707,,0.3869818926484471,0.43318395616143174,0.6409312479866729,0.5545495416809987,0.5950764779120228,0.0008606312811104561,0.026408990004011767,0.06868471112486656,0.13146893089451728,0.13824905411427946,0.0976783959231085,0.10206465118196237,0.09794465405069842,0.14364136536515948,0.09825328596409895,0.04732932405162937,0.02958499137875311
Principal component 3,1.373286270589147e-16,-5.466477740618556e-17,1.4518278213844096e-17,1.0,6.80085623752014e-17,2.1474990021358654e-16,-9.753262568099708e-18,-1.7602301280911445e-16,2.4059669397016936e-16,1.4418432441725487e-17,-1.1066853305925309e-17,2.314170544138209e-16,-4.578214266656422e-17,1.3214890350861092e-16,1.2762468426783737e-16,1.3147731623424318e-16,-3.852328068413756e-16,4.422514343625854e-16,-2.0781919968970974e-16,-1.5924625705049888e-16,-3.908385976102862e-16,-0.019564086985558497,-0.11812952955057006,0.2665392375169493,0.40696552620418625,0.054857749486548944,0.045022636268313564,0.2725557731096591,-0.13716534629465296,0.3898754709392698,0.22843177559561936,0.08870064142869816,0.045610388261493155,-0.06574281310468448,-0.07774168676545315,-0.1283015787308577,-0.13258044826590615,-0.2027267870868567,-0.21794872510925922,-0.24670219637629268,-0.21174763831737983,-0.14231898787938704,0.31668800495707267,0.31264469869334366,0.09172559466652644,-0.036955978231520296,-0.11563366981969689,-0.18666666834443582,-0.24448268984968585,-0.24181503942000496,-0.23095114136650916,,0.018792270281284107,0.1751512783408236,0.3059985943723423,0.42395179968874097,0.43672197884033964,-0.3696404964681724,-0.37463200384859385,0.1693190977114805,-0.015187357626224723,0.04707323609501374,0.03583154392794842,0.19821311425101032,-0.35875747848123274,0.0016317999490693662,0.48874375443973966,0.3831266636006834,0.4851883505372277,0.33130763431942956,0.03732985798222461,-0.16055910650143748,-0.27097055846637735,0.003622979906207949,-0.06495019817980786,0.11873933194934476,0.10299442296861697,-0.05447701503098126,-0.05440088510447393,0.046591709782511134,0.4695995447476108,-0.21807702342065668,-0.20463044200878477,-0.1609302938938785,-0.19757092915547017,-0.4039054668713633,-0.2877447270618371,,-0.03955036632406901,-0.2675889595883818,-0.17522715105858577,-0.08431826564234988,-0.07496036372131153,0.2893809674829714,0.3043756545928896,0.3235562195598235,0.3709443800383081,0.34109714233104527,0.35693581282469405,0.3332440633692099,0.31842812857163666,0.31244788457787553,0.27873085823365557,0.29632907017337096,0.2887078967700678
Principal component 4,3.181227585374893e-17,5.3817787485769365e-17,-1.938405326406152e-16,6.80085623752014e-17,1.0,-2.6045751615234637e-16,-5.16866388841022e-16,3.126421460051429e-16,3.6299536676652065e-17,-3.6020125606509474e-16,1.2241171110192387e-16,-3.691346911455509e-16,4.3294742170998443e-16,-2.246850788888327e-16,-3.109350670512306e-16,3.0894305160929686e-17,2.4116767326022753e-16,3.0144270544202315e-16,3.5700323677833775e-17,-1.2092130878349154e-16,-1.6826985926917305e-16,0.05507735237151685,0.07429471199012917,-0.47062055836696653,0.09363748035493272,-0.28054122143603144,-0.26728732446624115,0.06022978317623286,0.06873760138758432,0.10146324443274464,0.05417559248341859,-0.14566942464525903,-0.026900781765334024,-0.05297344489964427,-0.018812994887538615,-0.10359849160421834,-0.08793984288726416,-0.0961616242263325,-0.08464427410842598,-0.08618614264970237,-0.06393580275594272,-0.0471666857349022,0.08970262753757413,-0.06527838394277342,0.08991183161926705,0.025303740581432397,-0.004800237619656366,-0.013959205630316638,-0.025926806527320684,-0.03014994924902967,-0.020878666571953183,,-0.16609253628248244,0.036350298993556525,-0.10258956668927223,-0.17224195168894382,-0.1602507202158276,-0.030087809005749602,-0.013280591933605956,-0.4297775164238428,0.035072573635428324,-0.23506652747782866,-0.23093098756969482,0.0738433325989857,-0.02236759490730976,0.01654532791392872,0.059624852922931675,0.09020107588332678,0.2633097928393627,-0.4106393190284031,-0.07615388979962824,-0.15315488966137708,-0.18133127483589687,-0.13506449958597877,0.17538823905155723,0.2860978069249645,-0.20944887125996936,-0.23957160099732822,-0.02527741541467654,0.019679296306232736,-0.31560878513320684,-0.007454792714870337,0.08376744593797761,0.514919181324445,0.5768728940685923,0.33075869949177644,0.22977900668670842,,-0.1615115677806726,-0.01730002925246286,-0.05902565052479813,-0.1132581241815873,-0.12557801206157118,0.0615450568849096,-0.006729250264149249,0.04084050138358368,0.03545270982808123,0.08872812631055924,0.15263633165923784,0.21102872543977091,0.2573514192460655,0.23243720594362774,0.23326567770768694,0.17110824595906488,0.11144850469907093
Principal component 5,6.682066374557996e-16,-1.6904639186250766e-16,2.385739733529282e-16,2.1474990021358654e-16,-2.6045751615234637e-16,1.0,-2.7601380340359715e-16,2.1422991827851484e-16,-1.8356417293892692e-16,-1.944965563074329e-16,-2.170319121504531e-16,-5.438519345856811e-16,3.2620552153005114e-16,-1.84836252390638e-16,1.647965610987175e-17,4.561181774165542e-16,1.272682618616073e-16,5.804604050545313e-16,1.6558205464700234e-16,7.43093376704545e-16,1.7483297193027993e-16,0.21836132678240516,0.14407616258598005,-0.07952009849662839,-0.009194514842263107,-0.057644208312619495,-0.05174231425872144,0.03442193904417111,0.21290012933667826,-0.007946946347149049,0.056253345571162516,-0.10727377712998105,0.02542870116832093,0.03148796288115995,0.07324823266859053,0.080463412080347,0.017337668596373767,0.02150669221253279,0.07650777334925307,0.059904596623922717,0.03214359349123802,0.0021406411584583276,-0.055905650097782755,-0.14177711427590317,0.14153409395931316,0.16816639113212442,0.10327378349241256,0.10788811782921048,0.11476910001196668,0.11395551968497716,0.1158780712332605,,0.017215778996717387,0.07839431854102243,-0.12177596856810627,-0.2153282618830059,-0.19408154813489817,0.10417357034230929,0.15783850043559616,0.02176474286689642,0.033758326185066176,0.04523396199230288,0.04494468873697376,0.044651072895527395,0.09273856594847973,0.03689257506284359,0.026641788068743157,-0.1258268641234979,0.4155751417686862,0.2490785758269354,0.45854857115058023,0.19994762707437544,0.41242265098378567,0.0903187088149977,0.2217223892587881,0.36860906879634836,0.1740378335960988,-0.06558227414285896,-0.021234009960935822,0.14958622782670872,-0.441703384872686,-0.24315187179362416,-0.3785995598366202,-0.1685899094525067,-0.22350197534780455,-0.2573896636485956,-0.33736202422205014,,0.055770832623014875,-0.03064993093991746,-0.1483728136799158,-0.22668190523673273,-0.22846976990694462,-0.10325854167568163,-0.05084408588945218,-0.016551746005687228,0.03820152897496003,0.12702444980581273,0.10384677035861273,0.11597319137762035,0.10474900613672596,0.09678638195780907,0.06955762691866989,-0.035278023530558957,-0.0682996353113836
Principal component 6,1.6372047553380907e-16,-2.959626061440706e-16,-3.4490693725641043e-16,-9.753262568099708e-18,-5.16866388841022e-16,-2.7601380340359715e-16,1.0,-1.5240452626291552e-16,-1.51814901143068e-16,-2.9126346865082745e-16,-2.3379208064123325e-16,4.0406615694967873e-16,-4.0360764641274944e-16,3.019784309288318e-16,3.6718056230142505e-16,-2.3067473320825386e-16,-3.3929311984521653e-16,-4.532516572653644e-16,-3.485945823773018e-16,-1.9384929350110878e-16,-3.150610511707153e-16,-0.325386604255488,-0.29710210349423477,-0.2006543334802743,-0.090505092820243,-0.10324503762961068,-0.10811559818069591,-0.10045420005995924,-0.28290746487592844,-0.09840548913892942,0.0946681799454224,0.11476212359020549,0.03290925036070848,0.07683333363408167,0.13989966126982453,0.17023324330553322,0.15533542864536767,0.14360049504604663,0.13186614225703772,0.16691093652826272,0.14519455128896328,0.0916449412599867,-0.041819340962644815,0.09787623321034193,-0.05908526529832629,-0.0495883010018365,0.03541006639452079,0.06435109556829498,0.08054279568409053,0.08372764197514972,0.08018578758653233,,-0.22475711043506102,-0.22809658747656975,0.019601054834464355,0.1379996100725641,0.12600494031580534,-0.08689902374521795,-0.11321215518910055,-0.2812569776215913,0.03348205276187221,-0.17736696970767019,-0.1836016226720775,-0.02288149844026171,-0.057452744055230126,0.020575649754367764,0.0779111075386465,0.25048005917256555,0.018051673707172543,0.2108221949017245,0.5351340650207198,0.39102052435891455,0.06716210987164933,0.04234020066520319,-0.05830408242109538,0.13002322934796104,-0.1924969495928007,-0.217467782689489,-0.055642362082305406,0.03655704463635633,0.21266676487804795,0.31504672394941974,0.08341214766594274,0.13899693860586368,0.09382564384319309,-0.10551331979489391,-0.23049022205163333,,-0.21872938345119042,-0.03665767335237569,0.017436342093498314,0.12182917212548203,0.08242515331308285,0.029313001637880316,-0.02905659745813247,-0.07930156308591679,-0.04916064657854126,-0.011566583919193551,0.0063573811394300375,-0.03173059684509219,-0.01763695553993888,-0.009913576003459058,0.0029087442884427315,-0.0038320791171726366,0.013510850384145245
Principal component 7,8.347104043633454e-17,-4.9774673731206716e-17,8.643943962585631e-17,-1.7602301280911445e-16,3.126421460051429e-16,2.1422991827851484e-16,-1.5240452626291552e-16,1.0,-2.1425107084528224e-16,5.526837700396876e-17,2.6366135412190757e-16,-5.007424058567916e-16,1.8491414358474998e-16,-5.0550997067971015e-17,-2.7736900478293377e-16,2.147262305050662e-16,-2.2699472485488208e-17,-2.0750953385387987e-16,-3.582292571743987e-17,-3.214911127730665e-16,-8.155463059736103e-16,0.08266348887562484,0.0818026158040723,0.06680002935671088,0.06888314100797518,0.08601501381861149,0.08206831174672302,0.09163789526827198,0.040412443289116425,0.07327194046502779,-0.00010499393892471142,-0.025428290698554783,0.02846575465591358,0.0032123704151544724,-0.01154017448449229,-0.02024695649153175,-0.07354047087503372,-0.031052821779063582,-0.029170854270362263,-0.023031595203603494,-0.011741508984076826,-0.00861808719673056,0.0709029750952158,0.012137761004191113,0.019886527472999772,-0.03110830363023876,-0.05193356910062474,-0.10048236047431905,-0.09079903199098625,-0.10007307841876911,-0.0645722836106948,,0.06502199428950431,0.07786693506040133,0.01389988271854526,-0.02083948861419889,-0.03443887251864858,0.007591874733395752,-0.020527969345501898,0.11471564730751564,-0.01699641111781248,0.12109375408895885,0.1185634383329484,0.03535353190912422,-0.013804257884614634,-0.00897484392344607,0.069029915269532,-0.09682209190377868,-0.15961001044857517,-0.06417538714571797,0.02139606796997791,0.1357994491056063,0.3972072529594089,0.7186248450556718,0.39184658562598224,-0.11035400678021054,-0.5430056631117987,-0.3366840509941965,0.015055571148180364,-0.017435836184090572,0.18610454457312464,-0.030452739839470222,-0.02279467084930419,0.09846517489523017,0.07854674575928666,-0.05100144495822959,0.005815542158766964,,0.0864355194763381,-0.0158005682454092,-0.013323233164931725,-0.046244361216783526,-0.024389572899857208,0.13456409302524264,-0.039693315538041625,-0.18936244151589077,-0.20010838544960705,-0.19692114679053238,-0.16499422207830292,-0.10177787104461171,-0.0022940113218257417,0.1045605820453259,0.17119635128285254,0.24937057304630783,0.20446887049532433
Principal component 8,-1.5030206536653953e-16,9.183792041632963e-17,-5.924604993127418e-17,2.4059669397016936e-16,3.6299536676652065e-17,-1.8356417293892692e-16,-1.51814901143068e-16,-2.1425107084528224e-16,1.0,-9.069767195201659e-18,-1.0652626743035291e-16,-3.128500685586187e-16,-3.8801006157419827e-16,1.6781750233269376e-16,6.207130571006698e-17,-2.622155203323832e-16,-2.2981190029286583e-16,3.66416905002199e-16,5.109107025007695e-16,4.770693709368536e-16,-2.0518979426831324e-17,-0.06636999788145319,-0.026730980736511308,0.037489860405339616,-0.17907917835396256,-0.004617556295915838,-0.007956538835982262,-0.1650524488330715,-0.020442818860224542,-0.16929419950521327,-0.0384229030251948,0.06598173362404584,0.029462588798774,0.031694829787983665,0.029201727594847966,-0.020321984694261108,0.0012949207145659704,0.0036575678142122202,-0.0026524637241300774,-0.003936415835036884,0.02193152342098936,0.034243487824330336,-0.12020888918763445,0.1047146378970392,-0.03641219151151214,-0.002557960355067066,0.030581981673521424,0.08193724532686049,0.048362543492575676,0.04162433238037162,0.0075662797696571865,,-0.019906774853658868,-0.02972139380233335,0.08757885616099223,0.11944080049886262,0.10350026209232917,-0.03921799287967475,-0.0331978002127771,0.008944039971864961,-0.012409162661728987,-0.010112896875937593,-0.011298978735118185,-0.1028551224256841,-0.017516628392528384,-0.004464825251890092,-0.04856442229770729,0.10593769245435383,-0.13128412439354448,0.024051486048581452,-0.32922983178883986,-0.30758118171633275,-0.13794620087843032,0.0715435552431086,0.5999242329568245,0.5235753197799317,0.20186446629007074,-0.2877961683132155,0.001896688612708527,-0.03838443001466122,0.025704468631462977,0.1060032690594956,0.12182095663004577,-0.07008516558561177,-0.28475094756857083,-0.13613791594839444,0.018474922222100246,,-0.019616871287566732,0.011470588378980628,0.05211020023449167,0.08244772415671185,0.08732150772034189,-0.17443034302168403,-0.1728008538785704,-0.1585454440121231,-0.11735857995035788,-0.027726482327268036,0.04916709290971303,0.12369243285062696,0.16658716471327195,0.1389587831017645,0.10108131894012932,-0.010382308169501028,-0.11420966498075674
Principal component 9,1.3158131756342343e-16,-1.3207691824267796e-16,-2.2183696706036106e-16,1.4418432441725487e-17,-3.6020125606509474e-16,-1.944965563074329e-16,-2.9126346865082745e-16,5.526837700396876e-17,-9.069767195201659e-18,1.0,9.082920508902606e-17,1.1866554636802126e-16,-2.60299553448825e-16,1.6379263242774497e-16,3.74023607069459e-16,3.778855702924183e-17,-3.497879101402195e-16,-5.037444696930177e-16,6.058490582548265e-17,-6.161212377438795e-16,-9.339391439418686e-16,-0.08124091300032091,-0.06217313102128803,0.33717486033145644,0.06972133091427193,0.21566106438322716,0.2101346082832217,0.0865627202021806,-0.06222257207383599,0.06406516397038851,0.07018943612503337,-0.005556534839274413,0.060294125203641975,0.0015014684331377411,0.07194034259114336,0.09174832285376905,0.11664501642055432,0.10271823018983002,0.11339950690177653,0.13673020189388696,0.12375737794432598,0.11970139881104687,0.07827808571746936,0.035487842500451915,0.05546997504514477,-0.0654088710231525,-0.07238397115411092,-0.08420143747038601,-0.10063440915937569,-0.08634633253389562,-0.08471862453623043,,0.1442399913374494,-0.03826489875098739,-0.004013822067556364,0.0012307801508741087,8.320382335349606e-05,-0.06317197092046839,-0.07749124486679473,0.28162831658224485,-0.04569157386764277,0.19091876358435309,0.18722710521014624,-0.04395371156008359,-0.056888334347305405,-0.05009034083221519,-0.014832165023397802,-0.03598294519427695,0.20104498278100452,-0.09399613851715545,0.18260770740885152,0.08296651880366959,-0.26075924973753817,-0.21278536325451602,0.13516458940006928,0.20581878786095995,-0.0503373389566183,0.007386974646859197,0.04963761636625185,-0.044057739924422704,0.0561880642533962,-0.3104120304780263,0.073592807351723,0.318491373554681,0.3069012642432524,0.08019967233294331,-0.048050427020987115,,0.1408688951432963,-0.04466708455093053,-0.032367806613569444,-0.050769312667582146,-0.03921932763141456,-0.20638137305964777,-0.2318793355558144,-0.18127494774280808,-0.1143836197265953,-0.06821210177034473,-0.018166428467757758,0.00738292811000114,0.025860117954385142,-0.03231240112415683,-0.12907485321608927,-0.15798618646365561,-0.18027910763286303
