,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_Classifier__SVC__C,param_Classifier__SVC__kernel,param_PCA__n_components,param_Scaler,param_Classifier__SVC__gamma,param_Classifier__SVC__coef0,param_Classifier__SVC__degree,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
67,0.27684704462687176,0.02958217039890222,0.006681044896443685,0.0013174374758286834,100.0,rbf,15,MinMaxScaler(),0.001,,,"{'Classifier__SVC__C': 100, 'Classifier__SVC__gamma': 0.001, 'Classifier__SVC__kernel': 'rbf', 'PCA__n_components': 15, 'Scaler': MinMaxScaler()}",0.4954954954954955,0.5585585585585585,0.509090909090909,0.521048321048321,0.02709824417760199,1
174,0.19031389554341635,0.008801397803042647,0.005340735117594401,0.0006216320044003752,0.001,poly,40,RobustScaler(),0.01,4.0,5.0,"{'Classifier__SVC__C': 0.001, 'Classifier__SVC__coef0': 4, 'Classifier__SVC__degree': 5, 'Classifier__SVC__gamma': 0.01, 'Classifier__SVC__kernel': 'poly', 'PCA__n_components': 40, 'Scaler': RobustScaler()}",0.4594594594594595,0.5315315315315315,0.5636363636363636,0.5182091182091182,0.043560852941763185,2
238,0.19221202532450357,0.01006069707993091,0.0046723683675130205,0.0002297313915137927,0.01,poly,40,RobustScaler(),0.01,2.0,5.0,"{'Classifier__SVC__C': 0.01, 'Classifier__SVC__coef0': 2, 'Classifier__SVC__degree': 5, 'Classifier__SVC__gamma': 0.01, 'Classifier__SVC__kernel': 'poly', 'PCA__n_components': 40, 'Scaler': RobustScaler()}",0.46846846846846846,0.5495495495495496,0.5363636363636364,0.5181272181272182,0.03552427001257393,3
55,0.20862261454264322,0.005368432952614853,0.0136872927347819,0.00024198106382964662,10.0,rbf,40,MinMaxScaler(),0.01,,,"{'Classifier__SVC__C': 10, 'Classifier__SVC__gamma': 0.01, 'Classifier__SVC__kernel': 'rbf', 'PCA__n_components': 40, 'Scaler': MinMaxScaler()}",0.4774774774774775,0.5495495495495496,0.5272727272727272,0.5180999180999182,0.03012973298123818,4
71,0.22551465034484863,0.013584243429826465,0.010014772415161133,0.0035393243983255288,100.0,rbf,40,MinMaxScaler(),0.001,,,"{'Classifier__SVC__C': 100, 'Classifier__SVC__gamma': 0.001, 'Classifier__SVC__kernel': 'rbf', 'PCA__n_components': 40, 'Scaler': MinMaxScaler()}",0.4774774774774775,0.5585585585585585,0.5181818181818182,0.5180726180726181,0.03310130280232785,5
387,0.16862106323242188,0.008409307077322252,0.005339701970418294,0.0002392931104852232,0.1,poly,15,MinMaxScaler(),0.001,6.0,5.0,"{'Classifier__SVC__C': 0.1, 'Classifier__SVC__coef0': 6, 'Classifier__SVC__degree': 5, 'Classifier__SVC__gamma': 0.001, 'Classifier__SVC__kernel': 'poly', 'PCA__n_components': 15, 'Scaler': MinMaxScaler()}",0.4774774774774775,0.5675675675675675,0.509090909090909,0.5180453180453181,0.03732016579904431,6
299,0.16487900416056314,0.02658927167140271,0.0046723683675130205,0.0012521730811393297,0.01,poly,15,MinMaxScaler(),0.01,6.0,5.0,"{'Classifier__SVC__C': 0.01, 'Classifier__SVC__coef0': 6, 'Classifier__SVC__degree': 5, 'Classifier__SVC__gamma': 0.01, 'Classifier__SVC__kernel': 'poly', 'PCA__n_components': 15, 'Scaler': MinMaxScaler()}",0.4774774774774775,0.5765765765765766,0.5,0.518018018018018,0.04241575643190851,7
51,0.2026983102162679,0.006890848385033073,0.006760199864705403,0.00019273231909602262,10.0,rbf,15,MinMaxScaler(),0.01,,,"{'Classifier__SVC__C': 10, 'Classifier__SVC__gamma': 0.01, 'Classifier__SVC__kernel': 'rbf', 'PCA__n_components': 15, 'Scaler': MinMaxScaler()}",0.4954954954954955,0.5585585585585585,0.5,0.518018018018018,0.02872541511968315,7
271,0.1712350050608317,0.020538215829421027,0.005006869633992513,0.00040571418725198963,0.01,poly,40,MinMaxScaler(),0.01,4.0,5.0,"{'Classifier__SVC__C': 0.01, 'Classifier__SVC__coef0': 4, 'Classifier__SVC__degree': 5, 'Classifier__SVC__gamma': 0.01, 'Classifier__SVC__kernel': 'poly', 'PCA__n_components': 40, 'Scaler': MinMaxScaler()}",0.4774774774774775,0.5765765765765766,0.5,0.518018018018018,0.04241575643190851,7
359,0.1726987361907959,0.015497593827204179,0.004673401514689128,0.0016518113298588043,0.1,poly,40,MinMaxScaler(),0.001,4.0,5.0,"{'Classifier__SVC__C': 0.1, 'Classifier__SVC__coef0': 4, 'Classifier__SVC__degree': 5, 'Classifier__SVC__gamma': 0.001, 'Classifier__SVC__kernel': 'poly', 'PCA__n_components': 40, 'Scaler': MinMaxScaler()}",0.4774774774774775,0.5765765765765766,0.5,0.518018018018018,0.04241575643190851,7
