,Spectral Centroid Overall Standard Deviation,Spectral Rolloff Point Overall Standard Deviation,Spectral Flux Overall Standard Deviation,Compactness Overall Standard Deviation,Spectral Variability Overall Standard Deviation,Root Mean Square Overall Standard Deviation,Fraction Of Low Energy Windows Overall Standard Deviation,Zero Crossings Overall Standard Deviation,Strongest Beat Overall Standard Deviation,Beat Sum Overall Standard Deviation,Strength Of Strongest Beat Overall Standard Deviation,Strongest Frequency Via Zero Crossings Overall Standard Deviation,Strongest Frequency Via Spectral Centroid Overall Standard Deviation,Strongest Frequency Via FFT Maximum Overall Standard Deviation,MFCC Overall Standard Deviation 1,MFCC Overall Standard Deviation 2,MFCC Overall Standard Deviation 3,MFCC Overall Standard Deviation 4,MFCC Overall Standard Deviation 5,MFCC Overall Standard Deviation 6,MFCC Overall Standard Deviation 7,MFCC Overall Standard Deviation 8,MFCC Overall Standard Deviation 9,MFCC Overall Standard Deviation 10,MFCC Overall Standard Deviation 11,MFCC Overall Standard Deviation 12,MFCC Overall Standard Deviation 13,LPC Overall Standard Deviation 1,LPC Overall Standard Deviation 2,LPC Overall Standard Deviation 3,LPC Overall Standard Deviation 4,LPC Overall Standard Deviation 5,LPC Overall Standard Deviation 6,LPC Overall Standard Deviation 7,LPC Overall Standard Deviation 8,LPC Overall Standard Deviation 9,LPC Overall Standard Deviation 10,Method of Moments Overall Standard Deviation 1,Method of Moments Overall Standard Deviation 2,Method of Moments Overall Standard Deviation 3,Method of Moments Overall Standard Deviation 4,Method of Moments Overall Standard Deviation 5,Peak Based Spectral Smoothness Overall Standard Deviation,Relative Difference Function Overall Standard Deviation,Area Method of Moments Overall Standard Deviation 1,Area Method of Moments Overall Standard Deviation 2,Area Method of Moments Overall Standard Deviation 3,Area Method of Moments Overall Standard Deviation 4,Area Method of Moments Overall Standard Deviation 5,Area Method of Moments Overall Standard Deviation 6,Area Method of Moments Overall Standard Deviation 7,Area Method of Moments Overall Standard Deviation 8,Area Method of Moments Overall Standard Deviation 9,Area Method of Moments Overall Standard Deviation 10,Spectral Centroid Overall Average,Spectral Rolloff Point Overall Average,Spectral Flux Overall Average,Compactness Overall Average,Spectral Variability Overall Average,Root Mean Square Overall Average,Fraction Of Low Energy Windows Overall Average,Zero Crossings Overall Average,Strongest Beat Overall Average,Beat Sum Overall Average,Strength Of Strongest Beat Overall Average,Strongest Frequency Via Zero Crossings Overall Average,Strongest Frequency Via Spectral Centroid Overall Average,Strongest Frequency Via FFT Maximum Overall Average,MFCC Overall Average 1,MFCC Overall Average 2,MFCC Overall Average 3,MFCC Overall Average 4,MFCC Overall Average 5,MFCC Overall Average 6,MFCC Overall Average 7,MFCC Overall Average 8,MFCC Overall Average 9,MFCC Overall Average 10,MFCC Overall Average 11,MFCC Overall Average 12,MFCC Overall Average 13,LPC Overall Average 1,LPC Overall Average 2,LPC Overall Average 3,LPC Overall Average 4,LPC Overall Average 5,LPC Overall Average 6,LPC Overall Average 7,LPC Overall Average 8,LPC Overall Average 9,LPC Overall Average 10,Method of Moments Overall Average 1,Method of Moments Overall Average 2,Method of Moments Overall Average 3,Method of Moments Overall Average 4,Method of Moments Overall Average 5,Peak Based Spectral Smoothness Overall Average,Relative Difference Function Overall Average,Area Method of Moments Overall Average 1,Area Method of Moments Overall Average 2,Area Method of Moments Overall Average 3,Area Method of Moments Overall Average 4,Area Method of Moments Overall Average 5,Area Method of Moments Overall Average 6,Area Method of Moments Overall Average 7,Area Method of Moments Overall Average 8,Area Method of Moments Overall Average 9,Area Method of Moments Overall Average 10,Chroma feature 0,Chroma feature 1,Chroma feature 2,Chroma feature 3,Chroma feature 4,Chroma feature 5,Chroma feature 6,Chroma feature 7,Chroma feature 8,Chroma feature 9,Chroma feature 10,Chroma feature 11,label
0,22.97,0.1602,0.0003943,219.6,0.001469,0.05703,0.04998,35.56,11.73,43.73,0.0005013,555.6,717.8,990.4,96.08,5.488,3.379,3.125,2.922,2.466,2.519,2.001,2.236,1.943,2.563,1.721,1.953,0.1958,0.2838,0.1838,0.134,0.1457,0.1273,0.1214,0.1109,0.124,0.0,0.1294,19.47,1135.0,107400.0,19570000.0,59.16,5.48,1.144,597.1,6759.0,9688000000.0,106600000000.0,1173000000000.0,2.358e+17,950800000000.0,10460000000000.0,3.055e+20,24.38,0.1527,0.000342,1669.0,0.001961,0.07831,0.5855,59.35,195.0,180.3,0.01093,927.3,761.9,564.2,-140.2,5.287,1.856,-1.108,-0.5295,-1.189,0.4639,-0.646,0.3817,-0.1724,-0.5715,-0.5026,-0.4548,-0.8816,0.3984,-0.2877,0.1469,0.07414,0.04289,-0.01973,0.07723,0.1069,0.0,0.1963,51.17,3064.0,250500.0,46590000.0,69.52,-5.603,1.977,8112000.0,86800000.0,-65810000000000.0,-704100000000000.0,-7534000000000000.0,1.068e+21,6341000000000000.0,6.784e+16,1.308e+24,0.498728,0.6275973,0.50068676,0.46976468,0.50752544,0.57211494,0.61345583,0.5844429,0.6269147,0.51906496,0.49130118,0.4666296,power
1,14.59,0.1139,0.000416,184.6,0.001221,0.04641,0.03721,31.42,10.51,25.71,0.0003313,490.9,455.9,567.2,51.66,5.719,3.571,3.158,2.73,2.264,2.186,1.986,2.507,1.869,2.429,1.779,1.977,0.09719,0.1398,0.1743,0.1321,0.1521,0.1389,0.1228,0.1116,0.1129,0.0,0.1161,13.52,655.4,57740.0,10420000.0,40.28,1.385,0.9746,603.9,6995.0,9801000000.0,109100000000.0,1215000000000.0,2.386e+17,980500000000.0,10910000000000.0,3.164e+20,24.2,0.1544,0.0004067,1689.0,0.002303,0.09214,0.5736,62.78,208.7,180.0,0.01014,980.9,756.3,510.6,-115.4,5.435,1.9,-1.446,-1.18,-1.75,0.1559,-0.5603,1.021,0.2356,-1.047,-0.7053,-0.7595,-0.902,0.5015,-0.3205,0.1584,0.0871,0.05133,-0.03958,0.06856,0.1222,0.0,0.2415,49.93,2810.0,235500.0,41390000.0,71.23,-4.931,2.41,8114000.0,86820000.0,-65840000000000.0,-704500000000000.0,-7538000000000000.0,1.068e+21,6344000000000000.0,6.788e+16,1.309e+24,0.5009883,0.63920945,0.46210784,0.40905923,0.3981619,0.44930133,0.5057287,0.5229497,0.67227477,0.5470325,0.49523067,0.46883202,power
2,8.208,0.07645,0.0003687,198.5,0.000988,0.03676,0.04115,20.92,25.24,29.66,0.0002039,326.8,256.5,283.6,50.5,3.545,2.525,2.356,2.188,2.24,2.396,1.952,2.218,2.224,2.136,2.006,1.73,0.06274,0.1361,0.1654,0.113,0.1239,0.1158,0.1057,0.105,0.1132,0.0,0.08824,10.08,647.5,53490.0,10240000.0,36.39,1.265,0.7181,601.6,6330.0,9766000000.0,103600000000.0,1099000000000.0,2.378e+17,931700000000.0,9886000000000.0,2.864e+20,20.36,0.1229,0.0003958,1692.0,0.002314,0.09249,0.5619,53.01,206.8,190.1,0.009354,828.2,636.3,401.5,-113.2,6.362,1.703,-0.9252,-0.5779,-1.479,-0.1025,0.4761,2.781,0.6709,-1.184,-1.036,-1.054,-0.9299,0.5045,-0.2693,0.1658,0.1256,0.03165,-0.03332,0.06936,0.09583,0.0,0.2378,47.7,2779.0,245100.0,42510000.0,68.91,-4.845,2.377,8116000.0,86840000.0,-65870000000000.0,-704800000000000.0,-7541000000000000.0,1.069e+21,6347000000000000.0,6.791e+16,1.31e+24,0.5655755,0.5549013,0.45947888,0.4721178,0.41153634,0.39014935,0.3820609,0.42563704,0.6095295,0.6017642,0.5859104,0.59956384,power
3,10.0,0.09211,0.0003736,195.2,0.001042,0.03805,0.04539,23.3,51.59,36.09,0.000168,364.1,312.6,262.5,50.8,4.188,2.472,2.302,2.164,2.351,2.198,2.213,2.185,2.124,2.112,2.14,1.683,0.06678,0.1345,0.1873,0.1313,0.1154,0.1111,0.107,0.1022,0.1129,0.0,0.08272,11.64,689.5,55150.0,10470000.0,39.44,1.246,0.6678,601.7,6128.0,9769000000.0,102000000000.0,1065000000000.0,2.379e+17,916200000000.0,9562000000000.0,2.774e+20,20.14,0.1263,0.0003903,1685.0,0.002345,0.09366,0.5875,51.5,182.2,210.3,0.009015,804.8,629.2,382.9,-113.2,6.515,1.656,-0.644,-0.9963,-1.426,0.01748,0.1068,2.473,0.9302,-1.308,-0.8701,-1.255,-0.9314,0.5307,-0.2815,0.1596,0.1172,0.02195,-0.01441,0.07156,0.09724,0.0,0.238,46.03,2610.0,230900.0,40060000.0,69.13,-4.863,2.39,8118000.0,86860000.0,-65910000000000.0,-705200000000000.0,-7545000000000000.0,1.07e+21,6350000000000000.0,6.795e+16,1.311e+24,0.51874715,0.52208066,0.4599561,0.46293476,0.43027708,0.42178425,0.42607877,0.48060083,0.6667976,0.64683396,0.6183324,0.5687412,power
4,4.061,0.03035,0.0007896,229.7,0.001522,0.05912,0.04488,9.155,7.976e-13,34.72,0.000323,143.0,126.9,219.1,83.86,2.664,1.771,1.912,1.955,1.699,1.661,1.687,1.725,1.908,1.646,1.24,1.369,0.07861,0.09915,0.2554,0.1793,0.1032,0.07689,0.07161,0.0751,0.06502,0.0,0.1399,4.738,285.7,24080.0,4553000.0,24.29,5.275,1.13,603.1,3317.0,9795000000.0,79330000000.0,576400000000.0,2.386e+17,715300000000.0,5201000000000.0,1.502e+20,15.35,0.09733,0.0005797,1749.0,0.002652,0.1039,0.5507,37.03,220.6,329.0,0.009727,578.6,479.6,387.2,-122.0,14.61,-5.037,1.587,-1.006,-0.5922,-2.273,-0.4966,-0.8761,-1.304,-0.5363,-0.3038,-0.8158,-0.9638,0.848,-0.2976,-0.04112,0.01822,0.001524,0.0001905,0.03527,0.03839,0.0,0.2463,24.87,631.8,43830.0,6133000.0,61.97,-5.208,2.475,8120000.0,86880000.0,-65940000000000.0,-705500000000000.0,-7548000000000000.0,1.071e+21,6353000000000000.0,6.797e+16,1.312e+24,0.5290589,0.53480905,0.57146066,0.62939876,0.5449978,0.5375127,0.46512187,0.49457222,0.6694007,0.60021985,0.46495664,0.47265267,joyful_activation
5,4.73,0.0393,0.001084,226.4,0.001431,0.05496,0.05695,9.9,42.56,69.79,0.0002911,154.7,147.8,215.3,51.61,3.194,2.042,3.01,2.33,2.022,1.937,1.867,2.022,2.497,1.671,2.407,2.398,0.04859,0.105,0.2703,0.1502,0.09726,0.08466,0.07639,0.06941,0.06737,0.0,0.1382,5.462,390.4,32740.0,6515000.0,26.54,1.207,1.06,603.5,3039.0,9804000000.0,77120000000.0,528100000000.0,2.389e+17,694200000000.0,4753000000000.0,1.377e+20,12.7,0.07366,0.0007367,1721.0,0.003271,0.1269,0.5527,29.56,206.0,367.7,0.009264,461.8,397.0,336.7,-116.9,16.06,-4.133,2.618,-0.5701,-0.4525,-1.567,0.1026,-0.2271,-0.8068,-0.9183,0.03893,-0.0871,-0.9754,0.8183,-0.1595,-0.05894,-0.005254,0.01562,0.02155,0.04198,0.05209,0.0,0.2747,22.54,610.6,44810.0,6386000.0,47.13,-4.631,2.754,8123000.0,86890000.0,-65980000000000.0,-705800000000000.0,-7550000000000000.0,1.072e+21,6356000000000000.0,6.799e+16,1.312e+24,0.52216774,0.5136262,0.57008284,0.647095,0.6559329,0.5933888,0.5054668,0.5019797,0.5150959,0.46689448,0.53615123,0.53880334,joyful_activation
6,4.18,0.0371,0.0008296,201.5,0.001216,0.04827,0.03654,8.479,7.976e-13,15.77,0.00013,132.5,130.6,173.4,51.35,2.317,1.937,1.92,1.578,1.497,1.526,1.716,1.898,1.775,1.34,1.208,1.332,0.05008,0.09473,0.2406,0.1398,0.08837,0.06303,0.05516,0.0578,0.06093,0.0,0.1153,5.058,340.9,25110.0,5220000.0,24.31,1.172,0.7626,601.9,3222.0,9780000000.0,78480000000.0,560000000000.0,2.384e+17,706100000000.0,5036000000000.0,1.46e+20,13.34,0.07971,0.0007676,1713.0,0.003449,0.1361,0.5544,31.99,220.6,527.3,0.009242,499.8,416.8,322.3,-110.0,15.19,-4.122,2.411,-1.334,-1.166,-1.481,-0.5203,-0.9038,-0.5979,-0.5038,-0.03655,-0.63,-0.9732,0.8231,-0.2366,-0.06184,0.02171,0.0397,0.03888,0.04548,0.04569,0.0,0.3185,23.92,661.5,47440.0,6715000.0,55.4,-4.54,3.193,8125000.0,86900000.0,-66010000000000.0,-706000000000000.0,-7552000000000000.0,1.073e+21,6358000000000000.0,6.801e+16,1.313e+24,0.5385247,0.59084404,0.6863529,0.7465988,0.66821593,0.5919865,0.5010042,0.51101905,0.64443606,0.60162354,0.4952592,0.49450958,joyful_activation
7,4.63,0.03038,0.0008572,216.5,0.001167,0.04343,0.02033,9.436,23.82,57.64,0.0001268,147.4,144.7,236.5,51.29,3.288,1.993,2.16,1.678,1.98,1.986,1.877,2.021,2.608,1.528,1.844,1.621,0.04743,0.101,0.26,0.1684,0.1085,0.08019,0.07668,0.08419,0.07246,0.0,0.0968,5.051,331.9,30800.0,5780000.0,23.32,1.129,0.6944,601.4,2968.0,9775000000.0,76380000000.0,515900000000.0,2.383e+17,687100000000.0,4637000000000.0,1.345e+20,12.54,0.0763,0.0008405,1713.0,0.003226,0.1254,0.5027,31.74,192.6,457.6,0.009155,495.9,392.0,328.3,-115.5,16.26,-3.4,2.603,-0.4685,-0.1664,-0.7554,0.3224,-0.686,-1.185,-0.31,0.03642,-0.2144,-0.9749,0.8185,-0.2017,-0.06295,-0.002296,0.01788,0.02018,0.04311,0.03399,0.0,0.2814,22.11,619.7,45960.0,6593000.0,53.92,-4.365,2.822,8127000.0,86910000.0,-66040000000000.0,-706300000000000.0,-7554000000000000.0,1.073e+21,6361000000000000.0,6.802e+16,1.313e+24,0.5621963,0.5516619,0.6365448,0.7221919,0.6542297,0.5894327,0.51190895,0.44881266,0.5200969,0.5039986,0.47052988,0.4805143,joyful_activation
8,12.15,0.0934,0.0001314,219.3,0.0007986,0.02985,0.04009,29.55,25.44,10.46,0.0002976,461.8,379.6,447.6,82.45,3.53,2.369,2.259,2.473,2.655,2.256,2.127,2.55,2.566,2.845,2.718,2.019,0.105,0.1961,0.1534,0.1294,0.1698,0.1243,0.1261,0.1229,0.1282,0.0,0.05869,13.42,896.9,62880.0,12110000.0,41.78,5.224,0.5122,600.5,6904.0,9763000000.0,108300000000.0,1200000000000.0,2.381e+17,972200000000.0,10780000000000.0,3.13e+20,22.98,0.1382,0.0001039,1763.0,0.001526,0.06044,0.6211,59.54,208.1,115.6,0.009275,930.4,718.2,481.3,-130.1,6.314,2.052,-0.3179,-0.9582,-0.1465,0.1731,0.6925,-1.469,-2.135,-1.263,-0.2982,-1.339,-0.9053,0.4082,-0.07087,0.0728,0.00323,0.1173,0.01918,0.04799,-0.02334,0.0,0.1513,53.19,3469.0,306500.0,55270000.0,71.86,-5.832,1.533,8129000.0,86930000.0,-66080000000000.0,-706600000000000.0,-7557000000000000.0,1.074e+21,6363000000000000.0,6.805e+16,1.314e+24,0.5346008,0.5041489,0.50480455,0.43280265,0.4263619,0.45028532,0.45723125,0.38318574,0.31644613,0.3293732,0.47225773,0.594359,nostalgia
9,8.961,0.0804,0.0001777,198.1,0.001035,0.03889,0.05251,24.9,29.98,41.89,0.0006833,389.1,280.0,259.1,50.75,3.704,2.183,2.234,2.032,2.187,2.296,2.681,2.471,2.902,2.701,2.675,2.592,0.06575,0.1919,0.1777,0.1356,0.1185,0.1231,0.1274,0.1274,0.1064,0.0,0.06741,12.46,899.4,68630.0,13490000.0,37.78,1.291,0.6122,604.6,6327.0,9833000000.0,104000000000.0,1100000000000.0,2.398e+17,937100000000.0,9920000000000.0,2.87e+20,18.01,0.1109,0.0001357,1766.0,0.001772,0.06963,0.5643,47.28,202.6,145.0,0.009688,738.7,563.0,361.1,-126.4,7.927,2.426,0.1921,0.1513,0.2414,-0.3526,1.07,-0.3929,-0.5441,-0.5603,-0.828,-1.537,-0.9389,0.4759,-0.07739,0.07778,0.05057,0.1282,-0.01644,0.02237,-0.02772,0.0,0.1555,45.8,2966.0,282500.0,49740000.0,59.81,-5.454,1.571,8131000.0,86950000.0,-66110000000000.0,-707000000000000.0,-7561000000000000.0,1.075e+21,6367000000000000.0,6.809e+16,1.315e+24,0.46523792,0.4776274,0.5270202,0.4265312,0.43849894,0.4519073,0.488685,0.46506983,0.47870082,0.5160423,0.5232597,0.51612496,nostalgia
