,Principal component 0,Spectral Centroid Overall Standard Deviation,Spectral Rolloff Point Overall Standard Deviation,Spectral Flux Overall Standard Deviation,Compactness Overall Standard Deviation,Spectral Variability Overall Standard Deviation,Root Mean Square Overall Standard Deviation,Fraction Of Low Energy Windows Overall Standard Deviation,Zero Crossings Overall Standard Deviation,Strongest Beat Overall Standard Deviation,Beat Sum Overall Standard Deviation,Strength Of Strongest Beat Overall Standard Deviation,Strongest Frequency Via Zero Crossings Overall Standard Deviation,Strongest Frequency Via Spectral Centroid Overall Standard Deviation,Strongest Frequency Via FFT Maximum Overall Standard Deviation,MFCC Overall Standard Deviation 1,MFCC Overall Standard Deviation 2,MFCC Overall Standard Deviation 3,MFCC Overall Standard Deviation 4,MFCC Overall Standard Deviation 5,MFCC Overall Standard Deviation 6,MFCC Overall Standard Deviation 7,MFCC Overall Standard Deviation 8,MFCC Overall Standard Deviation 9,MFCC Overall Standard Deviation 10,MFCC Overall Standard Deviation 11,MFCC Overall Standard Deviation 12,MFCC Overall Standard Deviation 13,LPC Overall Standard Deviation 1,LPC Overall Standard Deviation 2,LPC Overall Standard Deviation 3,LPC Overall Standard Deviation 4,LPC Overall Standard Deviation 5,LPC Overall Standard Deviation 6,LPC Overall Standard Deviation 7,LPC Overall Standard Deviation 8,LPC Overall Standard Deviation 9,LPC Overall Standard Deviation 10,Method of Moments Overall Standard Deviation 1,Method of Moments Overall Standard Deviation 2,Method of Moments Overall Standard Deviation 3,Method of Moments Overall Standard Deviation 4,Method of Moments Overall Standard Deviation 5,Peak Based Spectral Smoothness Overall Standard Deviation,Relative Difference Function Overall Standard Deviation,Area Method of Moments Overall Standard Deviation 1,Area Method of Moments Overall Standard Deviation 2,Area Method of Moments Overall Standard Deviation 3,Area Method of Moments Overall Standard Deviation 4,Area Method of Moments Overall Standard Deviation 5,Area Method of Moments Overall Standard Deviation 6,Area Method of Moments Overall Standard Deviation 7,Area Method of Moments Overall Standard Deviation 8,Area Method of Moments Overall Standard Deviation 9,Area Method of Moments Overall Standard Deviation 10,Spectral Centroid Overall Average,Spectral Rolloff Point Overall Average,Spectral Flux Overall Average,Compactness Overall Average,Spectral Variability Overall Average,Root Mean Square Overall Average,Fraction Of Low Energy Windows Overall Average,Zero Crossings Overall Average,Strongest Beat Overall Average,Beat Sum Overall Average,Strength Of Strongest Beat Overall Average,Strongest Frequency Via Zero Crossings Overall Average,Strongest Frequency Via Spectral Centroid Overall Average,Strongest Frequency Via FFT Maximum Overall Average,MFCC Overall Average 1,MFCC Overall Average 2,MFCC Overall Average 3,MFCC Overall Average 4,MFCC Overall Average 5,MFCC Overall Average 6,MFCC Overall Average 7,MFCC Overall Average 8,MFCC Overall Average 9,MFCC Overall Average 10,MFCC Overall Average 11,MFCC Overall Average 12,MFCC Overall Average 13,LPC Overall Average 1,LPC Overall Average 2,LPC Overall Average 3,LPC Overall Average 4,LPC Overall Average 5,LPC Overall Average 6,LPC Overall Average 7,LPC Overall Average 8,LPC Overall Average 9,LPC Overall Average 10,Method of Moments Overall Average 1,Method of Moments Overall Average 2,Method of Moments Overall Average 3,Method of Moments Overall Average 4,Method of Moments Overall Average 5,Peak Based Spectral Smoothness Overall Average,Relative Difference Function Overall Average,Area Method of Moments Overall Average 1,Area Method of Moments Overall Average 2,Area Method of Moments Overall Average 3,Area Method of Moments Overall Average 4,Area Method of Moments Overall Average 5,Area Method of Moments Overall Average 6,Area Method of Moments Overall Average 7,Area Method of Moments Overall Average 8,Area Method of Moments Overall Average 9,Area Method of Moments Overall Average 10,Chroma feature 0,Chroma feature 1,Chroma feature 2,Chroma feature 3,Chroma feature 4,Chroma feature 5,Chroma feature 6,Chroma feature 7,Chroma feature 8,Chroma feature 9,Chroma feature 10,Chroma feature 11
Principal component 0,1.0,-0.179041146102484,-0.08569022603461027,0.005313553621218894,-0.2335502813404812,-0.019398507280994248,-0.020721807271719243,-0.2133212380607716,-0.1816482390128191,-0.17305436446570222,0.003622480611555497,-0.16159057861702844,-0.2024926881436445,-0.19945928639554608,-0.1951233448834837,-0.23313766098321054,-0.21628314968246304,-0.16594717057550443,-0.21943472677600614,-0.2608096539302677,-0.2678060766564711,-0.2491964005826075,-0.18944497834753227,-0.18787785805084417,-0.1704230994756936,-0.15110991933101836,-0.18325780455435625,-0.2179776618410129,-0.27494924650212854,-0.26264165644169557,-0.17927669648764086,-0.15650845200705232,-0.1453084112946109,-0.10886684848321077,-0.11064633501203365,-0.126140263514007,-0.13856231176374073,,-0.03328375253474747,-0.20869323428585604,-0.21564956658106071,-0.21679820927806712,-0.2108159590257529,-0.1860251691192044,-0.2406644728516702,-0.03537084111082833,-0.21729858230241,-0.21655880803522828,-0.2120474143938868,-0.2116284625267854,-0.2112539490726658,-0.20944389502284258,-0.211236266975093,-0.21090021211105578,-0.20888378135676652,-0.14076311299622404,-0.03393628055309498,0.00939627834033191,-0.22498639276986407,0.005473094427019974,0.005083070041040517,-0.2127414592056709,-0.14425619436508338,0.11667033749002031,0.012391331477159654,-0.11576754957805811,-0.19617514847459985,-0.19855340826970794,-0.14634310460526545,,-0.1989103479733984,0.11221285328422738,0.436413422304002,0.9900996909127932,0.5057588753647498,0.1683581201841791,-0.014987211842365646,-0.01158724315121978,0.07049227736659763,0.15823454614689006,0.15112563422102882,0.13620392012777793,0.032865590245591984,-0.0744855020301213,-0.07321075787344318,-0.0793545527561147,-0.04360115598156831,-0.04789299293725491,-0.01581343260525044,0.0008994256897722389,0.03837987759311166,,-0.0035074302344443135,-0.17278334279014623,-0.2183895969449282,-0.24723444594764374,-0.2152971450173228,-0.1450710202899026,,-0.004360382650488291,-0.21116889089258342,-0.2103835102559222,,,,-0.2066582471272758,-0.2074444003683739,-0.2072567219743933,-0.20635793341073455,-0.0767116006000894,-0.11180454694561374,-0.143712954667368,-0.12103722166601502,-0.09107044948807312,-0.08592079485282997,-0.09195460667826812,-0.0901932594385602,-0.10309370751680007,-0.08073899144772241,-0.0637849179200793,-0.07130066821410434
Spectral Centroid Overall Standard Deviation,-0.179041146102484,1.0,0.8897910141849219,0.251068180407199,0.9070644237558885,0.3580758568300583,0.36093822965343636,0.7466423757174789,0.9732685485472146,0.6894702032690309,0.32856501596546234,0.2574444760158047,0.9713482228535859,0.973047447267307,0.9781887004183791,0.903392842919746,0.8510857054951657,0.7823711994051014,0.7931448722334107,0.7668433216234927,0.77807318233017,0.7660210509963996,0.7651475211439551,0.7509808770286034,0.7491764339517017,0.7349065485083215,0.7394981978208843,0.7303559369169587,0.7584698542380928,0.8162377187951608,0.7595876579139924,0.7439108905306753,0.7422569459886978,0.7200075179663982,0.7099619989289706,0.7181708789943628,0.7393829166752248,,0.35861872862861394,0.9806193452204651,0.9241796694584015,0.8984000196448013,0.9007151480021348,0.9657417680420042,0.8508612869737363,0.3657167443815092,0.8431687133009197,0.8530916265033012,0.8778986337252431,0.8791643364196008,0.8802130209982463,0.8843524543680289,0.8801854411316583,0.8810736980577459,0.8853740516923521,0.8812090311346942,0.6583287645012843,0.2563209318177293,0.8930015211090592,0.3011060007954137,0.3051043609017072,0.855489027219388,0.852806748904713,-0.4523061893198916,0.3295271185104959,0.23235848059125713,0.9343768994624192,0.9692716140284819,0.8923289614523269,,0.18250160470459514,0.018696849004592928,-0.08319341923824647,-0.17647958851716133,-0.1522585821061426,-0.20192942587910898,-0.1232139675663628,-0.09413377302853886,-0.0005166779339346119,-0.12465748222192692,-0.1445703699313053,-0.15708143691813065,-0.3948834680908312,0.5099399890853646,-0.13711564425526682,0.40516567717921337,0.4070301791620252,0.25262337294863535,0.11786711241107646,0.38136743533167033,0.36036841705670547,,0.31454860669765916,0.883064731197601,0.9350742833315008,0.7774734826040766,0.915708498400642,0.8566976180134194,,0.32797583144825954,0.9147606054680671,0.9121744483191476,,,,0.8992106639602371,0.9020145340825737,0.9013549142511831,0.8981458436776153,0.5129862204780559,0.5263220179001158,0.5489602445350317,0.5726846940911546,0.5950816565588898,0.5934014575499577,0.5797056810685874,0.5680735544566272,0.5695538281677834,0.5505020676730681,0.5494141592765859,0.537153501858914
Spectral Rolloff Point Overall Standard Deviation,-0.08569022603461027,0.8897910141849219,1.0,0.30041552059750226,0.6706724530148561,0.413748170709811,0.4169196406005091,0.4606774734584496,0.8843087417718525,0.5942884851296021,0.39588855945122664,0.23804938392873815,0.8070309463559009,0.7804087170015763,0.8012405102406688,0.6566499027574361,0.7068578929424623,0.6625275878354392,0.6607265216062419,0.6428462187014545,0.6564631569256506,0.6416499975050849,0.6546020745511565,0.6389952410540973,0.6504062269683188,0.6540509147959824,0.6479459481878618,0.6470609516089358,0.5913604609144412,0.6968123109315368,0.7152716978751515,0.732702092096635,0.7262583055063367,0.7239507849702334,0.7181916410165288,0.7133065317784568,0.7239020207240373,,0.42111761444426565,0.8149238025529975,0.6959010279627214,0.6533103829990983,0.6506181898051109,0.873840892562395,0.6024847114389297,0.42564301830937956,0.5670894429730069,0.5781107960718632,0.608710199468753,0.6105186948643239,0.6120512868593643,0.6184102429488153,0.611997258428215,0.6133230962646717,0.6201354875716065,0.9025780617730336,0.8151502293057971,0.3092515807709297,0.7411018208861708,0.3640856864562847,0.36894565057866113,0.7080882472242549,0.8693468255266327,-0.4278422192577844,0.3997529402909423,0.1700059816387293,0.8471124444084208,0.8501489637521134,0.8961477043730426,,0.07227015353053776,0.03060428043165446,0.019848133167435014,-0.09377236057351233,-0.034625079342451306,-0.16217894485815126,-0.10922072072914439,-0.06715174118455484,0.08271210639419907,-0.05607142422547135,-0.10815776135276399,-0.10356446324269138,-0.421868936648399,0.5108993240537799,-0.22702308966949494,0.3989992238630895,0.4170493305579372,0.2636356418186192,0.06657348848160871,0.3743083198102832,0.3437458542183846,,0.3818472251400151,0.8565338455675018,0.7707911502059585,0.5303049694904882,0.6850223174091616,0.8980473804356824,,0.3953839648130963,0.6791151847139244,0.672910246440758,,,,0.6462486865119125,0.6515795103217837,0.6503085087841696,0.6442684020098112,0.4380831076003465,0.45661178841544786,0.48941797099136874,0.5132901718268795,0.5396572926057815,0.5535473693186771,0.5482815389552732,0.5352083029915368,0.5312077451656031,0.5145188838952104,0.5115645555684482,0.475039284377888
Spectral Flux Overall Standard Deviation,0.005313553621218894,0.251068180407199,0.30041552059750226,1.0,0.17444444845284957,0.8967814971967699,0.8901192162355898,-0.10720540263715439,0.2974397547387541,0.22057508112400354,0.812561048470913,-0.039235700337297647,0.2640023419568603,0.2282353775727239,0.23266835605490488,0.12509295499547599,0.34169074877438,0.4138146834304264,0.4023311816243267,0.4310740083886208,0.41241565675356046,0.4716690592544162,0.49234558637144016,0.495793012263664,0.5138423040125197,0.5708166337190731,0.5545362732350486,0.5317103779325286,0.10527262286995427,0.35831475934057594,0.5161494733202937,0.5188512139198868,0.5691115523311691,0.5759128185550707,0.5445854221350939,0.5581194820393776,0.5341115823312069,,0.8075725243745661,0.2312917446936599,0.22492153521170935,0.21649513091738928,0.2054239972860625,0.30071955321258853,-0.023895049107580654,0.7791290586024858,-0.0037004901697185737,0.02151764164091259,0.1068693374559793,0.11249035941471015,0.1173280642374862,0.13977467462880633,0.11748145252127958,0.121718305165012,0.14590187517727446,0.4621658687236228,0.539782260293759,0.9648059670826672,0.37670740820333365,0.9100579954005612,0.9046182527773241,0.27249222892081854,0.48380224595025856,-0.012622353595352919,0.8284280627292633,-0.013897897552510275,0.39328498038619314,0.35559529734536216,0.4402857539333603,,0.22693935957114364,0.03753709906683983,0.036587569597764324,-8.517477133390023e-05,0.16488527506202078,0.09642958946744506,0.21504197894297458,0.1721636143844093,0.32231906078503003,-0.013276011691561345,0.01832395216567439,0.010325886185113136,-0.7716275631863277,0.6823715396952441,-0.2783914366408958,0.30931126442486107,0.5911756800980332,0.22734821152433962,0.09705781336785711,0.6257273219186232,0.624273602014982,,0.8335952832037714,0.46347748639325065,0.3378614553354868,0.2997745590871783,0.2524443268785843,0.42749089390812756,,0.8196670039574142,0.24671628323298392,0.2390933751024518,,,,0.2080631589197419,0.21407160683780913,0.2126310418532015,0.2058535979174445,0.4080436739924192,0.3855938859801162,0.35311262745170424,0.3366058855671005,0.34925921833651685,0.37143093776033176,0.4032376368037722,0.40709180719018645,0.37746618383982167,0.37428866159372076,0.37128967173220734,0.36059171016459846
Compactness Overall Standard Deviation,-0.2335502813404812,0.9070644237558885,0.6706724530148561,0.17444444845284957,1.0,0.27200592324558226,0.2744486470527634,0.8517066189371675,0.8968450459458924,0.6528703609001231,0.23535144246305753,0.2566374891010608,0.9645209791938555,0.9659397529691301,0.9585591859285482,0.9913112882724242,0.8878694601062913,0.8216623596857376,0.832903500359265,0.7971262502785399,0.8097251154122037,0.7984457121040366,0.786854180639459,0.7756615196105073,0.7655886230786109,0.730974705745686,0.7454119087750168,0.7400983309807831,0.862872234562326,0.8435936319444179,0.7372401158154656,0.6897842811142041,0.6837871653517578,0.6429197418472505,0.626639011152199,0.6439356448036266,0.670907588559091,,0.2690497524580769,0.964565457492991,0.9829408726643123,0.9822173417994164,0.9791213019106558,0.8862888921164505,0.9548759884228374,0.2771803000378168,0.9496637948950489,0.956431970868111,0.9703846516227949,0.9708291621867362,0.9711615924988769,0.9722108358600644,0.9711651143083558,0.9714185274283392,0.9722879327531032,0.7442414836606583,0.48092559572243915,0.18079382961350673,0.9326575694894087,0.21434606841349374,0.21730361828127415,0.8470679892807995,0.7311830435141233,-0.4108853691141426,0.23162171041098029,0.26230871655350924,0.8838798435325234,0.9210761375882868,0.7613037583367248,,0.33578635959652037,0.05132848269534729,-0.1296654801552189,-0.22691029410108587,-0.24120213001402194,-0.23881078297583838,-0.15310616858936008,-0.11592221988085845,-0.08755037938010742,-0.18499568883460557,-0.1842352603813628,-0.20859838044536727,-0.32399788146852243,0.451051238057737,-0.033004775190767846,0.3710892369714361,0.35054574593617854,0.23718695416155827,0.14209952416166477,0.3224192782246814,0.31378208971555105,,0.22507860015454345,0.7994480947259808,0.9574351667085245,0.9092727388044891,0.9835064838500502,0.7066647037892038,,0.23616464987764701,0.9798677771714296,0.9794706846035638,,,,0.9750320814901401,0.9762326824265792,0.9759587209320792,0.9745493550690844,0.5193653885550871,0.531293918710876,0.5468666223749629,0.5730304753937349,0.5883679493309139,0.5774807678114899,0.5634218895042816,0.5542041582864778,0.564554744024579,0.5455144567590288,0.5423742409166565,0.5396275533591666
Spectral Variability Overall Standard Deviation,-0.019398507280994248,0.3580758568300583,0.413748170709811,0.8967814971967699,0.27200592324558226,1.0,0.9996724066419842,-0.09109300873011034,0.41737128935950496,0.2475322396929508,0.9617803209584825,-0.02490656901464062,0.37388843511847053,0.3269113818412761,0.33977171364878317,0.2192587423908708,0.47056027074303813,0.5706908325373466,0.5666007923997637,0.6008374802720798,0.5694162504412815,0.6118610097159223,0.6297609722749493,0.6431328512965948,0.6644336113096796,0.7228623321484713,0.7010198130689586,0.6992888885362675,0.23775083396390054,0.5062085118960352,0.688638883933706,0.7125173906692202,0.748993581113893,0.7529056976743331,0.7300176388185153,0.7402847139324912,0.7202523162694588,,0.9559028978039092,0.33094554538152127,0.31749338420901907,0.30824387701709205,0.29371504859155323,0.4157974736449148,0.056541073115479526,0.946248588127864,0.06088827688669751,0.08953690279860313,0.18352999018902116,0.18985456101527687,0.19530468228942907,0.21972157062142553,0.19533057571983298,0.2001104799139313,0.22660762789033664,0.6169543979719662,0.7132425967905286,0.9196063008763115,0.516446708960035,0.9676677656732476,0.9699175658860049,0.38118390468211455,0.6474880335137574,-0.0025834515808913893,0.9617244424137597,-0.0028842695157407752,0.5372788969358814,0.4872711821388914,0.590612469488162,,0.29844769065416127,0.07405993598175084,0.055461299108076664,-0.029179472418513347,0.19945253890762463,0.0803358918503928,0.18842793894892523,0.147048334763087,0.36221162186237393,0.017662751626025375,0.01140601625311631,-0.008415896821288564,-0.8970082360966991,0.8533776230888405,-0.4800479551334009,0.5322480999658683,0.7761661772540408,0.1711675078304718,0.08846181966023069,0.7481814891549928,0.785970663875191,,0.9488949296932193,0.6162616216015435,0.45933091569132223,0.41268562075464393,0.35240819689271974,0.5902093606441585,,0.9533410647752584,0.3475674924469553,0.33776990058256884,,,,0.2977979348249756,0.30554821913100216,0.30369025790731724,0.2949461221317897,0.5086937081571857,0.5439378730249483,0.5133601123733949,0.4796007113225444,0.4756686170302816,0.4799273443887562,0.5306145698543996,0.5361549166021657,0.5244716739495758,0.5399527485100952,0.522787863874564,0.4824267365919125
Root Mean Square Overall Standard Deviation,-0.020721807271719243,0.36093822965343636,0.4169196406005091,0.8901192162355898,0.2744486470527634,0.9996724066419842,1.0,-0.0895168705184434,0.4204535741519975,0.245045035927202,0.9639875005058114,-0.02410561159965833,0.3765422686931855,0.3293136552360997,0.3423280941033116,0.2220709463042658,0.47336726863640055,0.5729942220232265,0.5690361419699843,0.6039888106934344,0.5715562579262812,0.6140851300194302,0.6310393495006792,0.6455492852653631,0.6664955300725393,0.7254224246586304,0.7021514711632756,0.7009707782284911,0.24137392283194087,0.5085466102401124,0.6923183013829092,0.7168573712566556,0.7528697275370307,0.7558184400406365,0.7333833020791858,0.743534729617139,0.7236709142906191,,0.9619177820338662,0.33340544359989616,0.31936594779484756,0.3100363247964151,0.295526536778936,0.41906091224275527,0.06018510059466696,0.9532248081618329,0.06356058812987239,0.09214030567457868,0.1857373256699643,0.1920445768529198,0.1974802070468214,0.2217790898195008,0.1974980025973238,0.2022655881751998,0.2286465419162454,0.6204688240463692,0.7175675899860448,0.9152247073425426,0.5189415058650987,0.9644743340452324,0.9672998672382613,0.38258001482351484,0.651257551487048,-0.0013587846221522163,0.9622271665040857,-0.0025098035351975466,0.5405298361477929,0.4902058727363943,0.5938929785507735,,0.29647390988896966,0.07462253265389866,0.05590970617050091,-0.030649720067755522,0.20207058259841157,0.07898256412417369,0.18642840023754345,0.1439440056443493,0.3588133325092615,0.015334253967358274,0.007276013256806311,-0.006025831785346453,-0.8960088345250075,0.8557881224759223,-0.4929391270905246,0.5404163583933811,0.7824963154694276,0.16857705858511773,0.0921971323023853,0.7522983721359424,0.7899971629322763,,0.9509682027236349,0.6194595801471497,0.46164423360786006,0.4146136718655583,0.354314976694497,0.5954309206653627,,0.9559941876544427,0.34956074885602234,0.3397401619100073,,,,0.29967019001653744,0.3074399664352117,0.3055774298768539,0.29681130744168055,0.5083939494196482,0.5470691399889475,0.5177903238370357,0.48250939193969167,0.4759313218523027,0.47909098918242493,0.5304334826834756,0.5359778706926367,0.524308465252488,0.5407640158865198,0.5229193945761534,0.4825974779442523
Fraction Of Low Energy Windows Overall Standard Deviation,-0.2133212380607716,0.7466423757174789,0.4606774734584496,-0.10720540263715439,0.8517066189371675,-0.09109300873011034,-0.0895168705184434,1.0,0.6696250254974598,0.5328039436190233,-0.12442768987364497,0.22538669828061808,0.7746017502945041,0.8369339881407533,0.8092913191427124,0.8881791115485516,0.6141283994868983,0.499238838550216,0.5199362326666996,0.4538250481859577,0.4879489279983483,0.4685002856662157,0.44914347976679253,0.4276430170686372,0.4134306313376599,0.36571873386015724,0.3824704368052524,0.37129035610113303,0.6611081132567151,0.5445022275444168,0.3601805275795903,0.3112743567692547,0.2950423457081391,0.25379336318415135,0.23535694054979758,0.2572993936784292,0.29076771766789045,,-0.08942343974624453,0.81129697207427,0.8556734338658606,0.863166278299093,0.872838017273054,0.6703766628176615,0.9076937878554757,-0.08516996340837485,0.9429227300900375,0.9387823052672161,0.9171246876249566,0.9151568031355691,0.9134053856461096,0.9052154074324,0.9134346942191646,0.9118581675355266,0.902665657575043,0.4115420991509107,0.11056887266444101,-0.11578490229534215,0.6403042901597884,-0.12867071322975032,-0.12929589852258982,0.690163700603374,0.3760501198994068,-0.3636533723833647,-0.14395224389365166,0.26408256294115023,0.585406913419211,0.6748187820271115,0.4390532323809098,,0.13024064032142288,-0.04402062863216211,-0.18817318833966656,-0.19637670413423874,-0.2872148539670259,-0.24301602582138454,-0.21321194686885683,-0.1760290052528834,-0.21102468017964504,-0.15030274449222336,-0.1572545720118871,-0.1396026301603964,0.08809509929886092,0.026636336755100246,0.19623877336605236,0.023632673173094327,-0.03796847424858641,0.1513817151543308,0.05538066114112412,-0.04073482009510205,-0.0556098276262748,,-0.12983408795986215,0.4602928858314344,0.7270125882160655,0.7117203993661086,0.8365679522966384,0.3840925835834674,,-0.12991366774398158,0.8427370462279679,0.8491149810835328,,,,0.8720080553470239,0.8679458579144891,0.8689354454656363,0.8734584648560598,0.22142522298824244,0.22181614960081342,0.25296398945901727,0.2939265990395692,0.2984439063187826,0.2878373443422801,0.26299891846742957,0.2494719143103468,0.2695797624409188,0.24911621465037473,0.24062580715748633,0.24405054646631708
Zero Crossings Overall Standard Deviation,-0.1816482390128191,0.9732685485472146,0.8843087417718525,0.2974397547387541,0.8968450459458924,0.41737128935950496,0.4204535741519975,0.6696250254974598,1.0,0.6660970956262916,0.3863073072440895,0.24038030893523635,0.9781926339222627,0.9375279654646342,0.9598793471919608,0.8742467692925894,0.8828198593667504,0.8306200600182401,0.8416008284324592,0.8153561658448768,0.8171923425389782,0.8131884290176936,0.8139949878211526,0.801028196273107,0.7993579549671592,0.7862113689517718,0.7905720809628985,0.7835684377206973,0.7725855497336903,0.8646452807714128,0.8148965970904187,0.798869090674948,0.7984357940183989,0.7757388493786872,0.7631797287735498,0.7703239368087946,0.789165093180814,,0.41727935936735516,0.9526244544184024,0.8892481102574183,0.865353380553868,0.8631598189481476,0.9578118826721859,0.8144757613646549,0.4258208343769703,0.7889631389348566,0.8003027016587327,0.8303720816727095,0.8320081965667672,0.8333794793633987,0.8390342669249796,0.8333537192322167,0.8345270262238486,0.8404789695039725,0.9119944611559156,0.7007873553487256,0.3052623500804464,0.920750284150029,0.3556121954039574,0.36009509127432665,0.8286887700224604,0.9075195183026786,-0.42126865802367996,0.38782995783159196,0.200072641579291,0.9732754063524353,0.9702257038048326,0.9310004444676475,,0.21426566025000132,0.028727151555420986,-0.08292335431303806,-0.17928050137423437,-0.14700951969038809,-0.19631318690757973,-0.10791055984164384,-0.09909362679341863,0.005834393873859083,-0.13886333850025634,-0.14821498965020088,-0.16677230724820905,-0.4572983439747736,0.5768685539286807,-0.17841235117711118,0.45808535935479916,0.46708724135589386,0.25382545485826985,0.12444993455770623,0.43809881485969326,0.42222146456730303,,0.37060644114567465,0.9106056759923982,0.9275768888064907,0.7682637617295726,0.8884248543293793,0.8830441955359439,,0.38590292966519596,0.884146720708143,0.8799691786713659,,,,0.8607718132361188,0.8647533661493272,0.8638096769052502,0.85927647587838,0.5382313548193365,0.5557513134172454,0.572617471044335,0.5884611094591861,0.6091907431673219,0.6078067930394127,0.5946244131354335,0.5798506318987564,0.5785518782448098,0.5636094913540621,0.5667674728011262,0.5572087409051665
Strongest Beat Overall Standard Deviation,-0.17305436446570222,0.6894702032690309,0.5942884851296021,0.22057508112400354,0.6528703609001231,0.2475322396929508,0.245045035927202,0.5328039436190233,0.6660970956262916,1.0,0.17300964609462813,0.361588401707329,0.6634398006450724,0.660754561256374,0.6557476159930061,0.6425218609748227,0.6663984085490319,0.6336736725572212,0.6292346278292726,0.6216210307319646,0.6413399285089822,0.6345134781469696,0.6238233080457293,0.6116475196270065,0.6041107776886225,0.5804077515280157,0.597103368234342,0.5833206229469108,0.6879806005073075,0.6999853853820589,0.5978019525516757,0.5500026149606906,0.547141731931397,0.5280755621500406,0.5135867991511164,0.5114145648910547,0.5364401395907953,,0.19056242182240116,0.6953884942155137,0.6471532034583043,0.6308413911201954,0.6158370785240068,0.6762572269120569,0.624276723472896,0.18744873016366495,0.5654222805401311,0.5709735105163487,0.5853580294158666,0.5859187271258846,0.5863691970028392,0.588541171877919,0.586400378664301,0.5867707867811804,0.5888738783256784,0.6439712063318214,0.42254097186226064,0.18147481742024688,0.6864606846506658,0.19415629553350786,0.1924262329520618,0.7434769738348733,0.6127932206142543,-0.6067865734015878,0.17812646841027657,0.2937104294739657,0.6761237763582814,0.6975145132400203,0.6472208935211208,,0.3054360890377502,0.10017257359277515,-0.07406704780923828,-0.17156824888017197,-0.2166316063028242,-0.21117703991937017,-0.14961726611639445,-0.06004717554658232,-0.0879847675578178,-0.13703510469732505,-0.17314661124610448,-0.25541162757092783,-0.2895318497180864,0.3909801445758065,0.12607813810695506,0.22802010786818744,0.25090071925203467,0.336160994944892,0.2115481211487413,0.2826847607961113,0.2289633923480463,,0.1578333621815998,0.6755241268609204,0.6963022751002222,0.5954561830096149,0.6431335722604791,0.5887404473905506,,0.1628256931475664,0.6344934189845758,0.6288582037291349,,,,0.6046106792514774,0.6094640999781776,0.6083060655169622,0.6028042991150407,0.47383594318995503,0.44967157126088736,0.47351865934823006,0.5124488643454862,0.5586294871552713,0.5619494236854834,0.5422311128305725,0.5455724727294086,0.5530990616970699,0.5274912037760001,0.5200348692018645,0.5054120759085172
