,Principal component 0,Principal component 1,Principal component 2,Principal component 3,Principal component 4,Principal component 5,Principal component 6,Principal component 7,Principal component 8,Principal component 9,Spectral Centroid Overall Standard Deviation,Spectral Rolloff Point Overall Standard Deviation,Spectral Flux Overall Standard Deviation,Compactness Overall Standard Deviation,Spectral Variability Overall Standard Deviation,Root Mean Square Overall Standard Deviation,Fraction Of Low Energy Windows Overall Standard Deviation,Zero Crossings Overall Standard Deviation,MFCC Overall Standard Deviation 1,MFCC Overall Standard Deviation 2,MFCC Overall Standard Deviation 3,MFCC Overall Standard Deviation 4,MFCC Overall Standard Deviation 5,MFCC Overall Standard Deviation 6,MFCC Overall Standard Deviation 7,MFCC Overall Standard Deviation 8,MFCC Overall Standard Deviation 9,MFCC Overall Standard Deviation 10,MFCC Overall Standard Deviation 11,MFCC Overall Standard Deviation 12,MFCC Overall Standard Deviation 13,LPC Overall Standard Deviation 1,LPC Overall Standard Deviation 2,LPC Overall Standard Deviation 3,LPC Overall Standard Deviation 4,LPC Overall Standard Deviation 5,LPC Overall Standard Deviation 6,LPC Overall Standard Deviation 7,LPC Overall Standard Deviation 8,LPC Overall Standard Deviation 9,LPC Overall Standard Deviation 10,Method of Moments Overall Standard Deviation 1,Method of Moments Overall Standard Deviation 2,Method of Moments Overall Standard Deviation 3,Method of Moments Overall Standard Deviation 4,Method of Moments Overall Standard Deviation 5,Spectral Centroid Overall Average,Spectral Rolloff Point Overall Average,Spectral Flux Overall Average,Compactness Overall Average,Spectral Variability Overall Average,Root Mean Square Overall Average,Fraction Of Low Energy Windows Overall Average,Zero Crossings Overall Average,MFCC Overall Average 1,MFCC Overall Average 2,MFCC Overall Average 3,MFCC Overall Average 4,MFCC Overall Average 5,MFCC Overall Average 6,MFCC Overall Average 7,MFCC Overall Average 8,MFCC Overall Average 9,MFCC Overall Average 10,MFCC Overall Average 11,MFCC Overall Average 12,MFCC Overall Average 13,LPC Overall Average 1,LPC Overall Average 2,LPC Overall Average 3,LPC Overall Average 4,LPC Overall Average 5,LPC Overall Average 6,LPC Overall Average 7,LPC Overall Average 8,LPC Overall Average 9,LPC Overall Average 10,Method of Moments Overall Average 1,Method of Moments Overall Average 2,Method of Moments Overall Average 3,Method of Moments Overall Average 4,Method of Moments Overall Average 5,Chroma feature 0,Chroma feature 1,Chroma feature 2,Chroma feature 3,Chroma feature 4,Chroma feature 5,Chroma feature 6,Chroma feature 7,Chroma feature 8,Chroma feature 9,Chroma feature 10,Chroma feature 11
Principal component 0,1.0,-5.314135728127141e-15,4.7618376719967163e-17,2.1800847675938124e-16,-5.98729308674276e-16,-1.3236468164382856e-15,-1.3109558232404801e-15,1.9219064867889765e-18,2.8729813402793157e-16,1.1049868365028727e-16,0.7184934904191315,0.7839805803836136,0.48131494916398815,0.8135464020144928,0.6533585267709767,0.6540182136213112,0.4296500098894758,0.7583579909604624,0.7597859185462471,0.8848566195993194,0.908901459929741,0.9124045443987395,0.8966930815348815,0.9016644029494816,0.9045892958944461,0.8932836696218827,0.916294482480048,0.9018642909087031,0.8896684377625024,0.8958863121481906,0.9013732811272473,0.815954164325312,0.9346094102349349,0.9717368893575037,0.9538877837317489,0.9588675222789131,0.9459120314130243,0.9259059506881322,0.9370008590973877,0.950404056255115,,0.6511198571237707,0.8194020239291978,0.906712233182914,0.8983990525163309,0.9037337930364722,0.8529929603909412,0.8481391559831146,0.5245709312807253,0.8442446032421503,0.5976802011948711,0.6001346575434561,0.8409657788894505,0.8464501083104492,0.8470206784945071,0.18646775036431384,-0.3200668572195738,-0.5816138113906391,-0.6362199563571979,-0.5158262796035004,-0.6313266031800566,-0.24783037801948718,-0.5097509849609542,-0.03035093354646814,-0.4673747602983496,-0.31315031725087134,-0.41060745661093395,-0.8226330465370376,0.8081747768647487,-0.2942682209765344,0.6461746090901794,0.7106593222801733,0.36162445821140476,0.15973637306928215,0.6767256146764338,0.6791022247255376,,0.617648616586617,0.8857562283022445,0.8865007822158626,0.8232499549818137,0.8600621877901932,0.723113102774338,0.748442777795808,0.7647749136386364,0.7772533776549339,0.7778442271035898,0.7684830450269186,0.7773798494428956,0.7683594223196657,0.7783408578606821,0.776309971264279,0.7674087771858185,0.7424612561166487
Principal component 1,-5.314135728127141e-15,1.0,-9.504742411091494e-17,4.449181279994122e-16,4.881362809335887e-16,1.50687577439288e-16,-5.560897710809877e-16,-1.8660134226413576e-16,2.3655038155498723e-16,8.562066322102874e-17,0.4154715723410356,0.31738458281223664,-0.5302819390629957,0.48872713226563397,-0.6061224686208098,-0.6046734748329388,0.6614378895251578,0.29707541705451895,0.566332672276368,0.035721940499999605,-0.19230393341545154,-0.1442414247939041,-0.23616558357511885,-0.1191879366062591,-0.1932584660328596,-0.25521762947245014,-0.26025222310364116,-0.28964255044720155,-0.3447967066517005,-0.32334859558945694,-0.32206578579432793,0.4314110494159181,0.17229012619666212,-0.14390515259535674,-0.1755102542570167,-0.21077193404505992,-0.23412749578085534,-0.2499545861695702,-0.24670558437500065,-0.1879888982525161,,-0.5981386874949599,0.4452521312882462,0.32062279322622816,0.2390539938255229,0.2868224603329538,-0.18685605143040895,-0.18325962192166437,-0.5942680296241533,-0.5032420687974124,-0.6472147801815794,-0.6491385081568368,0.22200683402517563,-0.3610456941117582,-0.49674690038816477,0.11197358834835912,0.5302145364020249,0.6396510772696018,0.5256096976289415,0.4783147228924219,0.532826343727802,-0.03771721453861396,0.391863727187933,-0.0713596708963732,0.45791113386457155,0.07060611819195524,0.11016950277826165,0.5280656501369843,-0.5566294280969495,0.5563635545113967,-0.4658748794853942,-0.5623935756268195,0.08542675422657531,0.036247187312292733,-0.5315970104130032,-0.6077032798460426,,-0.6599702622104826,-0.31666192049051417,-0.28611942865738926,-0.39327272163725957,-0.288213186169985,-0.16370814387253887,-0.2560369813925813,-0.20640146934781672,-0.14313598632285365,-0.112759102121316,-0.09352133537539807,-0.1416773079614203,-0.14270983219417316,-0.11521874424093563,-0.1428727762782532,-0.12445023336958634,-0.10727234972235303
Principal component 2,4.7618376719967163e-17,-9.504742411091494e-17,1.0,-5.052905018919437e-16,-2.54817143760575e-16,2.7194512518920144e-16,-8.216441400626723e-17,1.130651035603038e-16,1.9696330384595637e-16,-9.411435664527614e-16,0.5485702252920361,0.5245857573977154,0.11297749521195152,-0.23590975470959807,0.11751804369717278,0.11887267001499602,-0.20855898317854243,0.5462718244850093,-0.22971730855528116,-0.12721404388054078,-0.12508557212403854,-0.15043080074365697,-0.14806526344610924,-0.15456608653215856,-0.1587206547436068,-0.10831497064332749,-0.11536746791625806,-0.0646294827399238,-0.035969084658508725,-0.058904012478754986,-0.05186495405897994,-0.3401942030036266,-0.19129409816006243,-0.04166499648959183,0.05012716811594806,0.049779348321010296,0.10691564477336034,0.11552528936239688,0.0801183272188212,0.05683726471559597,,0.13171708692473771,0.3482419173653014,0.07185405305285977,-0.1795391917222401,-0.12971625541046286,0.4127029384414927,0.4225814266255343,0.12866305585921223,0.048232601970853405,0.14878543205790062,0.14979447601504628,-0.10598966190443487,0.33402948129164256,0.06054740236739334,-0.40514495812162993,-0.07070080688257059,-0.06237692174997156,-0.010100365140141723,0.01774636521686812,-0.059747565603560024,0.04886140756961137,-0.04977983874497675,0.051930884442445306,-0.003067302350727612,-0.07891066619863918,-0.08938603014247795,0.05503419022449904,0.0031688191981782926,-0.29722093268526345,-0.011089774271359217,0.020160307224908743,0.002293255664125732,-0.18517091257464338,-0.01402333344568107,-0.035972735295264194,,0.15463319497959566,0.27749408309675166,0.18252531945565428,-0.08524094282576328,0.07269537608172433,-0.18443445250554313,-0.15350801437319922,-0.13399449087709286,-0.13065551502247758,-0.12522800633232486,-0.0971981978652887,-0.08218677334048274,-0.08808842182995481,-0.10801184648844127,-0.09184811152728883,-0.09199818104683805,-0.15232413561548003
Principal component 3,2.1800847675938124e-16,4.449181279994122e-16,-5.052905018919437e-16,1.0,-3.2922333124657146e-16,-6.607778532605103e-16,-8.218739450411539e-16,3.445190321135505e-16,-1.5604017859222218e-16,-3.3420650198017735e-16,-0.030545210610691206,0.018800995734077897,-0.003955824955328645,-0.062415131535814725,0.041162129051767526,0.04615461164531052,-0.19896420465822579,-0.02905751431576181,-0.07183702985309717,0.0533277221816159,0.047721529932403896,-0.08659454166612422,-0.039477664212765155,-0.1342460486384888,-0.10233068606515515,-0.09723258054087791,-0.035879984621506794,-0.07262652381911797,0.014038856470884613,-0.08542301627713628,-0.03579151846809387,0.015508631239833577,0.022283293006284375,0.014841880761786221,-0.0028969028599665912,-0.013421672142654944,-0.019402938911214255,0.029619222805228496,0.01074298093222358,-0.004882815882582887,,0.13337756544918147,-0.026384615178891874,0.05338809961593312,0.06165853345691525,0.05937169447358982,-0.015671118723320946,0.02426963851379288,0.016457480422354398,0.096806698507986,0.06327260348062679,0.06749710922818203,-0.03181443284746006,0.0018654429084105392,0.10339390414861792,0.5038745062549556,0.5999131935783397,0.39017075562516773,0.1612186211816893,0.5886936052500881,0.11639443928694783,0.005727242633870477,-0.3053681938689178,-0.5542909571575023,-0.2279268641981358,-0.7477459992558833,-0.48104187031379164,-0.11116648994392801,-0.0178486308467403,-0.08289097588281798,-0.06669509849960835,0.14579064335947328,0.43762566669071845,0.4198929796540474,-0.05929166672070797,-0.14085562600533577,,0.13487473410869777,0.07207559403281169,0.16894248419761904,0.14113209266043036,0.16487712314817932,0.37914755001849154,0.25692937745733746,0.28927062041233104,0.30122059796346445,0.27204263384448674,0.2766890944222749,0.297993296754981,0.3015984775912854,0.3412370955279262,0.3819899375041827,0.3992592825327958,0.428994202429721
Principal component 4,-5.98729308674276e-16,4.881362809335887e-16,-2.54817143760575e-16,-3.2922333124657146e-16,1.0,-4.996132944226701e-16,2.859815508123738e-16,1.7814503064537626e-16,1.6467677703973643e-16,-6.749335575826453e-16,-0.009757368562904408,0.01755736499182494,0.14990638370310935,-0.07494386624799029,0.07664248664306225,0.06633273670062557,-0.14508209212455286,-0.0168639562131033,-0.09196820724178867,-0.01520257212398844,-0.033873238215454696,-0.05582977578604026,-0.009452905083019119,0.07331813436507237,0.002890465604166225,0.02002486818180896,0.020131925747364835,0.07437077743078466,0.017991258781314582,0.11092838024626918,0.08781016964584418,-0.006278389673210143,0.05464773189046502,0.012513890890677485,-0.10539926918090498,-0.06040801722726485,-0.024690078450386004,-0.0622903178905867,-0.05791253410744257,-0.07207596536696298,,-0.0816537912386952,0.007494949375363672,0.10236722174950802,0.14800369928193985,0.10710778576601013,-0.049502589065855494,-0.03946364946879918,0.050056985423909545,0.012861947962345919,0.06062043624645695,0.05258591055325444,-0.03205333094898656,-0.06813718541690496,0.013532956732288558,0.3611335978397513,0.19409618103499976,0.14644134687887275,-0.054195021595262696,-0.18610225852160103,-0.19377607154294135,-0.2584028900656338,0.376341011359948,0.75600278871115,0.6209729147208962,0.06228338411066038,-0.36505586365488113,-0.025430252810877116,-0.0539427686874812,0.4795656160763197,-0.3277842306246784,-0.0787625092352162,0.5134398328462322,-0.03110055177240044,-0.09875666237591595,-0.1291293250759147,,-0.07734052447433909,-0.0010862498543650328,0.13416089043200147,0.19110579677750877,0.23346391130705885,-0.015788677441218483,-0.16407194577612733,-0.1628141326406541,-0.088434248077732,0.0847290623357427,0.18978195962000624,0.26061903932294056,0.2942535046179129,0.29968898447794334,0.24761249838653407,0.22041449239653216,0.09815468507611884
Principal component 5,-1.3236468164382856e-15,1.50687577439288e-16,2.7194512518920144e-16,-6.607778532605103e-16,-4.996132944226701e-16,1.0,1.2071260141758006e-15,-6.411112225508097e-16,1.163985076716644e-16,-7.720397123673795e-16,-0.012493229908845898,0.023078536673740314,0.2687790980441731,-0.15078672022787382,0.18614826267605739,0.1840361538261479,0.469729128454321,-0.08306913755677285,-0.1390640359018179,-0.08085922948276751,-0.0434311625330803,-0.012374945630863589,0.0003558873515146705,-0.03398807299173408,0.04805822354126204,0.010508644673481818,0.026925885361400528,0.05764697707390499,0.08831300191003569,0.05718677632713152,0.046989543638684905,-0.117396300915419,-0.05164885295798495,-0.025388954668277237,-0.03613077101513723,-9.878607121421286e-05,-0.0008587074715965974,0.017617785593364407,0.04120308730926204,0.024044208612528,,0.13559195915430192,0.014225761832092097,0.07245120741321988,0.03401522361324793,0.037887975733153216,-0.04757855163483587,-0.040842063698717394,0.25944826984049246,0.009958124184679215,0.23725039278336907,0.23427058456466188,0.24917513936973684,-0.03119426650576669,0.013368243072526903,-0.03697866439196507,-0.11883926022098491,-0.0412206859472357,0.035355424522335505,0.11654457439277192,0.08391874314124853,0.34386328120785886,0.11584949655856212,0.05666212044721249,-0.039667506821133895,-0.14286180395411024,-0.07489105329064259,-0.015593156626865003,0.01631106148897395,-0.007842628055979288,-0.17923582837887445,-0.035459733621324555,0.032552973097076804,0.042775749580395483,0.04090158164380172,0.04285991182520712,,0.1888430755893181,-0.013844280044677484,0.015258754916660306,0.06135862064623068,0.0460103461911254,0.06512790838680481,0.033936188330645864,0.0006777307052823424,0.0045850063706174,0.018824223712709403,0.01589312989433474,0.04372678664965785,0.061778504569619246,0.08184421100332205,0.0931009350591347,0.0714631845511877,0.04963458337315321
Principal component 6,-1.3109558232404801e-15,-5.560897710809877e-16,-8.216441400626723e-17,-8.218739450411539e-16,2.859815508123738e-16,1.2071260141758006e-15,1.0,-1.4763061951556425e-16,-3.3539450599228073e-17,2.4205085101947453e-16,-0.02605418310345844,-0.02346605008476424,0.2579579788978353,0.008616599116556642,0.22207097880459603,0.22361575226769037,-0.05136514628656275,0.03710726084333654,-0.012046988752267545,0.029217126514701895,0.06965428977944718,0.12256200442147319,-0.058936153772953886,0.030128627743336422,0.10670718219090668,0.08167582109844031,0.05259473929994653,0.06458901405224211,0.16365214890142588,0.07980089845817444,0.09375373428192524,0.0364541811229085,0.11893187957441487,0.026478137821788043,0.0493820843415922,0.014355093576417345,0.017849914992183507,0.013079079667995505,0.0017900450712381357,0.015316732308267082,,0.18678624122122145,-0.029918094944577697,-0.004822140790115054,0.050895184844551127,0.01767957124392278,-0.0353354583094082,-0.028095714539863006,0.21587750500494773,0.008829317141312033,0.1846505987248505,0.18194001754403769,-0.18503530382723155,0.006718857299503689,0.005532880516971077,0.17036309995414078,0.04132287933104719,0.07151061918916335,0.10699552934390684,0.2370953830626962,0.10837919619222132,0.18378811548027807,0.10409035069908389,0.006240527729292706,-0.03599079753949273,-0.3554503861418281,-0.23166897885954382,-0.004765561780629702,0.002285556531519182,0.15083114388712396,-0.22833365295375643,-0.038445981511954684,0.1650340839764531,-0.008493526698727352,-0.03519319867537187,-0.0020167529932799536,,0.13896699225210385,-0.004603018264752857,0.05838327061219629,0.1149745895721931,0.12368664224558347,-0.3197210874477176,-0.3504308479498798,-0.3652820621576657,-0.3852147424318484,-0.4206981972301362,-0.38668335544468624,-0.33202062202107185,-0.3063292808079913,-0.26929495512668594,-0.2382450848382142,-0.2736961773637478,-0.32375463792356884
Principal component 7,1.9219064867889765e-18,-1.8660134226413576e-16,1.130651035603038e-16,3.445190321135505e-16,1.7814503064537626e-16,-6.411112225508097e-16,-1.4763061951556425e-16,1.0,4.0039661494868093e-16,2.2163418791518634e-16,0.004680314403802666,-0.013816715932571081,0.14330816606655072,0.0726708806889451,0.1240638927530889,0.12473505821112607,-0.1723137326644344,0.008329110527266292,0.07106165280901275,-0.063633469228924,-0.042709461737965394,-0.0035643193453954395,0.07732574616043164,0.03591473552702568,0.03241425104649978,-0.08856944673096734,-0.07395234457222531,0.008946587456063443,0.013177417298824235,-0.0383462395370069,0.01408187132966419,0.02138264905986513,-0.006215439177536942,-0.03676540834364047,-0.017251172272863026,-0.022328994078633452,-0.05013675572512985,-0.04045901419483086,-0.03168932698775848,0.019102663096294888,,0.09096871249696264,0.0042575520952219,-0.016489756257791345,-0.02260733496241412,-0.02812602517951966,0.11584714622494091,0.10425790044785835,0.15365942930420012,0.0357710720479457,0.10466324069842076,0.10131390508468353,-0.014382691231119335,0.07620915381085383,0.029886285640535557,-0.06972307957199816,-0.2714342058956364,-0.07066032007987486,-0.0151241579148272,0.027774082212079335,0.3647881303083114,0.737123665402413,0.43341691679898847,0.11420819301778784,-0.07497456339787997,-0.030242930194741367,0.060360367373412875,-0.024888450270675416,0.06241118084063027,0.1091400685554523,-0.20233259829271116,-0.26372605415923933,-0.26769528539526827,0.09743137126533034,0.08004981669425738,0.10770558175181223,,0.06998829972397909,0.044125776227684786,0.012688648550748409,0.05273125763315702,0.053218070031689144,0.15533167760541852,0.21259330522264566,0.13218828096854732,0.09946858371753652,0.06703302050164633,0.015155977438165479,0.0382457229640315,0.07947059361888242,0.15011407185412054,0.1619291666739511,0.15839632756310412,0.1084461800508355
Principal component 8,2.8729813402793157e-16,2.3655038155498723e-16,1.9696330384595637e-16,-1.5604017859222218e-16,1.6467677703973643e-16,1.163985076716644e-16,-3.3539450599228073e-17,4.0039661494868093e-16,1.0,6.852983681033486e-16,0.00774557035621573,0.018856102410500244,0.31182303880878715,-0.00554307343721964,0.11479236208560693,0.11659000221014547,-0.033332916526334404,-0.005920701335018733,-0.002689505093613861,0.175160142518033,-0.11067074044199732,-0.14625987112898511,-0.06555114661782498,-0.09166605777583897,0.03509918552733522,0.0999819557939492,0.07482211285885952,0.013932024767025819,0.0933591444695025,0.08449435158921682,-0.028824217245633638,-0.0009467596795052384,-0.004059537102007127,0.048064867898180624,-0.056338998368212066,-0.007127655075358096,-0.046068981196165266,-0.121241859611085,-0.09242235768382193,-0.09513611274208239,,0.1007408611180631,0.01293945772885624,0.03736783760438862,0.06650134105805945,0.065636490859416,0.00203358254684617,-0.0003789932756070034,0.2757046106924642,0.023754585338023812,0.12181371845258869,0.12278362481423154,-0.0018807872520862116,-0.01717595674074953,0.03815169856972492,0.1444034706422706,0.05307235135255825,0.03589384858843099,-0.3057147180741686,0.01880440860569839,0.15557081529786182,-0.028782055991035678,-0.16498583026002625,-0.048703010901161053,0.04601489515148559,0.13367489439289718,0.42560356332555727,-0.04494307512316877,0.0649961928566922,0.1393368146351901,-0.11706154884368644,0.023092138414617987,0.21280560130335333,0.5044598367159648,0.3330563746468861,0.08241479231581211,,0.08660055048304192,0.017538972916542165,0.042433225733933315,0.09872150250245709,0.10420926399295777,-0.059115188916283326,-0.020258472662623768,0.044372138575705954,0.07599648108363645,0.07182411631294111,0.07624836229801862,0.03528231140466935,0.014053952387851055,-0.09013484899059591,-0.16359591702565113,-0.1612108368049492,-0.10710974169229837
Principal component 9,1.1049868365028727e-16,8.562066322102874e-17,-9.411435664527614e-16,-3.3420650198017735e-16,-6.749335575826453e-16,-7.720397123673795e-16,2.4205085101947453e-16,2.2163418791518634e-16,6.852983681033486e-16,1.0,-0.03225473468752143,0.0010181368312891946,0.09612235705181714,-0.014157210909953883,0.007664708471891007,0.0023760069735694993,-0.07596736161894035,-0.08653134783235167,-0.018708952862899954,-0.10750192593699034,-0.013933808488493031,-0.06240245890348293,-0.18192999175657207,-0.08770202442537564,-0.04390672996916451,0.05913962829364887,-0.0015956850847164872,0.05126520542557999,0.012104391088128158,-0.015820992838554326,-0.0012750030862460175,0.015888276632518166,-0.0827826219809948,-0.016196153458080797,0.02017457181575018,0.025967425605729292,0.008775401053291396,-0.0070860930221971425,-0.01415611768174058,-0.006617343502196979,,-0.08210093021773282,0.0261505336492824,0.173368330422141,0.21755965818013226,0.21177293526879545,0.03619073788736745,0.04006153809838758,0.07675328084949777,0.012779581955885909,0.07525623942132476,0.07035720101442772,-0.04067719842718269,-0.006744647684251057,0.014896722035490265,0.017779227880743355,-0.13607776072790137,-0.11677444294707062,0.20157241295782255,-0.0951037143396946,-0.10854813156660911,-0.10346492127514878,0.05123225589303622,-0.12588641445643664,-0.21133992028196996,-0.04695003431673118,0.14086098237858835,-0.017982267314624063,-0.0007705343957234819,0.19819540745496048,-0.0012257669949162688,-0.10347472225380139,-0.2030228211155374,-0.26397069505323956,-0.1616527274612653,-0.099209024856595,,0.011428526218942515,0.05128210402122953,0.12490705531014747,0.158549368814402,0.16638037103934533,0.1495104291661052,0.11033660136277647,0.051857404102503404,0.028346624363997003,-0.027771312726623306,-0.09188342753369336,-0.1459497141633809,-0.14319332152919867,-0.06958755557320197,-0.03588284769640117,0.010432249882477629,0.10094748943525847
