10cc-for_you_and_i;calming boring 
2pac-trapped;sad angry powerful exciting 
5th_dimension-one_less_bell_to_answer;sad calming boring romantic 
a_tribe_called_quest-bonita_applebum;sad calming boring 
aaron_neville-tell_it_like_it_is;calming boring 
abba-s.o.s.;happy exciting 
abc-poison_arrow;powerful exciting 
ac_dc-dirty_deeds_done_dirt_cheap;sad angry powerful exciting 
adam_and_the_ants-prince_charming;sad 
adam_ant-wonderful;sad 
adverts-gary_gilmores_eyes;sad angry powerful 
aerobic_jonquil-sweat_machine;sad calming boring 
aerosmith-dude_looks_like_a_lady;happy exciting 
aimee_mann-wise_up;sad calming boring 
air-sexy_boy;happy calming romantic 
al_green-sha-la-la_make_me_happy;happy calming boring romantic 
alanis_morissette-thank_u;sad powerful 
alice_cooper-elected;sad 
alice_in_chains-no_excuses;sad powerful 
alicia_keys-fallin;sad powerful romantic 
allman_brothers_band-melissa;calming boring 
altered_images-dont_talk_to_me_about_love;happy exciting 
american_music_club-jesus_hands;sad calming boring 
andrews_sisters-boogie_woogie_bugle_boy;happy powerful exciting 
ani_difranco-crime_for_crime;sad angry powerful boring 
animals-im_crying;angry powerful exciting 
anita_baker-caught_up_in_the_rapture;happy calming boring romantic 
antiguru-peering;happy calming exciting 
antonio_carlos_jobim-wave;happy romantic 
anup-life_glides;happy 
aphex_twin-come_to_daddy;sad angry 
apples_in_stereo-glowworm;happy boring 
aretha_franklin-dont_play_that_song;happy powerful romantic 
arlo_guthrie-alices_restaurant_massacree;happy calming boring 
art_tatum-willow_weep_for_me;happy calming exciting 
artemis-don_t_look_back;sad boring 
arthur_alexander-you_dont_care;boring 
arthur_yoria-at_least_you_ve_been_told;sad boring 
ashford_and_simpson-solid;happy powerful romantic 
association-windy;happy 
atomic_opera-watergrave;sad boring 
b.b._king-sweet_little_angel;sad calming boring 
backstreet_boys-as_long_as_you_love_me;calming boring romantic 
badly_drawn_boy-all_possibilities;happy 
band-king_harvest_has_surely_come;happy 
barbara_leoni-don_t_rain_on_my_parade;happy exciting 
barenaked_ladies-its_all_been_done;sad boring 
barry_manilow-mandy;calming boring romantic 
barry_white-cant_get_enough_of_your_love_babe;powerful boring romantic 
bauhaus-ziggy_stardust;sad powerful 
bay_city_rollers-saturday_night;happy exciting 
beach_boys-i_get_around;happy 
beatles-strawberry_fields_forever;calming powerful romantic 
beatundercontrol-this_is_beatundercontrol;exciting 
beautiful_south-one_last_love_song;sad calming boring 
beck-where_its_at;happy powerful 
bee_gees-stayin_alive;happy powerful exciting 
belief_systems-skunk_werks;sad 
belle_and_sebastian-like_dylan_in_the_movies;calming boring 
ben_folds_five-brick;sad calming romantic 
beth_quist-survival;sad boring 
big_star-in_the_street;happy 
billie_holiday-god_bless_the_child;calming boring 
billy_bragg-jeane;sad powerful 
billy_joel-we_didnt_start_the_fire;happy powerful 
birthday_party-mr._clarinet;sad angry powerful exciting 
bjrk-army_of_me;sad angry 
black_crowes-thorn_in_my_pride;boring 
black_flag-six_pack;sad angry powerful 
black_sabbath-black_sabbath;sad angry powerful exciting 
blind_faith-had_to_cry_today;sad 
blind_melon-no_rain;boring 
blondie-rapture;neutral
blood_sweat_and_tears-sometimes_in_winter;calming boring romantic 
blue_yster_cult-burnin_for_you;happy boring 
blur-country_house;happy 
bo_diddley-you_cant_judge_a_book_by_its_cover;happy powerful exciting 
bob_dylan-ill_be_your_baby_tonight;calming boring 
bob_marley_and_the_wailers-three_little_birds;happy calming powerful boring 
bob_seger-turn_the_page;sad calming boring 
bobby_brown-my_prerogative;happy exciting 
bobby_fuller_four-i_fought_the_law;powerful exciting 
bobby_womack-womans_gotta_have_it;happy sad calming romantic 
bomb_the_bass-bug_powder_dust;sad angry powerful exciting 
bon_jovi-livin_on_a_prayer;sad powerful 
bonnie_tyler-total_eclipse_of_the_heart;sad powerful romantic 
boo_radleys-wake_up_boo;happy 
boogie_down_productions-the_bridge_is_over;sad angry powerful exciting 
booker_t._and_the_mgs-time_is_tight;happy 
boston-more_than_a_feeling;happy powerful exciting 
bots-take_the_power_back;boring 
brad_sucks-overreacting;boring 
bread-if;calming boring romantic 
breeders-cannonball;neutral
brenton_wood-lovey_dovey_kind_of_love;happy calming romantic 
brian_eno-here_come_the_warm_jets;happy 
britney_spears-im_a_slave_for_you;happy 
bruce_springsteen-badlands;happy 
bryan_adams-cuts_like_a_knife;sad 
buddy_holly-peggy_sue;boring 
buena_vista_social_club-el_cuarto_de_tula;happy exciting romantic 
buffalo_springfield-for_what_its_worth;sad calming 
buffalo_springfield-mr._soul;sad powerful exciting 
buggles-video_killed_the_radio_star;happy powerful 
built_to_spill-i_would_hurt_a_fly;sad 
burnshee_thornside-goodbye_on_a_beautiful_day;boring 
bush-comedown;sad angry powerful 
busta_rhymes-woo_hah_got_you_all_in_check;angry powerful 
buzzcocks-everybodys_happy_nowadays;happy 
byrds-wasnt_born_to_follow;sad boring 
c_layne-devil_and_the_woman;sad boring 
cab_calloway-minnie_the_moocher;powerful exciting 
cake-perhaps,_perhaps,_perhaps;sad powerful 
camper_van_beethoven-take_the_skinheads_bowling;happy 
canned_heat-on_the_road_again;boring 
captain_beefheart_and_the_magic_band-safe_as_milk;sad angry powerful 
cardigans-lovefool;happy 
cargo_cult-garden;sad angry powerful exciting 
carl_perkins-matchbox;happy boring 
carly_simon-youre_so_vain;sad powerful 
carole_king-youve_got_a_friend;happy calming powerful boring romantic 
carpenters-rainy_days_and_mondays;sad calming boring 
cars-good_times_roll;happy 
cat_power-he_war;sad boring 
catherine_wheel-black_metallic;sad calming 
cc_music_factory-gonna_make_you_sweat_everybody_dance_now;happy powerful exciting 
chad_and_jeremy-before_and_after;sad calming boring 
chantal_kreviazuk-surrounded;sad 
charles_mingus-mood_indigo;sad calming boring 
charlie_parker-ornithology;happy calming 
charlie_rich-behind_closed_doors;happy calming boring romantic 
cheap_trick-dream_police;happy angry powerful exciting 
chemical_brothers-setting_sun;sad powerful exciting 
cheryl_ann_fulton-marsh_of_rhuddlan;happy calming boring romantic 
chet_baker-these_foolish_things;calming boring romantic 
chicago-if_you_leave_me_now;sad calming romantic 
chic-le_freak;happy exciting 
chi-lites-stoned_out_of_my_mind;happy calming romantic 
chills-i_love_my_leather_jacket;neutral
chris_juergensen-prospects;calming boring 
christina_aguilera-genie_in_a_bottle;happy powerful 
chuck_berry-roll_over_beethoven;happy 
chumbawamba-tubthumping;happy powerful exciting 
church-under_the_milky_way;boring 
