10cc-for_you_and_i;calming 
2pac-trapped;sad angry exciting 
5th_dimension-one_less_bell_to_answer;sad calming romantic 
a_tribe_called_quest-bonita_applebum;sad calming 
aaron_neville-tell_it_like_it_is;calming 
abba-s.o.s.;happy exciting 
abc-poison_arrow;exciting 
ac_dc-dirty_deeds_done_dirt_cheap;sad angry exciting 
adam_and_the_ants-prince_charming;sad 
adam_ant-wonderful;sad 
adverts-gary_gilmores_eyes;sad angry 
aerobic_jonquil-sweat_machine;sad calming 
aerosmith-dude_looks_like_a_lady;happy exciting 
aimee_mann-wise_up;sad calming 
air-sexy_boy;happy calming romantic 
al_green-sha-la-la_make_me_happy;happy calming romantic 
alanis_morissette-thank_u;sad 
alice_cooper-elected;sad 
alice_in_chains-no_excuses;sad 
alicia_keys-fallin;sad romantic 
allman_brothers_band-melissa;calming 
altered_images-dont_talk_to_me_about_love;happy exciting 
american_music_club-jesus_hands;sad calming 
andrews_sisters-boogie_woogie_bugle_boy;happy exciting 
ani_difranco-crime_for_crime;sad angry 
animals-im_crying;angry exciting 
anita_baker-caught_up_in_the_rapture;happy calming romantic 
antonio_carlos_jobim-wave;happy romantic 
anup-life_glides;happy 
aphex_twin-come_to_daddy;sad angry 
apples_in_stereo-glowworm;happy 
aretha_franklin-dont_play_that_song;happy romantic 
arlo_guthrie-alices_restaurant_massacree;happy calming 
artemis-don_t_look_back;sad 
arthur_yoria-at_least_you_ve_been_told;sad 
ashford_and_simpson-solid;happy romantic 
association-windy;happy 
atomic_opera-watergrave;sad 
b.b._king-sweet_little_angel;sad calming 
backstreet_boys-as_long_as_you_love_me;calming romantic 
badly_drawn_boy-all_possibilities;happy 
band-king_harvest_has_surely_come;happy 
barbara_leoni-don_t_rain_on_my_parade;happy exciting 
barenaked_ladies-its_all_been_done;sad 
barry_manilow-mandy;calming romantic 
barry_white-cant_get_enough_of_your_love_babe;romantic 
bauhaus-ziggy_stardust;sad 
bay_city_rollers-saturday_night;happy exciting 
beach_boys-i_get_around;happy 
beatles-strawberry_fields_forever;calming romantic 
beatundercontrol-this_is_beatundercontrol;exciting 
beautiful_south-one_last_love_song;sad calming 
beck-where_its_at;happy 
bee_gees-stayin_alive;happy exciting 
belief_systems-skunk_werks;sad 
belle_and_sebastian-like_dylan_in_the_movies;calming 
ben_folds_five-brick;sad calming romantic 
beth_quist-survival;sad 
big_star-in_the_street;happy 
billie_holiday-god_bless_the_child;calming 
billy_bragg-jeane;sad 
billy_joel-we_didnt_start_the_fire;happy 
birthday_party-mr._clarinet;sad angry exciting 
bjrk-army_of_me;sad angry 
black_flag-six_pack;sad angry 
black_sabbath-black_sabbath;sad angry exciting 
blind_faith-had_to_cry_today;sad 
blood_sweat_and_tears-sometimes_in_winter;calming romantic 
blue_yster_cult-burnin_for_you;happy 
blur-country_house;happy 
bo_diddley-you_cant_judge_a_book_by_its_cover;happy exciting 
bob_dylan-ill_be_your_baby_tonight;calming 
bob_marley_and_the_wailers-three_little_birds;happy calming 
bob_seger-turn_the_page;sad calming 
bobby_brown-my_prerogative;happy exciting 
bobby_fuller_four-i_fought_the_law;exciting 
bomb_the_bass-bug_powder_dust;sad angry exciting 
bon_jovi-livin_on_a_prayer;sad 
bonnie_tyler-total_eclipse_of_the_heart;sad romantic 
boo_radleys-wake_up_boo;happy 
boogie_down_productions-the_bridge_is_over;sad angry exciting 
booker_t._and_the_mgs-time_is_tight;happy 
boston-more_than_a_feeling;happy exciting 
bread-if;calming romantic 
brenton_wood-lovey_dovey_kind_of_love;happy calming romantic 
brian_eno-here_come_the_warm_jets;happy 
britney_spears-im_a_slave_for_you;happy 
bruce_springsteen-badlands;happy 
bryan_adams-cuts_like_a_knife;sad 
buffalo_springfield-for_what_its_worth;sad calming 
buffalo_springfield-mr._soul;sad exciting 
buggles-video_killed_the_radio_star;happy 
built_to_spill-i_would_hurt_a_fly;sad 
bush-comedown;sad angry 
busta_rhymes-woo_hah_got_you_all_in_check;angry 
buzzcocks-everybodys_happy_nowadays;happy 
byrds-wasnt_born_to_follow;sad 
c_layne-devil_and_the_woman;sad 
cab_calloway-minnie_the_moocher;exciting 
cake-perhaps,_perhaps,_perhaps;sad 
camper_van_beethoven-take_the_skinheads_bowling;happy 
captain_beefheart_and_the_magic_band-safe_as_milk;sad angry 
cardigans-lovefool;happy 
cargo_cult-garden;sad angry exciting 
carl_perkins-matchbox;happy 
carly_simon-youre_so_vain;sad 
carole_king-youve_got_a_friend;happy calming romantic 
carpenters-rainy_days_and_mondays;sad calming 
cars-good_times_roll;happy 
cat_power-he_war;sad 
catherine_wheel-black_metallic;sad calming 
cc_music_factory-gonna_make_you_sweat_everybody_dance_now;happy exciting 
chad_and_jeremy-before_and_after;sad calming 
chantal_kreviazuk-surrounded;sad 
charles_mingus-mood_indigo;sad calming 
charlie_parker-ornithology;happy calming 
charlie_rich-behind_closed_doors;happy calming romantic 
chemical_brothers-setting_sun;sad exciting 
cheryl_ann_fulton-marsh_of_rhuddlan;happy calming romantic 
chet_baker-these_foolish_things;calming romantic 
chicago-if_you_leave_me_now;sad calming romantic 
chic-le_freak;happy exciting 
chi-lites-stoned_out_of_my_mind;happy calming romantic 
chris_juergensen-prospects;calming 
christina_aguilera-genie_in_a_bottle;happy 
chuck_berry-roll_over_beethoven;happy 
chumbawamba-tubthumping;happy exciting 
cilla_black-alfie;calming 
coldplay-clocks;calming 
contours-do_you_love_me;happy exciting 
counting_crows-speedway;sad calming 
cowboy_junkies-postcard_blues;sad calming 
cranberries-linger;calming romantic 
cream-tales_of_brave_ulysses;sad 
creedence_clearwater_revival-travelin_band;happy exciting 
crosby_stills_and_nash-guinnevere;calming 
crosby_stills_nash_and_young-teach_your_children;calming 
curtis_mayfield-move_on_up;happy 
cypress_hill-lowrider;exciting 
daft_punk-da_funk;happy 
darkness-i_believe_in_a_thing_called_love;exciting 
dave_matthews_band-ants_marching;happy calming 
david_bowie-song_for_bob_dylan;happy exciting 
de_la_soul-eye_know;happy 
dead_kennedys-chemical_warfare;angry exciting 
def_leppard-pour_some_sugar_on_me;happy exciting 
dennis_brown-tribulation;calming 
depeche_mode-world_in_my_eyes;sad 
diana_ross_and_the_supremes-where_did_our_love_go;happy calming romantic 
dido-here_with_me;calming romantic 
dionne_warwick-walk_on_by;sad calming 
dire_straits-money_for_nothing;happy 
dj_jazzy_jeff_and_the_fresh_prince-summertime;happy 
